expert,scope,count,mean,std,min,10%,25%,50%,75%,90%,max
ba,cut-in,78.0,6.402564102564103,2.2404761993231705,0.8,5.2,5.65,6.2,7.2,8.6,14.0
ba,other,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,pedestrian,63.0,1.542857142857143,1.9019272301904964,0.0,0.0,0.0,1.2000000000000002,2.2,3.0,8.4
pdm,cut-in,77.0,1.6467532467532466,1.3234309891522604,0.0,0.0,0.0,1.8,2.4000000000000004,3.4000000000000004,4.6000000000000005
pdm,pedestrian,63.0,3.2857142857142856,7.857580214052957,0.0,0.0,0.0,0.0,1.3,13.840000000000018,30.200000000000003
