set,examinee,scope,pairs_flipped,t_first_flip_median,n_ba,flip_minus_onset_ba_median,share_before_onset_ba,n_pdm,flip_minus_onset_pdm_median,share_before_onset_pdm
ba,M-C hard [lebowski],pedestrian,11,2.2,11,1.2,0.09090909090909091,11,2.0,0.0
ba,M-C uniform [lebowski],pedestrian,10,2.2,10,1.3,0.1,10,2.1,0.0
ba,gate any,pedestrian,63,1.4000000000000001,63,0.2,0.09523809523809523,44,1.7000000000000002,0.022727272727272728
ba,gate pedestrian,pedestrian,63,1.4000000000000001,63,0.2,0.09523809523809523,44,1.7000000000000002,0.045454545454545456
ba,gate ttc,pedestrian,53,2.6,53,1.4,0.0,38,2.9000000000000004,0.02631578947368421
ba,gate intrusion,pedestrian,52,2.6,52,1.4,0.0,37,3.0000000000000004,0.02702702702702703
ba,gate any (L = 0.6 s),pedestrian,63,1.4000000000000001,63,0.2,0.09523809523809523,44,1.7000000000000002,0.022727272727272728
ba,TFv6 target speed,cut-in,6,5.9,6,-5.199999999999999,1.0,5,2.8,0.0
ba,TFv6 waypoint speed 2 s,cut-in,61,4.4,61,-1.4000000000000004,0.7868852459016393,61,3.2,0.0
ba,TFv6 target speed (decoded scalar),cut-in,7,5.4,7,-5.0,1.0,6,2.7,0.16666666666666666
ba,ridge ego,cut-in,26,7.6000000000000005,26,1.5999999999999996,0.0,25,7.2,0.0
ba,ridge_late op-cinque temporal,cut-in,77,6.0,77,0.20000000000000018,0.3116883116883117,76,4.0,0.0
ba,ridge_late op-cinque vision,cut-in,78,6.0,78,0.20000000000000018,0.3333333333333333,77,3.8000000000000007,0.0
ba,ridge_late op-lebowski temporal,cut-in,77,6.2,77,0.39999999999999947,0.3246753246753247,76,4.0,0.0
ba,ridge_late op-lebowski vision,cut-in,75,6.2,75,0.20000000000000018,0.36,74,4.1,0.0
ba,ridge_late op-lebowski hidden,cut-in,78,6.0,78,0.20000000000000018,0.358974358974359,77,4.0,0.0
ba,prior [cinque],cut-in,77,6.0,77,0.20000000000000018,0.3116883116883117,76,4.0,0.0
ba,M-C pair [cinque],cut-in,76,6.0,76,0.20000000000000018,0.3026315789473684,75,4.4,0.0
ba,M-C pair (mu=0) [cinque],cut-in,73,6.6000000000000005,73,0.20000000000000018,0.2876712328767123,72,4.9,0.0
ba,M-C pair qwen [cinque],cut-in,74,6.2,74,0.20000000000000018,0.32432432432432434,73,4.4,0.0
ba,M-C pair op [cinque],cut-in,78,6.0,78,0.1999999999999993,0.358974358974359,77,4.0,0.0
ba,M-C hard [cinque],cut-in,77,6.0,77,0.20000000000000018,0.3116883116883117,76,3.8000000000000007,0.0
ba,M-C uniform [cinque],cut-in,77,6.0,77,0.20000000000000018,0.3116883116883117,76,4.0,0.0
ba,prior [lebowski],cut-in,77,6.2,77,0.39999999999999947,0.3246753246753247,76,4.0,0.0
ba,M-C pair [lebowski],cut-in,78,6.2,78,0.20000000000000018,0.34615384615384615,77,4.0,0.0
ba,M-C pair (mu=0) [lebowski],cut-in,75,6.2,75,0.20000000000000018,0.25333333333333335,74,4.6,0.0
ba,M-C pair qwen [lebowski],cut-in,74,6.2,74,0.39999999999999947,0.32432432432432434,73,4.4,0.0
ba,M-C pair op [lebowski],cut-in,78,6.0,78,0.20000000000000018,0.3974358974358974,77,3.8,0.0
ba,M-C hard [lebowski],cut-in,77,6.2,77,0.39999999999999947,0.3246753246753247,76,4.0,0.0
ba,M-C uniform [lebowski],cut-in,77,6.2,77,0.39999999999999947,0.3246753246753247,76,4.0,0.0
ba,gate any,cut-in,44,7.4,44,0.0,0.4772727272727273,43,5.0,0.0
ba,gate ttc,cut-in,20,7.800000000000001,20,1.5999999999999996,0.0,20,4.800000000000001,0.0
ba,gate intrusion,cut-in,44,7.4,44,0.0,0.4772727272727273,43,5.0,0.0
ba,gate any (L = 0.6 s),cut-in,44,7.4,44,0.0,0.4772727272727273,43,5.0,0.0
pdm,TFv6 target speed,pooled,41,1.2000000000000002,36,-3.7,1.0,41,0.2,0.34146341463414637
pdm,TFv6 waypoint speed 2 s,pooled,36,2.4000000000000004,27,-3.2000000000000006,0.9629629629629629,36,0.4,0.2222222222222222
pdm,TFv6 target speed (decoded scalar),pooled,40,1.2000000000000002,35,-3.6,1.0,40,0.2,0.35
pdm,ridge ego,pooled,57,1.6,51,-1.2000000000000002,0.9607843137254902,57,1.2000000000000002,0.017543859649122806
pdm,ridge_late L18_mean,pooled,2,1.5,2,-4.300000000000001,1.0,2,-0.20000000000000007,0.5
pdm,ridge_late op-cinque temporal,pooled,5,2.4000000000000004,3,-4.8,1.0,5,1.0,0.2
pdm,ridge_late op-cinque vision,pooled,1,3.8000000000000003,1,-1.4,1.0,1,1.6,0.0
pdm,ridge_late op-lebowski temporal,pooled,9,2.8000000000000003,9,-5.799999999999999,1.0,9,0.3999999999999999,0.2222222222222222
pdm,ridge_late op-lebowski vision,pooled,5,3.8000000000000003,5,-5.6,1.0,5,1.4,0.0
pdm,ridge_late op-lebowski hidden,pooled,11,3.6,11,-5.6,1.0,11,1.2,0.0
pdm,prior [cinque],pooled,5,2.4000000000000004,3,-4.8,1.0,5,1.0,0.2
pdm,M-C pair [cinque],pooled,9,2.4000000000000004,7,-3.8,1.0,9,0.8000000000000003,0.1111111111111111
pdm,M-C pair (mu=0) [cinque],pooled,13,2.4000000000000004,12,-5.6,1.0,13,0.3999999999999999,0.07692307692307693
pdm,M-C pair qwen [cinque],pooled,5,1.8,3,-4.8,1.0,5,1.0,0.2
pdm,M-C pair op [cinque],pooled,7,2.4000000000000004,5,-3.8,1.0,7,1.0,0.14285714285714285
pdm,M-C hard [cinque],pooled,3,2.4000000000000004,2,-5.8999999999999995,1.0,3,1.0,0.0
pdm,M-C uniform [cinque],pooled,4,2.0,2,-3.5,1.0,4,1.2,0.0
pdm,prior [lebowski],pooled,9,2.8000000000000003,9,-5.799999999999999,1.0,9,0.3999999999999999,0.2222222222222222
pdm,M-C pair [lebowski],pooled,15,3.4000000000000004,15,-3.8,1.0,15,0.6000000000000001,0.2
pdm,M-C pair (mu=0) [lebowski],pooled,25,2.6,24,-4.9,1.0,25,0.7999999999999998,0.0
pdm,M-C pair qwen [lebowski],pooled,11,2.4000000000000004,11,-6.3999999999999995,1.0,11,0.3999999999999999,0.36363636363636365
pdm,M-C pair op [lebowski],pooled,15,3.6,15,-3.8,1.0,15,1.2000000000000002,0.13333333333333333
pdm,M-C hard [lebowski],pooled,9,2.4000000000000004,9,-6.6,1.0,9,0.3999999999999999,0.4444444444444444
pdm,M-C uniform [lebowski],pooled,10,3.5,10,-6.5,1.0,10,0.5000000000000001,0.2
pdm,gate any,pooled,23,0.8,20,-0.6000000000000001,0.95,23,0.8,0.0
pdm,gate pedestrian,pooled,30,0.8,22,-0.7,0.9545454545454546,30,0.8,0.0
pdm,gate any (L = 0.6 s),pooled,23,0.8,20,-0.6000000000000001,0.95,23,0.8,0.0
pdm,TFv6 target speed,pedestrian,12,0.6000000000000001,7,-1.6,1.0,12,0.6000000000000001,0.0
pdm,TFv6 waypoint speed 2 s,pedestrian,14,2.0,5,-1.2000000000000002,0.8,14,0.4,0.35714285714285715
pdm,TFv6 target speed (decoded scalar),pedestrian,12,0.6000000000000001,7,-1.6,1.0,12,0.6000000000000001,0.0
pdm,ridge ego,pedestrian,34,0.8,28,-0.8,0.9285714285714286,34,0.8,0.029411764705882353
pdm,ridge_late op-cinque temporal,pedestrian,2,1.0,0,,,2,1.0,0.0
pdm,ridge_late op-lebowski temporal,pedestrian,1,0.4,1,-2.6,1.0,1,0.0,0.0
pdm,prior [cinque],pedestrian,2,1.0,0,,,2,1.0,0.0
pdm,M-C pair [cinque],pedestrian,3,1.0,1,-0.4000000000000001,1.0,3,1.0,0.0
pdm,M-C pair (mu=0) [cinque],pedestrian,2,0.6,1,-0.4000000000000001,1.0,2,0.6,0.0
pdm,M-C pair qwen [cinque],pedestrian,2,1.0,0,,,2,1.0,0.0
pdm,M-C pair op [cinque],pedestrian,2,1.0,0,,,2,1.0,0.0
pdm,M-C hard [cinque],pedestrian,1,1.0,0,,,1,1.0,0.0
pdm,M-C uniform [cinque],pedestrian,2,1.0,0,,,2,1.0,0.0
pdm,prior [lebowski],pedestrian,1,0.4,1,-2.6,1.0,1,0.0,0.0
pdm,M-C pair [lebowski],pedestrian,1,0.4,1,-2.6,1.0,1,0.0,0.0
pdm,M-C pair (mu=0) [lebowski],pedestrian,1,0.6000000000000001,0,,,1,0.6000000000000001,0.0
pdm,M-C pair qwen [lebowski],pedestrian,1,0.4,1,-2.6,1.0,1,0.0,0.0
pdm,gate any,pedestrian,23,0.8,20,-0.6000000000000001,0.95,23,0.8,0.0
pdm,gate pedestrian,pedestrian,30,0.8,22,-0.7,0.9545454545454546,30,0.8,0.0
pdm,gate any (L = 0.6 s),pedestrian,23,0.8,20,-0.6000000000000001,0.95,23,0.8,0.0
pdm,TFv6 target speed,cut-in,29,2.0,29,-4.8,1.0,29,0.0,0.4827586206896552
pdm,TFv6 waypoint speed 2 s,cut-in,22,2.5,22,-3.4000000000000004,1.0,22,0.3999999999999999,0.13636363636363635
pdm,TFv6 target speed (decoded scalar),cut-in,28,2.1,28,-4.8,1.0,28,-0.09999999999999998,0.5
pdm,ridge ego,cut-in,23,3.8000000000000003,23,-1.8000000000000003,1.0,23,1.6,0.0
pdm,ridge_late L18_mean,cut-in,2,1.5,2,-4.300000000000001,1.0,2,-0.20000000000000007,0.5
pdm,ridge_late op-cinque temporal,cut-in,3,3.0,3,-4.8,1.0,3,1.4,0.3333333333333333
pdm,ridge_late op-cinque vision,cut-in,1,3.8000000000000003,1,-1.4,1.0,1,1.6,0.0
pdm,ridge_late op-lebowski temporal,cut-in,8,3.2,8,-6.199999999999999,1.0,8,0.3999999999999999,0.25
pdm,ridge_late op-lebowski vision,cut-in,5,3.8000000000000003,5,-5.6,1.0,5,1.4,0.0
pdm,ridge_late op-lebowski hidden,cut-in,11,3.6,11,-5.6,1.0,11,1.2,0.0
pdm,prior [cinque],cut-in,3,3.0,3,-4.8,1.0,3,1.4,0.3333333333333333
pdm,M-C pair [cinque],cut-in,6,2.5,6,-4.3,1.0,6,0.6000000000000001,0.16666666666666666
pdm,M-C pair (mu=0) [cinque],cut-in,11,2.4000000000000004,11,-6.4,1.0,11,0.3999999999999999,0.09090909090909091
pdm,M-C pair qwen [cinque],cut-in,3,2.4000000000000004,3,-4.8,1.0,3,0.0,0.3333333333333333
pdm,M-C pair op [cinque],cut-in,5,3.0,5,-3.8,1.0,5,1.2,0.2
pdm,M-C hard [cinque],cut-in,2,2.7,2,-5.8999999999999995,1.0,2,1.0,0.0
pdm,M-C uniform [cinque],cut-in,2,3.4000000000000004,2,-3.5,1.0,2,1.5,0.0
pdm,prior [lebowski],cut-in,8,3.2,8,-6.199999999999999,1.0,8,0.3999999999999999,0.25
pdm,M-C pair [lebowski],cut-in,14,3.5,14,-4.3,1.0,14,0.6000000000000001,0.21428571428571427
pdm,M-C pair (mu=0) [lebowski],cut-in,24,2.9000000000000004,24,-4.9,1.0,24,0.8000000000000003,0.0
pdm,M-C pair qwen [lebowski],cut-in,10,2.9000000000000004,10,-6.5,1.0,10,0.3999999999999999,0.4
pdm,M-C pair op [lebowski],cut-in,15,3.6,15,-3.8,1.0,15,1.2000000000000002,0.13333333333333333
pdm,M-C hard [lebowski],cut-in,9,2.4000000000000004,9,-6.6,1.0,9,0.3999999999999999,0.4444444444444444
pdm,M-C uniform [lebowski],cut-in,10,3.5,10,-6.5,1.0,10,0.5000000000000001,0.2
