examinee,n_reactive,flip_rate,flip_lo,flip_hi,false_flip_null_oos
TFv6 waypoint speed 2 s,458,0.384,0.274,0.49,0.071
ridge ego,458,0.0,0.0,0.0,0.006
ridge_late L18_last,458,0.0,0.0,0.0,0.053
ridge_late op-cinque temporal,458,0.478,0.341,0.605,0.051
ridge_late op-lebowski temporal,458,0.424,0.28,0.571,0.055
