tap,vs,n_frames,routes,auc,auc_vs,delta,lo,hi
L18_mean,L18_last,3744,37,0.6354062868110344,0.635188095825115,0.00021819098591935315,-0.040749753283667596,0.04633256819366531
op-cinque temporal,L18_last,3744,37,0.5395931924127035,0.635188095825115,-0.0955949034124115,-0.14309172976065535,-0.04204988260840382
op-lebowski temporal,L18_last,3744,37,0.5433953228299182,0.635188095825115,-0.09179277299519684,-0.13766665427973696,-0.04204335329883814
