run,family,n,DS,DS_lo,DS_hi,SR,SR_lo,SR_hi
blue.r1,all,209,90.5518764784689,87.93737810119617,93.00697555944976,77.03349282296651,71.29186602870813,82.77511961722487
blue.r1,sudden,65,96.8616697076923,93.46078004884615,99.38461538461539,93.84615384615384,87.6923076923077,98.46153846153847
blue.r1,vru_emerging,10,100.0,100.0,100.0,100.0,100.0,100.0
blue.r1,vru_crossing,20,100.0,100.0,100.0,100.0,100.0,100.0
blue.r1,cut_in,15,92.91266666666667,82.31733333333334,100.0,86.66666666666667,66.66666666666667,100.0
blue.r1,lead_hard_brake,5,100.0,100.0,100.0,100.0,100.0,100.0
blue.r1,junction_violator,15,93.48790206666666,83.50913746666667,100.0,86.66666666666667,66.66666666666667,100.0
blue.r1,unprotected_turn,30,76.0193581,67.40394844750001,84.23333333333333,46.666666666666664,30.0,63.333333333333336
blue.r1,merge_lane_change,29,86.71611093103448,78.58248965431035,93.56135234482757,62.06896551724138,44.827586206896555,79.3103448275862
blue.r1,obstacle_bypass,50,90.87971386000001,85.237223013,95.78,80.0,68.0,90.0
blue.r1,emergency_vehicle,5,70.0,70.0,70.0,0.0,0.0,0.0
blue.r1,routine_control,30,98.0,95.0,100.0,93.33333333333333,83.33333333333333,100.0
blue.r1,ability:Overtaking,45,89.86634873333334,83.77863836277778,95.20243377777777,77.77777777777777,64.44444444444444,88.88888888888889
blue.r1,ability:Merging,69,83.99055014492754,78.59694089094202,89.11076980615941,60.869565217391305,49.27536231884058,72.46376811594203
blue.r1,ability:Emergency_Brake,60,96.60014218333332,92.86709321666667,99.33333333333333,93.33333333333333,86.66666666666667,98.33333333333333
blue.r1,ability:Give_Way,10,85.0,76.0,94.0,50.0,20.0,80.0
blue.r1,ability:Traffic_Signs,93,89.38601369892473,85.23334022258064,93.1432100107527,75.26881720430107,65.59139784946237,83.87096774193549
blue.r2,all,207,91.291322352657,88.82822442838165,93.6693250092995,78.74396135265701,72.94685990338164,84.05797101449275
blue.r2,sudden,64,97.7385224375,95.2385224375,99.6875,93.75,87.5,98.4375
blue.r2,vru_emerging,10,100.0,100.0,100.0,100.0,100.0,100.0
blue.r2,vru_crossing,20,99.0,97.0,100.0,95.0,85.0,100.0
blue.r2,cut_in,14,100.0,100.0,100.0,100.0,100.0,100.0
blue.r2,lead_hard_brake,5,100.0,100.0,100.0,100.0,100.0,100.0
blue.r2,junction_violator,15,91.68436240000001,83.0530872,100.0,80.0,60.0,100.0
blue.r2,unprotected_turn,30,78.00210506666666,69.86877173333332,86.13333333333334,50.0,33.333333333333336,66.66666666666667
blue.r2,merge_lane_change,28,89.58194971428573,82.16572417857142,96.07142857142857,71.42857142857143,53.57142857142857,85.71428571428571
blue.r2,obstacle_bypass,50,90.27361094,84.29380850849999,95.67361094,80.0,68.0,90.0
