a,b,group,n,dDS,dDS_lo,dDS_hi,dSR,dSR_lo,dSR_hi,bar_DS,bar_SR,noise_ref,within_noise_DS,within_noise_SR
tfv6.user,blue.r1,all,200,-1.3800789700000002,-6.005567700249999,3.0822719536249994,1.5,-6.5,9.0,2.274322700076839,4.982137319851344,BLUE,True,True
tfv6.user,blue.r1,sudden,64,-8.487320796875,-16.393470934765627,-1.0886533125000077,-10.9375,-21.875,0.0,2.537501042048273,6.144950501563595,BLUE,False,False
tfv6.user,blue.r1,vru_emerging,10,-20.0,-40.0,0.0,-30.0,-60.0,0.0,5.773502691896258,11.547005383792515,BLUE,False,False
tfv6.user,blue.r1,vru_crossing,20,-7.0,-19.0,0.0,-10.0,-25.0,0.0,4.5077710678338585,10.000000000000002,BLUE,False,False
tfv6.user,blue.r1,cut_in,14,7.593571428571429,0.0,18.945714285714285,14.285714285714286,0.0,35.714285714285715,4.173124247658409,10.432810619146023,BLUE,False,False
tfv6.user,blue.r1,lead_hard_brake,5,-20.0,-60.0,0.0,-20.0,-60.0,0.0,0.0,0.0,BLUE,False,False
tfv6.user,blue.r1,junction_violator,15,-13.966568733333334,-34.74973784833333,5.328226751666665,-20.0,-53.333333333333336,13.333333333333334,7.148928433953858,18.856180831641268,BLUE,False,False
tfv6.user,sparsedrivev2,all,200,0.15668780999999987,-4.201053076,4.232615017249999,9.5,1.5,17.5,2.274322700076839,4.982137319851344,BLUE,True,False
tfv6.user,sparsedrivev2,sudden,64,-2.3970284062500005,-10.0772927546875,4.81479916875,7.8125,-6.25,20.3125,2.537501042048273,6.144950501563595,BLUE,True,False
tfv6.user,sparsedrivev2,vru_emerging,10,-20.0,-40.0,0.0,-30.0,-60.0,0.0,5.773502691896258,11.547005383792515,BLUE,False,False
tfv6.user,sparsedrivev2,vru_crossing,20,6.855615349999999,-2.20273435,17.25,30.0,5.0,55.0,4.5077710678338585,10.000000000000002,BLUE,False,False
tfv6.user,sparsedrivev2,cut_in,14,2.857142857142857,0.0,8.571428571428571,7.142857142857143,0.0,21.428571428571427,4.173124247658409,10.432810619146023,BLUE,False,False
