method,family,k_runs,n,identical_routes,sd_single_run_mean,sd_single_run_sr,run_means_min,run_means_max,sr_changes
BLUE,all,6,206,0.6844660194174758,0.8040945019154156,1.7614515418347283,90.47856712135922,91.28453816990289,58
BLUE,sudden,6,64,0.84375,0.8971420970501323,2.172568084855647,96.8125,98.4375,9
BLUE,vru_emerging,6,10,0.9,2.041241452319315,4.0824829046386295,95.0,100.0,1
BLUE,vru_crossing,6,20,0.85,1.5937377450509227,3.5355339059327378,96.8,100.0,3
BLUE,cut_in,6,14,0.9285714285714286,1.475422227126635,3.688555567816588,97.14285714285714,100.0,1
BLUE,lead_hard_brake,6,5,1.0,0.0,0.0,100.0,100.0,0
BLUE,junction_violator,6,15,0.6666666666666666,2.5275278869330493,6.666666666666667,91.3687256,95.47393740000001,4
BLUE,unprotected_turn,6,30,0.3333333333333333,2.971299536408061,6.497862896539309,74.24455943333332,78.00210506666666,16
BLUE,merge_lane_change,6,27,0.5925925925925926,2.4598563219960248,5.894980931512753,83.38356422222222,90.82296296296296,11
BLUE,obstacle_bypass,6,50,0.6,2.083987426698518,4.0,90.19940360000001,92.09491713999999,18
BLUE,emergency_vehicle,6,5,1.0,0.0,0.0,70.0,70.0,0
BLUE,routine_control,6,30,0.8666666666666667,1.0147066717183,3.162277660168379,97.0,98.0,4
Orion-Lite,all,2,209,0.7703349282296651,0.8214573506323236,1.2659097182127228,80.9707823014354,81.20978136363635,14
Orion-Lite,sudden,2,65,0.8307692307692308,1.2150629770338846,2.4325212770526,89.49512964615383,91.3959102,5
Orion-Lite,vru_emerging,2,10,0.7,5.10262677451526,10.0,73.6,82.16,2
Orion-Lite,vru_crossing,2,20,0.8,1.2550283133802052,3.5355339059327378,91.17267765,93.29275535000001,1
Orion-Lite,cut_in,2,15,0.8666666666666667,3.5577770837670224,6.666666666666667,90.4,97.33333333333333,2
Orion-Lite,lead_hard_brake,2,5,1.0,0.0,0.0,100.0,100.0,0
Orion-Lite,junction_violator,2,15,0.8666666666666667,0.8326097772534262,0.0,89.045374,90.621888,0
Orion-Lite,unprotected_turn,2,30,0.7333333333333333,1.5870538609577274,0.0,57.9524142,59.53036186666667,0
Orion-Lite,merge_lane_change,2,29,0.6896551724137931,2.8988012826286345,4.223258177212376,75.89538810344828,76.86189206896553,3
Orion-Lite,obstacle_bypass,2,50,0.82,1.8527510059530774,2.8284271247461903,85.62415239999999,88.37223304,4
Orion-Lite,emergency_vehicle,2,5,0.8,3.9597979746446663,0.0,64.4,70.0,0
Orion-Lite,routine_control,2,30,0.6666666666666666,2.3405493571248828,3.3333333333333335,79.91770419999999,80.4675137,2
DriveMoE,all,2,209,0.5454545454545454,1.4097609688106336,2.0855975806414704,72.7689502200957,73.73886905741628,38
DriveMoE,sudden,2,65,0.5846153846153846,2.6419120760551635,4.070386632407063,76.40820569230769,81.6379559076923,14
DriveMoE,vru_emerging,2,10,1.0,0.0,0.0,100.0,100.0,0
DriveMoE,vru_crossing,2,20,0.4,7.0695979345672315,10.606601717798213,72.78790534999999,76.30159815,9
DriveMoE,cut_in,2,15,0.8666666666666667,2.5927516485600988,6.666666666666667,94.81666666666666,100.0,2
DriveMoE,lead_hard_brake,2,5,1.0,0.0,0.0,100.0,100.0,0
DriveMoE,junction_violator,2,15,0.13333333333333333,5.957259924499548,8.16496580927726,39.23501753333333,52.029011399999995,3
DriveMoE,unprotected_turn,2,30,0.4666666666666667,3.1692161776604513,4.08248290463863,52.687645866666664,56.94765,3
DriveMoE,merge_lane_change,2,29,0.6896551724137931,2.9083490611967124,4.223258177212376,73.28956779310344,75.30269068965517,3
DriveMoE,obstacle_bypass,2,50,0.36,3.287938736141876,5.0990195135927845,68.23434176,70.88945000000001,13
DriveMoE,emergency_vehicle,2,5,0.8,3.9597979746446663,0.0,64.4,70.0,0
DriveMoE,routine_control,2,30,0.6666666666666666,3.9089697457257686,5.2704627669473,84.58041483333335,86.10991066666666,5
