arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
op-small temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1055,1.7925362586975098,-0.1378137320280075,-0.23840779934194012,-0.0402182109484027,0.09909479419676871,,
op-small temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",14063,1.4247686862945557,-0.180129736661911,-0.212656466758656,-0.15098982392990346,0.030833321414376266,,
op-small temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",8202,1.226657748222351,-0.2233339548110962,-0.2671742723366074,-0.18104896654560879,0.043062652895499307,,
op-small temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.057301727466615,-0.010940160626124915,-0.17309759070711822,0.14192119596973965,0.15750939333842895,7.063319050434211,7.0573486513214565
op-small temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1055,1.7925362586975098,-0.11947786808013916,-0.2181739492914414,-0.02500728739882117,0.09658333094631012,,
op-small temporal,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",14063,1.4247686862945557,-0.21545709669589996,-0.25040580990541456,-0.18502530384175706,0.03269025303182875,,
op-small temporal,d2 qwenvid L18_last,"side: straight, deciles 1-9",8202,1.226657748222351,-0.2873278856277466,-0.33289690711546266,-0.24460023779284631,0.04414833466130817,,
op-small temporal,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,7.057301727466615,-0.0533911653530778,-0.19685717567322344,0.08915603485215833,0.14300660526269088,7.063319050434211,7.0963432753266575
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1055,1.7393325567245483,-0.1910174936056137,-0.3278752542061404,-0.07136661016193173,0.12825432202210432,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",14063,1.3202838897705078,-0.2846144735813141,-0.31894207543273684,-0.24980787701582807,0.03456709920845438,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",8202,1.1417198181152344,-0.30827203392982483,-0.35649673907605434,-0.26423217240416874,0.0461322833359428,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.385333890090175,0.3170920019974343,0.15089675082533707,0.4755273170011903,0.1623152830879266,7.40036192950615,7.0573486513214565
op-cinque temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1055,1.7393325567245483,-0.17268157005310059,-0.3060096844027534,-0.05124349390391206,0.12738309524942065,,
op-cinque temporal,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",14063,1.3202838897705078,-0.31994181871414185,-0.3561758408022514,-0.2825848796189186,0.0367954805916664,,
op-cinque temporal,d2 qwenvid L18_last,"side: straight, deciles 1-9",8202,1.1417198181152344,-0.3722659647464752,-0.4221162736536601,-0.3233832963791491,0.04936648863725551,,
op-cinque temporal,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,7.385333890090175,0.2746409972704814,0.11155198978483968,0.42644484615701916,0.15744642818608973,7.40036192950615,7.0963432753266575
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1055,1.720406413078308,-0.2099435180425644,-0.35665913049631665,-0.07630782504856122,0.14017565272387772,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",14063,1.3128560781478882,-0.29204240441322327,-0.32894148714418403,-0.25525483465648263,0.0368433262438507,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",8202,1.1259621381759644,-0.3240295946598053,-0.370935115620079,-0.278825301021372,0.04605490729935352,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.372161627596503,0.3039197395037625,0.12388459353319675,0.4726439033492003,0.17437965490800178,7.3670553874711135,7.0573486513214565
op-lebowski temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1055,1.720406413078308,-0.19160763919353485,-0.3351386342340934,-0.06879549574405064,0.13317156924502138,,
