arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
op-small temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1265,1.8229631185531616,-0.0247979573905468,-0.12302258559113381,0.06922242786813525,0.09612250672963453,,
op-small temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",17695,1.3733643293380737,-0.1570800244808197,-0.18491824306224908,-0.13121022689787118,0.02685400808218895,,
op-small temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",10645,1.1634581089019775,-0.2103467881679535,-0.24590764636216106,-0.17506747535755326,0.0354200855023039,,
op-small temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.044859581508031,-0.03991681161080863,-0.20651000557565924,0.1108953594961732,0.1587026825359162,7.013966328475696,7.0514250633873985
op-small temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1265,1.8229631185531616,-0.005727296229451895,-0.09712900351745553,0.08392549687663323,0.09052725019704438,,
op-small temporal,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",17695,1.3733643293380737,-0.17987489700317383,-0.20836325914217407,-0.15273131405502596,0.027815972543574055,,
op-small temporal,d2 qwenvid L18_last,"side: straight, deciles 1-9",10645,1.1634581089019775,-0.2526465654373169,-0.2896744528995441,-0.2178926441769914,0.03589090436127634,,
op-small temporal,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,7.044859581508031,-0.06483529206789174,-0.2097080656152559,0.07216141814242148,0.1409347418788387,7.013966328475696,7.068993894224159
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1265,1.7367011308670044,-0.11105979979038239,-0.22886079049087654,0.004982074214124864,0.1169214323525007,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",17695,1.2521586418151855,-0.2782858610153198,-0.3069653736917951,-0.24727590081217155,0.02984473643981178,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",10645,1.0640982389450073,-0.30970659852027893,-0.34657477813682713,-0.27269438336972035,0.03694019738355339,,
op-cinque temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.392647988985744,0.30787159586690616,0.13475994201719158,0.46514400059445904,0.16519202928863375,7.408938890550992,7.0514250633873985
op-cinque temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1265,1.7367011308670044,-0.09198914468288422,-0.2004381819907009,0.019863337658063876,0.11015075982438238,,
op-cinque temporal,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",17695,1.2521586418151855,-0.30108073353767395,-0.3311899980593708,-0.2674601066387677,0.03186494571030157,,
op-cinque temporal,d2 qwenvid L18_last,"side: straight, deciles 1-9",10645,1.0640982389450073,-0.35200634598731995,-0.39061454977499205,-0.3137157195394489,0.038449415117771585,,
op-cinque temporal,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,7.392647988985744,0.28295311540982304,0.12406659882036644,0.4402304156509576,0.15808190841529557,7.408938890550992,7.068993894224159
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1265,1.7686978578567505,-0.07906311005353928,-0.21109437496346448,0.051780461349078113,0.1314374181562713,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",17695,1.2582013607025146,-0.27224308252334595,-0.3022531083296881,-0.24075326500205918,0.03074992166381446,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",10645,1.062526822090149,-0.31127798557281494,-0.3517276799871624,-0.2746015370690067,0.03856307145907786,,
op-lebowski temporal,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,7.36445981839861,0.2796834252797719,0.11088636567320168,0.44806736210362486,0.1685904982152116,7.3776982963711735,7.0514250633873985
op-lebowski temporal,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1265,1.7686978578567505,-0.05999245122075081,-0.1881280711775344,0.06445119918089239,0.1262896351792134,,
op-lebowski temporal,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",17695,1.2582013607025146,-0.2950379252433777,-0.32783706565607945,-0.26098146804665995,0.03342779880470975,,
op-lebowski temporal,d2 qwenvid L18_last,"side: straight, deciles 1-9",10645,1.062526822090149,-0.35357776284217834,-0.39485281452833854,-0.3156351016549802,0.03960885643667916,,
op-lebowski temporal,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,7.36445981839861,0.25476494482268885,0.09984171456584487,0.40781334798914864,0.1539858167116519,7.3776982963711735,7.068993894224159
alp L18_mean,A ridge_late pooled (qwen4b L18),"(i) pre-onset, deciles 1-9",1265,1.8752069473266602,0.027445966377854347,-0.05975308150151531,0.11696203648902838,0.08835755899527184,,
alp L18_mean,A ridge_late pooled (qwen4b L18),"(ii) all frames, deciles 1-9",17695,1.468907356262207,-0.06153694540262222,-0.08301272175071381,-0.04094982013164793,0.02103145080953294,,
alp L18_mean,A ridge_late pooled (qwen4b L18),"side: straight, deciles 1-9",10645,1.2885546684265137,-0.08525025099515915,-0.11739417264193329,-0.05507785939722039,0.03115815662235645,,
alp L18_mean,A ridge_late pooled (qwen4b L18),"(iii) RFS, rater frames",478,6.981251182080185,-0.10352521103865372,-0.25249468902205907,0.027657707651603126,0.1400761983368311,7.028453656141051,7.0514250633873985
alp L18_mean,d2 qwenvid L18_last,"(i) pre-onset, deciles 1-9",1265,1.8752069473266602,0.04651661589741707,-0.039915624177474913,0.14007738172727502,0.08999650295237496,,
alp L18_mean,d2 qwenvid L18_last,"(ii) all frames, deciles 1-9",17695,1.468907356262207,-0.08433182537555695,-0.1080779544247694,-0.06241178273656554,0.022833085844101934,,
alp L18_mean,d2 qwenvid L18_last,"side: straight, deciles 1-9",10645,1.2885546684265137,-0.12755002081394196,-0.16188915822546493,-0.09450777487621544,0.03369069167462475,,
alp L18_mean,d2 qwenvid L18_last,"(iii) RFS, rater frames",478,6.981251182080185,-0.12844369149573684,-0.2532663989901304,-0.012440007476462022,0.12041319575683421,7.028453656141051,7.068993894224159
