direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8720495700836182,-0.0213314201682806,-0.061354903637195486,0.01832613065629129,0.03984051714674339,False
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8985004425048828,0.005119594745337963,-0.038530905699201555,0.04671396942944981,0.04262243756432568,False
0,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8402647972106934,-0.05311603844165802,-0.09168429170836671,-0.01798717088335718,0.03684856041250477,True
0,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.852325439453125,-0.041055671870708466,-0.08338427193068089,-0.000242805082440846,0.04157073342412002,False
0,op-small temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9356203079223633,0.04223931208252907,-0.07891832434388213,0.1620849788002128,0.12050165157204747,False
0,op-small vision,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9773890972137451,0.08400823175907135,-0.018181293741068052,0.20672095950201344,0.11245112662154075,False
0,op-small hidden,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9694205522537231,0.07603957504034042,-0.041476355246044205,0.2077611198056319,0.12461873752583805,False
0,op-small plan,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.04547119140625,0.15209010243415833,0.0033267402581057697,0.28902878142737726,0.14285102058463575,False
0,op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.841249942779541,-0.05213094502687454,-0.205872439789279,0.09602651707633232,0.15094947843280565,False
0,op-cinque vision,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8991458415985107,0.005764835514128208,-0.1172399046206226,0.14266709573997205,0.12995350018029733,False
0,op-cinque hidden,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9145612716674805,0.021180275827646255,-0.09819504230601037,0.15244283957469382,0.1253189409403521,False
0,op-cinque plan,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.914074420928955,0.020693622529506683,-0.1587621267585616,0.2090924939685406,0.1839273103635511,False
0,op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8399816751480103,-0.05339941382408142,-0.21059884782547797,0.11062571477117716,0.16061228129832755,False
0,op-lebowski vision,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8882523775100708,-0.005128634627908468,-0.1208500915676439,0.13276701889233497,0.12680855522998943,False
0,op-lebowski hidden,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9099615812301636,0.016580628231167793,-0.0988029045891079,0.15697276327550783,0.12788783393230785,False
0,op-lebowski plan,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.865498423576355,-0.027882596477866173,-0.22157017768830706,0.17660476432100983,0.19908747100465846,False
0,alp vit_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9070335626602173,0.01365269348025322,-0.03169759602070129,0.05954171067401607,0.04561965334735868,False
0,alp vis_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9164011478424072,0.02302032895386219,-0.018246941835173353,0.06808851240266872,0.043167727118921036,False
0,alp L09_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8952652215957642,0.0018841404234990478,-0.04981214679074199,0.05261538235195585,0.05121376457134892,False
0,alp L09_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9349148273468018,0.04153386130928993,-0.048636777647260085,0.142951203771738,0.09579399070949904,False
0,alp L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9244366884231567,0.031055932864546776,-0.07895694204460121,0.14347791821665382,0.11121743013062751,False
0,alp L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8874304294586182,-0.005950582213699818,-0.11904518727883072,0.10505205677203192,0.11204862202543131,False
0,alp L27_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.9091615676879883,0.015780651941895485,-0.08630140917169396,0.12041943924598439,0.10336042420883917,False
0,alp L27_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.7402175664901733,-0.15316329896450043,-0.2866089732976797,-0.02423186527802077,0.13118855400982946,True
