direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,rel_gain,rel_lo,rel_hi
0,A ridge_late pooled (qwen4b L18),all,1,1002,0.017727196216583252,0.49299851059913635,0.40547317,0.5143729,0.10889964,26.85742125455572,20.7545168159826,32.88429703734039
0,A ridge_late pooled (qwen4b L18),all,2,1002,0.4933118224143982,0.7395411729812622,0.6591973,0.71737444,0.058177207,8.825462306371131,6.046573350926011,11.913770648434133
0,A ridge_late pooled (qwen4b L18),all,3,1003,0.7395424246788025,0.978277862071991,0.9283643,0.92716944,-0.0011948129,-0.12870087413424197,-2.767852613589257,2.799464274382721
0,A ridge_late pooled (qwen4b L18),all,4,1001,0.9788922071456909,1.2547475099563599,1.1197293,1.0792778,-0.0404515,-3.6126143408314944,-6.2021306720566285,-0.9072630947688444
0,A ridge_late pooled (qwen4b L18),all,5,1002,1.2548574209213257,1.5644994974136353,1.3968439,1.3280687,-0.06877514,-4.923609520433236,-7.003112907037097,-2.829687307598746
0,A ridge_late pooled (qwen4b L18),all,6,1003,1.5647472143173218,1.9282238483428955,1.6955377,1.6238459,-0.07169158,-4.228250465559757,-6.020294415681814,-2.460478584811024
0,A ridge_late pooled (qwen4b L18),all,7,1002,1.9283781051635742,2.4111974239349365,2.0705163,1.9485626,-0.121953845,-5.890020870816841,-7.7800177774892685,-4.210246099664503
0,A ridge_late pooled (qwen4b L18),all,8,1001,2.4116320610046387,3.080390214920044,2.5707967,2.4204562,-0.15034032,-5.848004901924869,-7.843608537438301,-4.214873427314786
0,A ridge_late pooled (qwen4b L18),all,9,1002,3.080453634262085,4.129570007324219,3.3381734,3.171107,-0.16706659,-5.004730716702732,-6.745393473928959,-3.293650553227784
0,A ridge_late pooled (qwen4b L18),all,10,1003,4.130326747894287,24.753894805908203,5.7399364,5.631161,-0.10877487,-1.8950536028229736,-2.763808468892033,-1.0797618282428405
0,d vjepa2 mean,all,1,1002,0.017727196216583252,0.49299851059913635,0.40547317,0.54462284,0.13914965,34.31784401836268,26.780682450369515,43.27641581717825
0,d vjepa2 mean,all,2,1002,0.4933118224143982,0.7395411729812622,0.6591973,0.763827,0.10462974,15.872295706087845,11.375172248499206,20.251177530102435
0,d vjepa2 mean,all,3,1003,0.7395424246788025,0.978277862071991,0.9283643,0.9666999,0.038335674,4.129378355618949,1.3464770979901697,7.211137691208167
0,d vjepa2 mean,all,4,1001,0.9788922071456909,1.2547475099563599,1.1197293,1.1205529,0.000823584,0.07355206228201783,-2.6248064583687656,2.894722359546827
0,d vjepa2 mean,all,5,1002,1.2548574209213257,1.5644994974136353,1.3968439,1.3499819,-0.04686202,-3.354850226702178,-5.871234348096559,-1.05806057641069
0,d vjepa2 mean,all,6,1003,1.5647472143173218,1.9282238483428955,1.6955377,1.6147068,-0.08083078,-4.767265469988085,-6.706936822937587,-3.0031813221144192
0,d vjepa2 mean,all,7,1002,1.9283781051635742,2.4111974239349365,2.0705163,1.9298381,-0.14067844,-6.794364879453041,-8.927623659024455,-4.910215241786525
0,d vjepa2 mean,all,8,1001,2.4116320610046387,3.080390214920044,2.5707967,2.393329,-0.17746805,-6.903231383633584,-9.491344324169075,-4.855653392697305
0,d vjepa2 mean,all,9,1002,3.080453634262085,4.129570007324219,3.3381734,3.1102126,-0.22796065,-6.828903701466877,-8.609078687160928,-5.237349442842838
0,d vjepa2 mean,all,10,1003,4.130326747894287,24.753894805908203,5.7399364,5.4671726,-0.27276355,-4.752030920989616,-5.52984347050448,-4.028181536437489
0,d2 qwenvid L18_last,all,1,1002,0.017727196216583252,0.49299851059913635,0.40547317,0.51612484,0.110651635,27.289508182840635,19.62278094401646,35.412768201241825
0,d2 qwenvid L18_last,all,2,1002,0.4933118224143982,0.7395411729812622,0.6591973,0.7404211,0.0812239,12.321637425578654,8.915705676765992,16.1350145131374
0,d2 qwenvid L18_last,all,3,1003,0.7395424246788025,0.978277862071991,0.9283643,0.95739895,0.029034691,3.1275105747100165,0.24447332087218562,6.094175645457236
0,d2 qwenvid L18_last,all,4,1001,0.9788922071456909,1.2547475099563599,1.1197293,1.1093754,-0.010353978,-0.9246858122351077,-3.0730004400679083,1.4789059075544995
0,d2 qwenvid L18_last,all,5,1002,1.2548574209213257,1.5644994974136353,1.3968439,1.3647463,-0.032097474,-2.2978568690316155,-4.227303000102121,-0.40725104373627824
