direction,arm,n_hi,n_lo,dade_pre_onset,dade_straight,did,did_lo,did_hi,halfwidth
0,A ridge_late pooled (qwen4b L18),752,5855,-0.015095296,-0.08051471,0.06541941314935684,0.021792050884360658,0.1155241024841405,0.04686602579988992
0,d vjepa2 mean,752,5855,-0.017593108,-0.0846971,0.06710398942232132,0.014722725344729879,0.11799126228524329,0.051634268470256706
0,d2 qwenvid L18_last,752,5855,-0.05356258,-0.044121984,-0.009440597146749496,-0.05737398578017395,0.035392626592243,0.04638330618620848
0,d2 qwenvid L18_mean,752,5855,-0.044052016,-0.08122709,0.037175070494413376,-0.010368390801501492,0.0873049777425007,0.0488366842720011
0,op-small temporal,752,5855,-0.10446518,-0.35961834,0.2551531493663788,0.09356344339502604,0.4149806655792045,0.16070861109208923
0,op-small vision,752,5855,-0.026460571,-0.32418227,0.2977217137813568,0.1380009568312834,0.44034062487018905,0.15116983401945283
0,op-small hidden,752,5855,-0.084691815,-0.34973487,0.2650430500507355,0.10644391515789794,0.42038552367487275,0.15697080425848742
0,op-small plan,752,5855,-0.059829835,-0.33819824,0.27836841344833374,0.07320199397640394,0.4812287401558026,0.20401337308969933
0,op-cinque temporal,752,5855,-0.29264826,-0.4833908,0.19074255228042603,-0.0025457426109639185,0.39244426095377305,0.19749500178236848
0,op-cinque vision,752,5855,-0.12569262,-0.34644535,0.22075273096561432,0.07565865791144266,0.37566529194621945,0.1500033170173884
0,op-cinque hidden,752,5855,-0.1077583,-0.39563057,0.2878722548484802,0.13506582186773727,0.4427435338319368,0.1538388559820998
0,op-cinque plan,752,5855,-0.24988978,-0.46161646,0.21172668039798737,-0.01683582772090322,0.44587809134626344,0.23135695953358332
0,op-lebowski temporal,752,5855,-0.2790743,-0.48398086,0.20490655303001404,-0.015868906885300443,0.4295802719528821,0.2227245894190913
0,op-lebowski vision,752,5855,-0.12933137,-0.3853128,0.2559814453125,0.10162675511726127,0.41592528191751094,0.15714926340012483
0,op-lebowski hidden,752,5855,-0.121670045,-0.37476733,0.2530972957611084,0.09262839033944059,0.41408975516614954,0.16073068241335448
0,op-lebowski plan,752,5855,-0.2830363,-0.46041545,0.17737916111946106,-0.07212990525832291,0.43536857979857707,0.25374924252845
0,alp vit_mean,752,5855,0.0049383407,-0.11930597,0.1242443099617958,0.067400162353184,0.18693242202082722,0.05976612983382161
0,alp vis_mean,752,5855,0.012426474,-0.12109273,0.13351920247077942,0.07894813155278421,0.19604873639593126,0.058550302421573525
0,alp L09_mean,752,5855,-0.026995555,-0.11236092,0.08536536246538162,0.024201418148330656,0.1529667113592085,0.06438264660543892
0,alp L09_last,752,5855,-0.024727374,-0.16700293,0.14227555692195892,0.04188234249235623,0.25635906987146884,0.1072383636895563
0,alp L18_mean,752,5855,-0.048802588,-0.20863666,0.15983407199382782,0.02245795921143364,0.2897819504626084,0.1336619956255874
0,alp L18_last,752,5855,-0.11721192,-0.2748523,0.15764038264751434,0.016505455993405478,0.29176376164567913,0.13762915282613683
0,alp L27_mean,752,5855,-0.067667924,-0.26638967,0.1987217366695404,0.06638317483382568,0.32485421079940496,0.12923551798278965
0,alp L27_last,752,5855,-0.30970728,-0.46453622,0.15482893586158752,-0.016517386966323638,0.3279435721730956,0.17223047956970963
