arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
A ridge_late pooled (qwen4b L18),ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9303500652313232,-0.005185781046748161,-0.04540101948604329,0.04341932896397485,0.04441017422500907,,
A ridge_late pooled (qwen4b L18),ridge ego,"(ii) all frames, deciles 1-9",14063,1.604898452758789,-0.046974845230579376,-0.06897760901403185,-0.02705944015956917,0.020959084427231343,,
A ridge_late pooled (qwen4b L18),ridge ego,"side: straight, deciles 1-9",8202,1.4499917030334473,-0.07892054319381714,-0.11187656798249739,-0.045064571570981565,0.03340599820575791,,
A ridge_late pooled (qwen4b L18),ridge ego,"(iii) RFS, rater frames",478,7.06824188809274,-0.037794104155649655,-0.10810835643733806,0.03565944173240579,0.07188389908487192,7.0573486513214565,7.121091628668748
d vjepa2 mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.8764007091522217,-0.059135016053915024,-0.11677498327687658,-0.0007004704206333276,0.058037256428121624,,
d vjepa2 mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.615790605545044,-0.03608255833387375,-0.05792763173779551,-0.017033859571216517,0.020446886083289498,,
d vjepa2 mean,ridge ego,"side: straight, deciles 1-9",8202,1.4723033905029297,-0.05660898983478546,-0.08761289907582767,-0.027828254911310423,0.029892322082258622,,
d vjepa2 mean,ridge ego,"(iii) RFS, rater frames",478,7.119218726088821,0.01318273384043072,-0.10574894090365643,0.11566555657158152,0.11070724873761897,7.066077944157577,7.121091628668748
d2 qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9120140075683594,-0.023521676659584045,-0.045601747860035576,-0.0008240217090949611,0.022388863075470306,,
d2 qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",14063,1.6402257680892944,-0.011647489853203297,-0.021088398359474972,-0.0034261301985189178,0.008831134080478028,,
d2 qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",8202,1.5139858722686768,-0.014926617965102196,-0.027373147092036164,-0.002285474519612233,0.012543836286211965,,
d2 qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,7.110692892819694,0.004656900571303223,-0.049672616126524655,0.06004456332874176,0.0548585897276332,7.0963432753266575,7.121091628668748
d2 qwenvid L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9013391733169556,-0.034196533262729645,-0.07894250519893212,0.016937416721366182,0.04793996096014915,,
d2 qwenvid L18_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.6196184158325195,-0.03225487470626831,-0.05349034514081496,-0.013525510369381962,0.0199824173857165,,
d2 qwenvid L18_mean,ridge ego,"side: straight, deciles 1-9",8202,1.4795355796813965,-0.04937678948044777,-0.08095435755400915,-0.01748252816247861,0.03173591469576527,,
d2 qwenvid L18_mean,ridge ego,"(iii) RFS, rater frames",478,7.04584875284313,-0.06018723940525881,-0.14336109837242894,0.016371631104036954,0.07986636473823294,7.065140172575889,7.121091628668748
op-small temporal,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7925362586975098,-0.14299951493740082,-0.24051062154707192,-0.04684656365905729,0.09683202894400732,,
op-small temporal,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4247686862945557,-0.2271045744419098,-0.26502656093282956,-0.19568864274006953,0.034668959096380014,,
op-small temporal,ridge ego,"side: straight, deciles 1-9",8202,1.226657748222351,-0.30225449800491333,-0.34921806813828377,-0.25641237677503914,0.04640284568162231,,
op-small temporal,ridge ego,"(iii) RFS, rater frames",478,7.057301727466615,-0.04873426478177457,-0.2093086145061702,0.10571152074692072,0.15751006762654546,7.063319050434211,7.121091628668748
op-small vision,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.8467003107070923,-0.08883555978536606,-0.1732822796635697,-0.00489117040052666,0.08419555463152152,,
op-small vision,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4380143880844116,-0.21385890245437622,-0.24820958454202746,-0.18338820919356205,0.032410687674232705,,
op-small vision,ridge ego,"side: straight, deciles 1-9",8202,1.2477608919143677,-0.2811514735221863,-0.3284541571908825,-0.2352424700966541,0.046605843547114195,,
op-small vision,ridge ego,"(iii) RFS, rater frames",478,7.068633850122079,-0.037402142126311946,-0.18563424600264983,0.10192634192763957,0.1437802939651447,7.0547652806157,7.121091628668748
op-small hidden,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7900927066802979,-0.14544305205345154,-0.2521251109563279,-0.04746188800143821,0.10233161147744484,,
op-small hidden,ridge ego,"(ii) all frames, deciles 1-9",14063,1.425355315208435,-0.22651800513267517,-0.2638011828182959,-0.1947816950278263,0.0345097438952348,,
op-small hidden,ridge ego,"side: straight, deciles 1-9",8202,1.2180436849594116,-0.31086868047714233,-0.3574984057502389,-0.26475679829117454,0.04637080372953217,,
op-small hidden,ridge ego,"(iii) RFS, rater frames",478,6.991816388777602,-0.11421960347078854,-0.28312312753425145,0.03395723580933792,0.15854018167179468,7.000297095476611,7.121091628668748
op-small plan,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9270156621932983,-0.008520131930708885,-0.15207015328600706,0.12834460467084718,0.1402073789784271,,
op-small plan,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4152952432632446,-0.2365780919790268,-0.2765032115990059,-0.19880130726769255,0.03885095216565669,,
op-small plan,ridge ego,"side: straight, deciles 1-9",8202,1.2310413122177124,-0.2978709936141968,-0.347072687052907,-0.2519629638775135,0.047554861587696756,,
op-small plan,ridge ego,"(iii) RFS, rater frames",478,7.131231439741498,0.025195447493108297,-0.12452284727171915,0.17743577386130055,0.15097931056650984,7.145524063516932,7.121091628668748
op-cinque temporal,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7393325567245483,-0.19620326161384583,-0.3313654259855012,-0.07299052310486168,0.1291874514403198,,
op-cinque temporal,ridge ego,"(ii) all frames, deciles 1-9",14063,1.3202838897705078,-0.33158931136131287,-0.36901467997201665,-0.2948285945119662,0.03709304273002523,,
op-cinque temporal,ridge ego,"side: straight, deciles 1-9",8202,1.1417198181152344,-0.38719257712364197,-0.43736363749151685,-0.3357859760629362,0.05078883071429033,,
op-cinque temporal,ridge ego,"(iii) RFS, rater frames",478,7.385333890090175,0.27929789784178466,0.11179204317681403,0.44041345240426255,0.16431070461372427,7.40036192950615,7.121091628668748
op-cinque vision,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7764602899551392,-0.159075528383255,-0.26667555916076024,-0.057411586410589056,0.1046319863750856,,
op-cinque vision,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4253276586532593,-0.22654563188552856,-0.2635455039699903,-0.19374966012516112,0.0348979219224146,,
op-cinque vision,ridge ego,"side: straight, deciles 1-9",8202,1.2226921319961548,-0.3062204122543335,-0.3562821702657157,-0.25638541483342,0.04994837771614785,,
op-cinque vision,ridge ego,"(iii) RFS, rater frames",478,7.085802420333745,-0.020233571914646125,-0.19416826102957482,0.14583026659893522,0.169999263814255,7.082005677065888,7.121091628668748
op-cinque hidden,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7814034223556519,-0.15413230657577515,-0.26502411933176323,-0.043765104195429796,0.11062950756816672,,
op-cinque hidden,ridge ego,"(ii) all frames, deciles 1-9",14063,1.376386284828186,-0.27548691630363464,-0.31142146526763476,-0.24273739861482033,0.034342033326407215,,
op-cinque hidden,ridge ego,"side: straight, deciles 1-9",8202,1.1803510189056396,-0.34856122732162476,-0.39934593393428247,-0.29875717833184684,0.050294377801217816,,
op-cinque hidden,ridge ego,"(iii) RFS, rater frames",478,7.103709116701229,-0.0023268755471612043,-0.17056248828167342,0.15834910827305185,0.16445579827736262,7.085391797299463,7.121091628668748
op-cinque plan,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7964121103286743,-0.13912372291088104,-0.2949703546577362,0.006447526407991679,0.15070894053286393,,
op-cinque plan,ridge ego,"(ii) all frames, deciles 1-9",14063,1.3515903949737549,-0.30028286576271057,-0.33813661656059946,-0.2604420026444813,0.038847306958059075,,
op-cinque plan,ridge ego,"side: straight, deciles 1-9",8202,1.1711022853851318,-0.3578100800514221,-0.410151953451976,-0.306617552722235,0.05176720036487051,,
op-cinque plan,ridge ego,"(iii) RFS, rater frames",478,7.385255328998002,0.27921933674961186,0.0957917010299918,0.4353348903429533,0.16977159465648076,7.468150657893912,7.121091628668748
op-lebowski temporal,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.720406413078308,-0.2151293009519577,-0.3580298678546666,-0.09022063068227405,0.1339046185861963,,
op-lebowski temporal,ridge ego,"(ii) all frames, deciles 1-9",14063,1.3128560781478882,-0.33901724219322205,-0.3788497788612199,-0.30154383714874927,0.038652970856235314,,
op-lebowski temporal,ridge ego,"side: straight, deciles 1-9",8202,1.1259621381759644,-0.40295010805130005,-0.45607464525999103,-0.35039221354753114,0.052841215856229945,,
op-lebowski temporal,ridge ego,"(iii) RFS, rater frames",478,7.372161627596503,0.2661256353481129,0.10137663937214568,0.42716118572818274,0.16289227317801852,7.3670553874711135,7.121091628668748
op-lebowski vision,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7674920558929443,-0.16804374754428864,-0.2665951371479986,-0.06392444286832408,0.10133534713983726,,
op-lebowski vision,ridge ego,"(ii) all frames, deciles 1-9",14063,1.405287504196167,-0.24658578634262085,-0.2851591043702115,-0.21286046844810938,0.03614931796105107,,
op-lebowski vision,ridge ego,"side: straight, deciles 1-9",8202,1.2008466720581055,-0.3280656039714813,-0.38232129266354925,-0.2752220629816685,0.05354961484094037,,
op-lebowski vision,ridge ego,"(iii) RFS, rater frames",478,6.9929372681916115,-0.11309872405677891,-0.27744344748339933,0.04436443490758475,0.16090394119549203,6.973105090118298,7.121091628668748
op-lebowski hidden,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.7749437093734741,-0.16059209406375885,-0.26044943402375503,-0.05839980052474515,0.10102481674950495,,
op-lebowski hidden,ridge ego,"(ii) all frames, deciles 1-9",14063,1.408568263053894,-0.24330492317676544,-0.2821084914154602,-0.21129243374789275,0.03540802883378372,,
op-lebowski hidden,ridge ego,"side: straight, deciles 1-9",8202,1.201859951019287,-0.327052503824234,-0.37781166879750305,-0.27738215098406976,0.050214758906716644,,
op-lebowski hidden,ridge ego,"(iii) RFS, rater frames",478,7.069642981618818,-0.03639301062957206,-0.21138845979067622,0.14272072695024163,0.17705459337045892,7.085935158163825,7.121091628668748
op-lebowski plan,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.795541763305664,-0.13999399542808533,-0.2905140963589821,-0.00021465851781569237,0.1451497189205832,,
