arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,1.9927238,10021,2.3432224,752,1.770139,5855,2.4370253,2315,7.145305032319049,237,7.111921530025397,6.826589355272262,7.448374663723684,0.25316455696202533
ridge_late op-cinque temporal,0,1.5253603,10021,2.0505736,752,1.2867504,5855,1.8915408,2315,7.598557054796089,237,7.636866925741896,7.317267491058431,7.874176513693442,0.16455696202531644
ridge_late op-lebowski temporal,0,1.5354959,10021,2.0641477,752,1.2861605,5855,1.9306564,2315,7.519261124062551,237,7.538059989802077,7.230797688925044,7.7888447394531255,0.17721518987341772
ridge_late qwenvid L18_last,0,1.9561633,10021,2.2896588,752,1.7260171,5855,2.4244537,2315,7.160847039391182,237,7.133913766421084,6.841063948429168,7.445280890255362,0.26582278481012656
ridge_late qwenvid L18_mean,0,1.9339403,10021,2.2991693,752,1.6889124,5855,2.4189332,2315,7.130599581507862,237,7.127938047235501,6.806373552548233,7.412416947161212,0.25738396624472576
ridge_late vjepa2 mean,0,1.926354,10021,2.3256278,752,1.6854423,5855,2.4003215,2315,7.2418749754434,237,7.185083340465482,6.9313359337745055,7.533175532751762,0.23628691983122363
ridge_late concat op-cinque temporal + qwenvid L18_last,0,1.5443705,10021,2.064936,752,1.3028009,5855,1.9095742,2315,7.4857781485462045,237,7.526152860095254,7.208147456916345,7.741605167083391,0.18565400843881857
ridge_late late op-cinque temporal + qwenvid L18_last,0,1.6507347,10021,2.088022,752,1.4235473,5855,2.044649,2315,7.419441670906387,237,7.427511933433303,7.108840189503805,7.694469194087303,0.20675105485232068
ridge_late concat op-lebowski temporal + qwenvid L18_last,0,1.5583388,10021,2.0859358,752,1.3087027,5855,1.9489462,2315,7.3816050934779325,237,7.396916004067689,7.093980740711726,7.649644401716342,0.18143459915611815
ridge_late late op-lebowski temporal + qwenvid L18_last,0,1.6549139,10021,2.0911043,752,1.4159956,5855,2.080475,2315,7.449344541517448,237,7.4669917221063145,7.1298248690061525,7.736291985041984,0.2109704641350211
