protocol,family,readout,kind,arm,vs,is_best_single,n,delta,lo,hi,ci_excludes_0,cluster_mean_delta
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: op-lebowski temporal]",True,1265,-0.004529967438429594,-0.0670341449277957,0.058609528550000525,False,
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1265,0.028091659769415855,-0.005125651443235739,0.06057739698448987,False,
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1265,-0.06390276551246643,-0.17196275039997427,0.04009272996684589,False,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: op-lebowski temporal]",True,1265,-0.08584824204444885,-0.16351100870334778,-0.004943942306870068,True,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,1265,-0.05322662368416786,-0.11590443328277328,0.007116355792920703,False,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1265,-0.1452210396528244,-0.20162303291499367,-0.09028076116155793,True,
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: op-lebowski temporal]",True,1265,0.018299803137779236,-0.04138887585399377,0.07820378304687656,False,
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1265,0.01892668753862381,-0.011747071851468727,0.05099388873950079,False,
wod_a,ridge,pre-onset dec1-9 ADE,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1265,-0.04107299819588661,-0.15881900807495442,0.07330669449919544,False,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: op-lebowski temporal]",True,1265,-0.07456044107675552,-0.14838383477078337,-0.007577345922419969,True,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,1265,-0.07393356412649155,-0.14036658653974152,-0.0005077167446043617,True,
wod_a,ridge,pre-onset dec1-9 ADE,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,1265,-0.13393324613571167,-0.19799819132763943,-0.08237361194461053,True,
wod_a,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,478,-0.07722236788151388,-0.18338829328533163,0.020960614270154183,False,-0.08499315494261683
wod_a,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,478,-0.11653855111132277,-0.19628771819098798,-0.03699436502303906,True,-0.13320000943492794
wod_a,ridge,RFS frame,concat,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.166543975401436,0.017004416847711187,0.32833371382015897,True,0.2069126506922947
wod_a,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,478,-0.0635041170211185,-0.18617466563084223,0.06137306312420128,False,-0.09168083767004465
wod_a,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late op-cinque temporal,False,478,-0.1028203002509274,-0.22354065219099745,0.014037824648742248,False,-0.13988769216235575
wod_a,ridge,RFS frame,late,ridge_late late op-cinque temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.18026222626183142,0.0914649919068087,0.2783307380208225,True,0.20022496796486688
wod_a,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,478,-0.09255845959778887,-0.19423432108956312,-0.0001664964279769617,True,-0.11217486664349963
wod_a,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,478,-0.10360254221401227,-0.17340038738635205,-0.03465524247531279,True,-0.12905460560607374
wod_a,ridge,RFS frame,concat,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.151207883685161,0.0013896610651482244,0.30882482428178404,True,0.1797309389914119
wod_a,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,478,-0.034737113175496895,-0.17321183426945996,0.08850080402347632,False,-0.061575328616631175
wod_a,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late op-lebowski temporal,False,478,-0.0457811957917203,-0.1586088355597371,0.056995602944166765,False,-0.07845506757920528
wod_a,ridge,RFS frame,late,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge_late qwenvid L18_last,False,478,0.209029230107453,0.11758438563711204,0.3179925579604599,True,0.23033047701828036
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,1265,0.027126001194119453,-0.08194968571098026,0.14913197251744528,False,
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,1265,0.08317966014146805,-0.042325990774719595,0.24663818058097403,False,
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1265,-0.04881914705038071,-0.12093523408066162,0.014662821946551944,False,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,1265,-0.10282906144857407,-0.20405673289282297,-0.005198403150747264,True,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,1265,-0.04677540808916092,-0.13416629625530377,0.049853419282081,False,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1265,-0.17877422273159027,-0.27748255883712136,-0.0874321860175268,True,
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,1265,0.03724151849746704,-0.07353194505562657,0.16001090479434543,False,
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,1265,0.08488304167985916,0.03510661201986428,0.1423310028467206,True,
wod_a,cls,pre-onset dec1-9 ADE,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1265,-0.03870363533496857,-0.10639090959540982,0.0206907893202505,False,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-lebowski temporal, dir1: op-cinque temporal]",True,1265,-0.002870368305593729,-0.11985923341660133,0.1106772438525182,False,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,1265,0.044771164655685425,0.005980808074148586,0.09972158637133823,True,
wod_a,cls,pre-onset dec1-9 ADE,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,1265,-0.0788155198097229,-0.12542725507614716,-0.03794537301131711,True,
wod_a,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: qwenvid L18_mean]",True,478,0.04328863131890034,-0.08131268610818136,0.1676463864878297,False,0.0947464507253768
wod_a,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,478,0.01626063352216079,-0.15179417872277742,0.18162417259759173,False,0.025386743291053726
wod_a,cls,RFS frame,concat,cls_late concat op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,0.014306483788221493,-0.059154232623148374,0.09246646541821207,False,0.04035526041765802
wod_a,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: qwenvid L18_mean]",True,478,-0.046671291566079874,-0.17286397738454332,0.0761825359845153,False,0.019348258073693003
wod_a,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late op-cinque temporal,False,478,-0.07369928936281943,-0.19715174569741298,0.0313842839551501,False,-0.05001144936063007
wod_a,cls,RFS frame,late,cls_late late op-cinque temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,-0.07565343909675873,-0.19780495687780447,0.05412618821792904,False,-0.03504293223402577
wod_a,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: qwenvid L18_mean]",True,478,0.023616286956398263,-0.095029613945672,0.1512043502605857,False,0.06950396266796854
wod_a,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,478,0.035993117457504505,-0.037567119865508945,0.11392427549741023,False,0.05355917120037024
wod_a,cls,RFS frame,concat,cls_late concat op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,-0.005365860574280592,-0.0766144704211162,0.07310097693209258,False,0.015112772360249771
wod_a,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,"best single [dir0: op-cinque temporal, dir1: qwenvid L18_mean]",True,478,-0.008029351941803169,-0.13984016075174133,0.12912483849079381,False,0.018819210592779356
wod_a,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late op-lebowski temporal,False,478,0.004347478559303055,-0.06916090025310331,0.07063471144065063,False,0.002874419125181049
wod_a,cls,RFS frame,late,cls_late late op-lebowski temporal + qwenvid L18_last,cls_late qwenvid L18_last,False,478,-0.03701149947248204,-0.11522774700576184,0.03431969123931555,False,-0.03557197971493942
