direction,arm,lam,sel_ade,d,sel_lam,late,K,sel_iter_mean,sel_iter_max,sel_not_converged,iter_mean,iter_max,not_converged,top1_agree
0,ridge ego,9.999999999999999e-06,1.8824386298656464,,,,,,,,,,,
0,ridge_late op-cinque temporal,0.01,1.3029212951660156,512.0,0.01,,,,,,,,,
0,ridge_late op-lebowski temporal,0.01,1.3224618434906006,512.0,0.03162277660168379,,,,,,,,,
0,ridge_late qwenvid L18_last,0.09999999999999999,1.8090435564517975,2560.0,0.31622776601683794,,,,,,,,,
0,ridge_late qwenvid L18_mean,0.31622776601683794,1.7895590662956238,2560.0,0.31622776601683794,,,,,,,,,
0,ridge_late vjepa2 mean,0.03162277660168379,1.7367728650569916,1024.0,0.03162277660168379,,,,,,,,,
0,ridge_late concat op-cinque temporal + qwenvid L18_last,9.999999999999999e-05,1.318801611661911,3072.0,,,,,,,,,,
0,ridge_late late op-cinque temporal + qwenvid L18_last,,,,,ridge_late op-cinque temporal | ridge_late qwenvid L18_last,,,,,,,,
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,9.999999999999999e-05,1.3357532620429993,3072.0,,,,,,,,,,
0,ridge_late late op-lebowski temporal + qwenvid L18_last,,,,,ridge_late op-lebowski temporal | ridge_late qwenvid L18_last,,,,,,,,
0,cls ego K1024,1e-07,2.1578030586242676,,,,1024.0,359.1111111111111,600.0,3.0,600.0,600.0,1.0,
0,cls_late op-cinque temporal,0.001,1.9036762714385986,,,,1024.0,383.0,600.0,3.0,238.0,238.0,0.0,
0,cls_late op-lebowski temporal,0.001,1.9242191314697266,,,,1024.0,337.0,600.0,3.0,304.0,304.0,0.0,
0,cls_late qwenvid L18_last,0.09999999999999999,2.142557382583618,,,,1024.0,419.55555555555554,600.0,5.0,534.0,534.0,0.0,
0,cls_late qwenvid L18_mean,0.09999999999999999,2.140648603439331,,,,1024.0,392.8888888888889,600.0,4.0,310.0,310.0,0.0,
0,cls_late vjepa2 mean,0.09999999999999999,2.147204875946045,,,,1024.0,386.8888888888889,600.0,4.0,205.0,205.0,0.0,
0,cls_late concat op-cinque temporal + qwenvid L18_last,9.999999999999999e-06,1.9167277812957764,,,,1024.0,180.55555555555554,553.0,0.0,76.0,76.0,0.0,
0,cls_late late op-cinque temporal + qwenvid L18_last,,,,,cls_late op-cinque temporal | cls_late qwenvid L18_last,,,,,,,,0.31744900345802307
0,cls_late concat op-lebowski temporal + qwenvid L18_last,9.999999999999999e-06,1.922420859336853,,,,1024.0,156.44444444444446,461.0,0.0,70.0,70.0,0.0,
0,cls_late late op-lebowski temporal + qwenvid L18_last,,,,,cls_late op-lebowski temporal | cls_late qwenvid L18_last,,,,,,,,0.31017646193504333
