arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
ridge_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.694761872291565,-0.18315280973911285,-0.25039812149638413,-0.11839360808740768,0.06600225670448823,,
ridge_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3123201131820679,-0.2622731029987335,-0.2846203762944974,-0.2412117715094549,0.021704302392521246,,
ridge_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,1.1515166759490967,-0.2922555208206177,-0.32166991195453126,-0.262998632320479,0.029335639817026138,,
ridge_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,7.318696416738903,0.21435560490769978,0.09672675682082588,0.3312623150710792,0.11726777912512668,7.299288567943583,7.101140857175357
cls ego K1024,ridge ego,"(i) pre-onset, deciles 1-9",1265,3.0679333209991455,1.1900184154510498,0.993232375697174,1.4064199323825846,0.20659377834270526,,
cls ego K1024,ridge ego,"(ii) all frames, deciles 1-9",17695,2.8651692867279053,1.2905762195587158,1.1914683132447583,1.4040324012890668,0.10628204402215424,,
cls ego K1024,ridge ego,"side: straight, deciles 1-9",10645,2.7308096885681152,1.2870372533798218,1.1603564680528202,1.4097401489839858,0.12469184046558279,,
cls ego K1024,ridge ego,"(iii) RFS, rater frames",478,6.835578218631394,-0.26876259319980933,-0.4836490250560184,-0.05969871995048696,0.21197515255276572,6.816215081330983,7.101140857175357
cls_late op-cinque temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.8127689361572266,0.9348542094230652,0.7406937060401101,1.1256995871569773,0.1925029405584336,,
cls_late op-cinque temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,2.8997395038604736,1.325146198272705,1.1762723624214266,1.4990616500201153,0.16139464379934432,,
cls_late op-cinque temporal,ridge ego,"side: straight, deciles 1-9",10645,2.854757070541382,1.410984754562378,1.1916806410531733,1.6362171507563306,0.22226825485157864,,
cls_late op-cinque temporal,ridge ego,"(iii) RFS, rater frames",478,6.7481866073563355,-0.35615420447486695,-0.6009847305702711,-0.1256418551626037,0.2376714377038337,6.751893497188313,7.101140857175357
cls_late op-lebowski temporal,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.821181058883667,0.9432662725448608,0.7543668036713082,1.141095276904451,0.19336423661657137,,
cls_late op-lebowski temporal,ridge ego,"(ii) all frames, deciles 1-9",17695,2.903965473175049,1.3293718099594116,1.1983064273973638,1.4834189345577289,0.14255625358018253,,
cls_late op-lebowski temporal,ridge ego,"side: straight, deciles 1-9",10645,2.81205153465271,1.3682790994644165,1.1864333603516748,1.550121980965822,0.1818443103070736,,
