direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth,meets_threshold
0,ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8412504196166992,-0.05213208124041557,-0.2058718023479863,0.09602689424961644,0.15094934829880136,False
0,ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8399816751480103,-0.05340089276432991,-0.2105985752890172,0.1106235872953715,0.16061108129219437,False
0,ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8402652740478516,-0.05311718210577965,-0.09168538302724176,-0.017988025035901686,0.036848678995670035,True
0,ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8523257970809937,-0.041056569665670395,-0.08338401387512634,-0.00024404531346794257,0.0415699842808292,False
0,ridge_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8985004425048828,0.0051179127767682076,-0.0385316194381316,0.04671127221179939,0.04262144582496549,False
0,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.852385401725769,-0.040997084230184555,-0.20171735587784143,0.11229540519032355,0.1570063805340825,False
0,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.755160927772522,-0.1382216066122055,-0.22104381148595603,-0.05890152343050784,0.0810711440277241,True
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8521822690963745,-0.041200317442417145,-0.20670792679412145,0.12996919804971,0.16833856242191572,False
0,ridge_late late op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.755313515663147,-0.13806891441345215,-0.21986694114728653,-0.05538024831895699,0.08224334641416477,True
0,cls ego K1024,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.912003755569458,1.0186213254928589,0.7970249430768616,1.2304374934818691,0.2167062752025038,False
0,cls_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.6842763423919678,0.7908937931060791,0.5677223738309738,1.037488427681548,0.23488302692528706,False
0,cls_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.797729015350342,0.9043464660644531,0.6365565098063117,1.157147874684571,0.2602956824391296,False
0,cls_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.8523409366607666,0.9589585661888123,0.7215181522101313,1.1980942757569952,0.23828806177343198,False
0,cls_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.8689956665039062,0.9756131768226624,0.7334533167593666,1.2151786473055746,0.24086266527310396,False
0,cls_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.8954715728759766,1.002089023590088,0.7518792811615204,1.2417787771551085,0.2449497479967941,False
0,cls_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.851757526397705,0.9583752155303955,0.7257111066358476,1.1908429709396247,0.23256593215188853,False
0,cls_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.662137031555176,0.7687544822692871,0.5489532887612242,1.002439331011086,0.2267430211249309,False
