arm,cluster_mean,Construction,Cut_ins,Cyclist,Foreign Object Debris,Interections,Multi-Lane Maneuvers,Others,Pedestrian,Single-Lane Maneuvers,Special Vehicles
ridge ego,7.06075850168379,7.469775915095071,6.851604633820751,6.762976900714068,7.413793005425047,7.093052177454242,6.86687665360678,7.445618101823289,7.320500368226935,6.942365753382621,6.441021507289113
ridge_late op-cinque temporal,7.3372755686929825,8.088359286784335,7.653246000198175,7.200967654932545,7.664956636076196,7.411898931552025,6.990409469977651,7.618821960249485,7.231941489295478,7.038863984082238,6.473290273781681
ridge_late op-lebowski temporal,7.319622264787344,8.266666666666667,7.427609199556407,6.8935715087414025,7.611714397965964,7.24037325581977,6.9858207833851695,7.907995856988399,7.44075001186045,7.383244779550062,6.0384761873391435
ridge_late qwenvid L18_last,6.568077428951409,7.052833900395397,6.311002839613076,6.45230773292812,7.030524100072656,6.499801067722927,6.343634383400893,6.896106590526116,6.713320338518647,6.387568550178361,5.993674786157902
ridge_late qwenvid L18_mean,6.581604613852877,6.542974521345885,6.5735609618260895,6.461372421315893,7.171690556826902,6.611482337341043,6.406284168483497,6.563769130849538,6.90672668521259,6.488527968620574,6.089657386706765
ridge_late vjepa2 mean,6.713717489481337,6.869516342381465,7.009810078067548,6.506199525553152,7.317681484701131,6.760894697688619,6.524016701945148,6.658453021022493,6.762162211177981,6.636937673632969,6.09150315864286
ridge_late concat op-cinque temporal + qwenvid L18_last,7.3302224813648325,8.233460896496632,7.731693817773257,7.043610102431601,7.585401151256403,7.299736211885188,6.962451281901082,7.644928067510678,7.420004021638693,6.910581627536855,6.470357635217932
ridge_late late op-cinque temporal + qwenvid L18_last,7.089356988064556,7.787408310083759,7.083077854156272,6.742418178478496,7.541514906108228,7.104114187888032,6.804219257110712,7.575088648977144,7.153507653406645,6.540133629385863,6.562087255050394
ridge_late concat op-lebowski temporal + qwenvid L18_last,7.317329382889847,8.380136122350374,7.5606913985455195,6.79053655333135,7.464667949502891,7.214480737791471,6.884165747615751,7.908939718713439,7.411186959039453,7.375955098416756,6.182533543591468
ridge_late late op-lebowski temporal + qwenvid L18_last,7.162029361037211,7.869877890699917,7.139078258067924,6.7413217651274895,7.411554381379584,7.130554811953297,6.89538655356822,7.773419262021127,7.362765418250591,6.9685836195045345,6.3277516497994375
cls ego K1024,7.23370577794295,7.1260991478125835,7.114047667196472,6.840743344709732,7.432666335194453,7.3601775436360475,6.893668313357445,7.2595715150015465,7.955230955897902,6.836532327358318,7.518320629265013
cls_late op-cinque temporal,7.585752562479788,7.401068603054952,8.123240559033771,7.210705533415677,7.70084568244393,7.8190949503114675,7.391825161782431,7.486375001577141,8.134036828384932,7.360947106623894,7.229386198169695
cls_late op-lebowski temporal,7.7298666943645955,8.402770259919974,8.178974563208694,7.2809726509470645,7.890764490866158,7.69242142625549,7.42350939431074,7.554905705204913,8.021203137012478,7.3356445408994135,7.517500775021034
cls_late qwenvid L18_last,7.218457529366245,7.259432481145917,7.208320324498423,6.926175325779918,7.409668530927074,7.406618729932299,6.8357423013136485,7.122876388675099,8.075617512684484,6.653757040442173,7.286366658263411
cls_late qwenvid L18_mean,7.331926342199429,7.569357560922183,7.291236069375306,6.9329173992360165,7.481284236679929,7.335683986677333,7.065450619498131,7.122876388675099,8.033880871783147,6.927637054169247,7.558939234977893
cls_late vjepa2 mean,7.279281916448613,7.1260991478125835,7.114047667196472,6.894958899005871,7.50095374424212,7.3886519888411435,6.850220611601956,7.5257261860828635,8.056146080235623,6.817694210202492,7.518320629265013
cls_late concat op-cinque temporal + qwenvid L18_last,7.577210885169947,8.284760742903767,8.284302745874534,7.247364237463918,7.4323291908129026,7.334515900124987,7.401317380063975,7.161341723936987,8.168987364780554,7.128814951076126,7.328374614661723
cls_late late op-cinque temporal + qwenvid L18_last,7.544020841787858,7.4112764974713645,8.092421684630851,7.225111583846099,7.69339165790042,7.483455509613422,7.326898615257259,7.14353688834634,8.184855464173904,7.209378707330486,7.669881809308435
cls_late concat op-lebowski temporal + qwenvid L18_last,7.515494405316216,8.369357560922182,7.559084486658698,7.2365278489371,7.558073033395765,7.396320406422454,7.527590345471363,7.085012774321086,8.027893784471178,7.181866051515379,7.213217761046946
cls_late late op-lebowski temporal + qwenvid L18_last,7.531701634563386,7.760706895631162,8.032242635026096,7.087045443105564,7.6245519799776185,7.576847168305859,7.47884477583289,7.122876388675099,7.927175855242691,7.1869242271816765,7.519800976655199
native op-small (no fit),7.6284320809397075,8.516020626671379,7.806942779528747,7.9615416663160135,7.918788357944811,7.688963100543256,7.228802141564134,6.529543731388422,7.894179477973476,7.666825150197238,7.072713777269597
native op-cinque (no fit),7.994670300190397,8.289750064407892,8.782115002254866,8.226320710588059,7.812102373284386,7.74120691798335,7.541976058587476,7.74508644017737,8.238098445264573,8.108796720414823,7.461250268941158
native op-lebowski (no fit),7.902799111008347,8.386163423493736,8.4960882204548,7.938389200118579,7.815778751957546,7.507277281434021,7.324299925070082,7.804323896796621,8.166277745804631,8.364386980333093,7.225005684620376
n frames,,15.0,20.0,71.0,78.0,116.0,42.0,21.0,52.0,38.0,25.0
