direction,arm,lam,sel_ade,d,late,K,sel_iter_mean,sel_iter_max,sel_not_converged,iter_mean,iter_max,not_converged,top1_agree
0,ridge ego,3.162277660168379e-06,1.9832495152950287,,,,,,,,,,
0,ridge_late op-cinque temporal,0.31622776601683794,1.5216736495494843,512.0,,,,,,,,,
0,ridge_late op-lebowski temporal,0.31622776601683794,1.549690455198288,512.0,,,,,,,,,
0,ridge_late qwenvid L18_last,31.622776601683796,1.9434709548950195,2560.0,,,,,,,,,
0,ridge_late qwenvid L18_mean,31.622776601683796,1.9294748306274414,2560.0,,,,,,,,,
0,ridge_late vjepa2 mean,10.0,1.92938232421875,1024.0,,,,,,,,,
0,ridge_late concat op-cinque temporal + qwenvid L18_last,0.001,1.5746103525161743,3072.0,,,,,,,,,
0,ridge_late late op-cinque temporal + qwenvid L18_last,,,,ridge_late op-cinque temporal | ridge_late qwenvid L18_last,,,,,,,,
0,ridge_late concat op-lebowski temporal + qwenvid L18_last,0.001,1.6006653606891632,3072.0,,,,,,,,,
0,ridge_late late op-lebowski temporal + qwenvid L18_last,,,,ridge_late op-lebowski temporal | ridge_late qwenvid L18_last,,,,,,,,
0,cls ego K1024,1e-06,2.929969310760498,,,1024.0,461.3333333333333,600.0,3.0,600.0,600.0,1.0,
0,cls_late op-cinque temporal,0.01,3.027834415435791,,,1024.0,317.3333333333333,448.0,0.0,343.0,343.0,0.0,
0,cls_late op-lebowski temporal,0.09999999999999999,3.13301682472229,,,1024.0,239.33333333333334,348.0,0.0,250.0,250.0,0.0,
0,cls_late qwenvid L18_last,10.0,3.2099220752716064,,,1024.0,304.1111111111111,600.0,2.0,396.0,396.0,0.0,
0,cls_late qwenvid L18_mean,10.0,3.2051992416381836,,,1024.0,348.44444444444446,600.0,3.0,279.0,279.0,0.0,
0,cls_late vjepa2 mean,10.0,3.1954329013824463,,,1024.0,333.77777777777777,600.0,1.0,302.0,302.0,0.0,
0,cls_late concat op-cinque temporal + qwenvid L18_last,0.001,3.1776535511016846,,,1024.0,161.66666666666666,480.0,0.0,41.0,41.0,0.0,
0,cls_late late op-cinque temporal + qwenvid L18_last,,,,cls_late op-cinque temporal | cls_late qwenvid L18_last,,,,,,,,0.47889432311058044
0,cls_late concat op-lebowski temporal + qwenvid L18_last,0.001,3.1988790035247803,,,1024.0,156.0,419.0,0.0,42.0,42.0,0.0,
0,cls_late late op-lebowski temporal + qwenvid L18_last,,,,cls_late op-lebowski temporal | cls_late qwenvid L18_last,,,,,,,,0.806406557559967
1,ridge ego,1e-06,2.0030508041381836,,,,,,,,,,
1,ridge_late op-cinque temporal,0.31622776601683794,1.491616576910019,512.0,,,,,,,,,
1,ridge_late op-lebowski temporal,0.31622776601683794,1.5074164867401123,512.0,,,,,,,,,
1,ridge_late qwenvid L18_last,31.622776601683796,1.932360589504242,2560.0,,,,,,,,,
1,ridge_late qwenvid L18_mean,10.0,1.8906482458114624,2560.0,,,,,,,,,
1,ridge_late vjepa2 mean,3.162277660168379,1.9003036618232727,1024.0,,,,,,,,,
1,ridge_late concat op-cinque temporal + qwenvid L18_last,0.001,1.546054631471634,3072.0,,,,,,,,,
1,ridge_late late op-cinque temporal + qwenvid L18_last,,,,ridge_late op-cinque temporal | ridge_late qwenvid L18_last,,,,,,,,
1,ridge_late concat op-lebowski temporal + qwenvid L18_last,0.001,1.5530535578727722,3072.0,,,,,,,,,
1,ridge_late late op-lebowski temporal + qwenvid L18_last,,,,ridge_late op-lebowski temporal | ridge_late qwenvid L18_last,,,,,,,,
1,cls ego K1024,1e-06,3.3344454765319824,,,1024.0,435.1111111111111,600.0,3.0,600.0,600.0,1.0,
1,cls_late op-cinque temporal,0.01,3.474933624267578,,,1024.0,307.77777777777777,600.0,1.0,410.0,410.0,0.0,
1,cls_late op-lebowski temporal,0.09999999999999999,3.5265164375305176,,,1024.0,206.22222222222223,457.0,0.0,324.0,324.0,0.0,
1,cls_late qwenvid L18_last,10.0,3.5247583389282227,,,1024.0,301.6666666666667,600.0,1.0,186.0,186.0,0.0,
1,cls_late qwenvid L18_mean,1.0,3.6001362800598145,,,1024.0,385.55555555555554,600.0,2.0,283.0,283.0,0.0,
1,cls_late vjepa2 mean,1.0,3.5434224605560303,,,1024.0,315.0,600.0,1.0,278.0,278.0,0.0,
1,cls_late concat op-cinque temporal + qwenvid L18_last,1.0,3.523984909057617,,,1024.0,137.44444444444446,316.0,0.0,381.0,381.0,0.0,
1,cls_late late op-cinque temporal + qwenvid L18_last,,,,cls_late op-cinque temporal | cls_late qwenvid L18_last,,,,,,,,0.46857500076293945
1,cls_late concat op-lebowski temporal + qwenvid L18_last,0.01,3.52392578125,,,1024.0,132.55555555555554,366.0,0.0,57.0,57.0,0.0,
1,cls_late late op-lebowski temporal + qwenvid L18_last,,,,cls_late op-lebowski temporal | cls_late qwenvid L18_last,,,,,,,,0.7863513827323914
