protocol,arm,vs,n_pre19,pre19_delta,pre19_lo,pre19_hi,all19_delta,all19_lo,all19_hi,straight19_delta,did,did_lo,did_hi,n_rater,rfs_frame,rfs_frame_delta,rfs_lo,rfs_hi,rfs_cluster,rfs_cluster_delta
wod_a,ridge_late op-cinque temporal,ridge ego,1265,-0.14121398329734802,-0.2465367732963229,-0.02708271943244687,-0.3224368095397949,-0.3556870219895343,-0.2888059565405108,-0.379675030708313,0.23846104741096497,0.1298721128225834,0.3554901464078084,478,7.392749713144209,0.2884089013130056,0.12202762318839509,0.44647597747149326,7.409070751052525,0.3079298938771675
wod_a,ridge_late op-lebowski temporal,ridge ego,1265,-0.1092192530632019,-0.23171305239641554,0.015320684403510905,-0.3163926601409912,-0.3527074701399044,-0.28072421599213654,-0.3812451958656311,0.2720259428024292,0.15026161214624625,0.40966815779357235,478,7.364477612530623,0.2601368006994201,0.09163378345361425,0.41501979941042905,7.377743635522788,0.2766027783474305
wod_a,ridge_late qwenvid L18_last,ridge ego,1265,-0.049219563603401184,-0.07319792851119519,-0.02771332214428396,-0.021354515105485916,-0.032325339376630326,-0.010821795772154499,-0.027668477967381477,-0.021551085636019707,-0.04817618721371712,0.00707349276448361,478,7.10966718663145,0.00532637480024677,-0.06378922788859104,0.07487259703740529,7.068958090925302,-0.03218276625005512
wod_a,ridge_late qwenvid L18_mean,ridge ego,1265,-0.06184832379221916,-0.10216024124967162,-0.023634372772080706,-0.0376833900809288,-0.05774743280016564,-0.019755838611749378,-0.05698459967970848,-0.004863724112510681,-0.04867550203484283,0.04253781057079871,478,7.069910282369117,-0.034430529462086176,-0.11826392490051246,0.04914661337332709,7.0643856189157805,-0.03675523825957683
wod_a,ridge_late vjepa2 mean,ridge ego,1265,-0.04877592995762825,-0.09525357095750217,0.0007579287806903412,-0.02990555390715599,-0.048450605368679234,-0.0127933893955771,-0.05073774233460426,0.001961812376976013,-0.05122040285328917,0.05764708005147323,478,7.115914148066931,0.01157333623572865,-0.10185739924468518,0.11259706480788366,7.053978109567296,-0.04716274760806094
wod_a,ridge_late concat op-cinque temporal + qwenvid L18_last,ridge ego,1265,-0.11312234401702881,-0.21836292808290506,-0.003262225882782962,-0.2899720072746277,-0.324346642130278,-0.2562062432474589,-0.34165242314338684,0.22853007912635803,0.11580067645089782,0.3427847639764807,478,7.276211162032885,0.17187035020168276,0.0034617069258334595,0.3389096586381392,7.275870741617597,0.17472988444223958
wod_a,ridge_late late op-cinque temporal + qwenvid L18_last,ridge ego,1265,-0.19444061815738678,-0.2522972529082838,-0.13478482505515182,-0.26059409976005554,-0.28242955178514234,-0.2400305144640493,-0.2826230823993683,0.0881824642419815,0.023380621839809913,0.15350369446436649,478,7.289929412893281,0.18558860106207817,0.06604445178168036,0.2992926766846618,7.269183058890169,0.16804220171481177
wod_a,ridge_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,1265,-0.09029257297515869,-0.21538861471016438,0.03153972827161509,-0.28389689326286316,-0.31821244293221207,-0.2487751298044782,-0.3413810729980469,0.2510885000228882,0.1319476447762324,0.3815397376740606,478,7.260875070316611,0.1565342584854078,-0.006516033198662814,0.3099341414142486,7.248689029916714,0.1475481727413568
wod_a,ridge_late late op-lebowski temporal + qwenvid L18_last,ridge ego,1265,-0.18315280973911285,-0.25039812149638413,-0.11839360808740768,-0.2622731029987335,-0.2846203762944974,-0.2412117715094549,-0.2922555208206177,0.10910271108150482,0.03978803762763954,0.18517662129172638,478,7.318696416738903,0.21435560490769978,0.09672675682082588,0.3312623150710792,7.299288567943583,0.19814771076822524
wod_a,cls ego K1024,ridge ego,1265,1.1900184154510498,0.993232375697174,1.4064199323825846,1.2905762195587158,1.1914683132447583,1.4040324012890668,1.2870372533798218,-0.09701883792877197,-0.34179296337790804,0.1572359335407336,478,6.835578218631394,-0.26876259319980933,-0.4836490250560184,-0.05969871995048696,6.816215081330983,-0.28492577584437395
wod_a,cls_late op-cinque temporal,ridge ego,1265,0.9348542094230652,0.7406937060401101,1.1256995871569773,1.325146198272705,1.1762723624214266,1.4990616500201153,1.410984754562378,-0.47613054513931274,-0.7938811719058497,-0.16927717080795993,478,6.7481866073563355,-0.35615420447486695,-0.6009847305702711,-0.1256418551626037,6.751893497188313,-0.3492473599870447
wod_a,cls_late op-cinque temporal,cls ego K1024,1265,-0.2551642954349518,-0.40455031220829196,-0.1038222306258781,0.0345698706805706,-0.05103322859449933,0.13128824294631813,0.12394747883081436,-0.37911176681518555,-0.6042350093588862,-0.1541750865808921,478,6.7481866073563355,-0.08739161127505754,-0.2555655822812777,0.06350755845163945,6.751893497188313,-0.06432158414267075
wod_a,cls_late op-lebowski temporal,ridge ego,1265,0.9432662725448608,0.7543668036713082,1.141095276904451,1.3293718099594116,1.1983064273973638,1.4834189345577289,1.3682790994644165,-0.42501282691955566,-0.6881540512129714,-0.16182974797763747,478,6.708781779058491,-0.39555903277271276,-0.6212785555403113,-0.18903261653641784,6.698478581221588,-0.40266227595376947
wod_a,cls_late op-lebowski temporal,cls ego K1024,1265,-0.24675215780735016,-0.3780844809701245,-0.11789100042329595,0.038795728236436844,-0.022884014603110975,0.10647710588594003,0.0812419131398201,-0.32799407839775085,-0.4933344803483196,-0.15896996258671667,478,6.708781779058491,-0.12679643957290335,-0.23807349041058093,-0.023697743556652464,6.698478581221588,-0.11773650010939551
wod_a,cls_late qwenvid L18_last,ridge ego,1265,1.0668529272079468,0.8721908002185601,1.2691258205650082,1.4136593341827393,1.2806642127621612,1.5636413213813587,1.4411739110946655,-0.37432098388671875,-0.6468673868998123,-0.1157967727801533,478,6.750140757090276,-0.35420005474092775,-0.5809384588941963,-0.1628278229852048,6.736924980061708,-0.364215877113649
wod_a,cls_late qwenvid L18_last,cls ego K1024,1265,-0.12316547334194183,-0.23633088482567716,-0.010277201584394597,0.12308313697576523,0.06482718556289019,0.18484333277372733,0.15413665771484375,-0.2773021459579468,-0.42069993217890456,-0.12868851865077846,478,6.750140757090276,-0.08543746154111825,-0.18161667998278733,0.009574661048040708,6.736924980061708,-0.07929010126927505
wod_a,cls_late qwenvid L18_mean,ridge ego,1265,1.0138916969299316,0.828956493746147,1.1990599687236891,1.3960124254226685,1.2590133712333222,1.5530056140839585,1.4241211414337158,-0.4102294445037842,-0.6882823879184257,-0.16184512139545312,478,6.768194069693819,-0.33614674213738477,-0.5489871880013951,-0.13298590220783782,6.711391165297728,-0.3897496918776291
wod_a,cls_late qwenvid L18_mean,cls ego K1024,1265,-0.17612670361995697,-0.301578014561251,-0.06391015167812397,0.10543611645698547,0.04419577157032121,0.17417885582347312,0.13708391785621643,-0.3132106065750122,-0.4714378241425454,-0.15462557153193424,478,6.768194069693819,-0.06738414893757541,-0.1724924765580095,0.04381976205500176,6.711391165297728,-0.10482391603325514
wod_a,cls_late vjepa2 mean,ridge ego,1265,1.0608551502227783,0.8708491085528908,1.258349313442886,1.415136694908142,1.2791126829748265,1.575964834323535,1.4506975412368774,-0.3898423910140991,-0.6696722504644328,-0.12401423448645298,478,6.746042303729828,-0.358298508101374,-0.5873659769953241,-0.1515398395445894,6.741455027605561,-0.35968582956979667
wod_a,cls_late vjepa2 mean,cls ego K1024,1265,-0.1291632354259491,-0.23548599403386253,-0.026066094844645712,0.12456045299768448,0.05854733288114731,0.20097563966577098,0.16366037726402283,-0.2928236126899719,-0.44455421810427315,-0.1380577249016343,478,6.746042303729828,-0.08953591490156462,-0.18815130072946662,0.010588438386478067,6.741455027605561,-0.07476005372542271
wod_a,cls_late concat op-cinque temporal + qwenvid L18_last,ridge ego,1265,1.018033742904663,0.8363461838440842,1.2006673268690677,1.398135781288147,1.2652236081411476,1.5486427033098609,1.417665958404541,-0.39963221549987793,-0.6631848007330524,-0.1484883423281356,478,6.764447240878496,-0.3398935709527061,-0.5682874637914035,-0.1330655556298613,6.777280240479366,-0.323860616695991
wod_a,cls_late concat op-cinque temporal + qwenvid L18_last,cls ego K1024,1265,-0.17198462784290314,-0.30762705640083127,-0.05018176332867847,0.10755935311317444,0.04963806964134358,0.17402016336189632,0.13062867522239685,-0.3026133179664612,-0.45916663147409376,-0.14309776219186543,478,6.764447240878496,-0.07113097775289676,-0.17037400473373152,0.025546524496209515,6.777280240479366,-0.038934840851617025
wod_a,cls_late late op-cinque temporal + qwenvid L18_last,ridge ego,1265,0.8880786895751953,0.7043357509395327,1.0648936118076577,1.3081755638122559,1.1684914202869439,1.4753687696609517,1.3899457454681396,-0.5018670558929443,-0.7947224027557208,-0.2319717670536315,478,6.674487317993517,-0.4298534938376864,-0.6583315319112341,-0.2158154941498573,6.701882047827683,-0.39925880934767477
wod_a,cls_late late op-cinque temporal + qwenvid L18_last,cls ego K1024,1265,-0.3019397258758545,-0.4329078652430609,-0.18108388238206585,0.01759943552315235,-0.053429852631437943,0.10008337874588877,0.10290848463773727,-0.40484821796417236,-0.5747664790572184,-0.22363234753042235,478,6.674487317993517,-0.16109090063787698,-0.2963242051855521,-0.039187168972695315,6.701882047827683,-0.11433303350330082
wod_a,cls_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,1265,1.0281493663787842,0.846626315953996,1.2040203575246744,1.3998985290527344,1.264909890913543,1.5495230272703753,1.4208437204360962,-0.392694354057312,-0.6512348077488401,-0.14713440181837192,478,6.744774896515994,-0.35956591531520826,-0.5863103572736917,-0.16200556629267684,6.752037752421958,-0.34910310475339923
wod_a,cls_late concat op-lebowski temporal + qwenvid L18_last,cls ego K1024,1265,-0.1618691235780716,-0.30166766442866366,-0.044149018278501685,0.10932227224111557,0.049249063182319266,0.17784467882457358,0.13380645215511322,-0.2956755757331848,-0.4521603348566891,-0.1372489609312681,478,6.744774896515994,-0.09080332211539884,-0.19393771505422333,0.009083865407306546,6.752037752421958,-0.06417732890902528
