dataset,variant,seed,subset,count,low_speed_count,saturated_fraction,cte_m_n,cte_m_rms,cte_m_p95_abs,cte_m_max_abs,heading_deg_n,heading_deg_rms,heading_deg_p95_abs,heading_deg_max_abs,steer_rate_per_s_n,steer_rate_per_s_rms,steer_rate_per_s_p95_abs,steer_rate_per_s_max_abs
G2-v4,pi/carla,,all,461,23,0.0,461,0.3150105130857895,0.6980017772208126,0.9288231261266721,461,4.716279525825847,11.60872229252022,17.719457953152705,460,0.9603933457582743,2.0,2.0000000000000004
G2-v4,pi/carla,,moving_ge_2mps,438,0,0.0,438,0.3230867041322404,0.7157229213562096,0.9288231261266721,438,4.818056974017672,11.610796872829816,17.719457953152705,438,0.9830213807084813,2.0,2.0000000000000004
G2-v4,pi/pursuit,,all,466,23,0.0,466,0.364895901200338,0.9785123353808536,1.2244947381987021,466,3.7840608345869002,9.20871906611263,13.191313116726937,465,0.1836569328839445,0.4599734262390882,0.9928941584313105
G2-v4,pi/pursuit,,moving_ge_2mps,443,0,0.0,443,0.37417455934208,0.9812498699760672,1.2244947381987021,443,3.8548101737681444,9.468041413093818,13.191313116726937,443,0.1879783257175985,0.4675324179624152,0.9928941584313105
G2-v4,pi-max/pursuit,,all,468,23,0.0,468,0.27115375382812185,0.7264653478284664,0.8564581437705158,468,1.808167731750052,4.141462796332569,6.962175457523961,467,0.5154513326740686,1.3432497303098239,2.0000000000000004
G2-v4,pi-max/pursuit,,moving_ge_2mps,445,0,0.0,445,0.2779722762245757,0.7386648464874647,0.8564581437705158,445,1.7983553764728442,4.19515907674373,6.962175457523961,445,0.5279460227262013,1.3738693974269671,2.0000000000000004
Dev10-v4-pursuit-seed0-attempt1,carla,0,all,4189,3820,0.0,4189,0.9928636737498158,1.12235373814091,5.4108116625039715,4189,35.04289780875662,58.55245852705591,61.914436870348766,4189,1.335145564163215,2.0,4.0
Dev10-v4-pursuit-seed0-attempt1,carla,0,moving_ge_2mps,369,0,0.0,369,1.5744555989366973,4.523942881395967,5.4108116625039715,369,15.526771206515539,40.03237676278905,59.0903454952545,369,1.081435297998838,2.0,2.0000000000000004
Dev10-v4-pursuit-seed0-attempt1,carla,1,all,4380,4047,0.0,4380,1.4171243730292,2.478691888174653,5.4728145897799605,4380,34.628102269742264,58.33178851080985,61.914436870348766,4380,1.3130253327612191,2.0,4.0
Dev10-v4-pursuit-seed0-attempt1,carla,1,moving_ge_2mps,333,0,0.0,333,1.3215380517320947,3.7218987822683673,5.4108116625039715,333,14.76224312402087,42.925862114884005,59.0903454952545,333,1.0725968195683606,2.0,2.0000000000000004
Dev10-v4-pursuit-seed0-attempt1,pursuit,0,all,4364,3994,0.0,4364,1.2639191001106196,1.6614383358663238,1.6681091312919432,4364,38.61913555205975,57.66794845628335,58.00408335332313,4364,0.5685057622421358,1.9748348177422443,3.9999999999999996
Dev10-v4-pursuit-seed0-attempt1,pursuit,0,moving_ge_2mps,370,0,0.0,370,0.487824279244303,1.0944100132323649,1.2866905070930907,370,9.03021364648374,16.23499495019467,47.63928755411394,370,0.5472575772307244,1.3227614104193108,2.0
Dev10-v4-pursuit-seed0-attempt1,pursuit,1,all,4364,3995,0.0,4364,1.2639526695612875,1.6614383358663238,1.6681091312919432,4364,38.61970603322061,57.66794845628335,58.00408335332313,4364,0.5720881289569736,1.9882392710750298,3.9999999999999996
Dev10-v4-pursuit-seed0-attempt1,pursuit,1,moving_ge_2mps,369,0,0.0,369,0.48682570146454973,1.0890369816375576,1.288861992018915,369,9.015604884639998,15.651475020918344,47.63928755411394,369,0.5452540517261008,1.318633669712979,2.0
Dev10-v4-pursuit-seed0-attempt1,tcp,0,all,605,222,0.0,605,2.0704821366272768,3.34548480007689,3.3579273490736026,605,21.17580394722296,36.28874622919929,36.649579862240564,605,0.42568135638284255,1.016947580629459,2.0
Dev10-v4-pursuit-seed0-attempt1,tcp,0,moving_ge_2mps,383,0,0.0,383,1.1733631128634014,2.764542018515992,3.004542842991178,383,10.618614689679367,20.53235085835042,35.503281623250686,383,0.49347016155613604,1.0746819731503812,2.0
Dev10-v4-pursuit-seed0-attempt1,tcp,1,all,605,222,0.0,605,2.0704821366272768,3.34548480007689,3.3579273490736026,605,21.17580394722296,36.28874622919929,36.649579862240564,605,0.42568135638284255,1.016947580629459,2.0
Dev10-v4-pursuit-seed0-attempt1,tcp,1,moving_ge_2mps,383,0,0.0,383,1.1733631128634014,2.764542018515992,3.004542842991178,383,10.618614689679367,20.53235085835042,35.503281623250686,383,0.49347016155613604,1.0746819731503812,2.0
