run,route,scenario,town,status,DS,RC,ticks,sim_s,stall_frac,stall_s,t_first_move,n_eps,longest_ep_s,final_stall_s,v_mean_moving,collisions,red_light,blocked,timeout,n_stay,n_go_braked,n_go_throttle,n_reverse,stallplans_start,stallplans_junction,stallplans_lane
full,10857,VehicleTurningRoutePedestrian,Town12,Completed,60.78,100,576,28.8,0.304,8.8,0.8,1,2.4,0.0,4.09,0,0,0,0,5,0,2,9,2,0,14
full,11381,VehicleTurningRoutePedestrian,Town12,Failed - TickRuntime,1.199,86.9,4000,200.0,0.865,172.9,0.8,4,78.4,42.4,2.51,8,0,0,1,102,2,78,149,2,0,329
full,11715,EnterActorFlow,Town12,Completed,70.0,100,491,24.6,0.291,7.2,1.5,1,2.2,0.0,4.95,0,1,0,0,5,0,3,5,3,0,10
full,11755,EnterActorFlow,Town12,Completed,70.0,100,444,22.2,0.2,4.5,0.9,0,0.0,0.0,4.59,0,1,0,0,0,0,4,4,2,0,6
full,14194,PedestrianCrossing,Town12,Completed,100.0,100,735,36.8,0.446,16.4,1.2,2,3.1,0.0,3.68,0,0,0,0,10,0,8,10,3,0,25
full,14842,VanillaSignalizedTurnEncounterGreenLight,Town12,Failed - Agent got blocked,27.339,42.06,3074,153.7,0.956,147.0,1.2,6,72.4,60.1,3.6,1,0,1,0,109,0,40,141,3,0,287
full,14862,VanillaSignalizedTurnEncounterGreenLight,Town12,Completed,100.0,100,267,13.4,0.154,2.1,0.9,0,0.0,0.0,5.87,0,0,0,0,0,0,0,4,2,0,2
full,14909,VanillaSignalizedTurnEncounterGreenLight,Town12,Completed,100.0,100,235,11.8,0.162,1.9,0.8,0,0.0,0.0,6.39,0,0,0,0,0,0,0,4,2,0,2
full,1711,ParkingCutIn,Town12,Completed,100.0,100,705,35.3,0.179,6.3,2.0,0,0.0,0.0,4.56,0,0,0,0,1,0,2,9,4,0,8
full,17569,SequentialLaneChange,Town12,Completed,12.076,100,445,22.3,0.146,3.2,1.6,0,0.0,0.0,6.14,4,0,0,0,0,0,2,4,3,0,3
full,17598,SequentialLaneChange,Town12,Completed,4.631,100,657,32.9,0.158,5.2,1.9,0,0.0,0.0,4.35,6,0,0,0,2,0,3,4,4,0,5
full,1773,ParkedObstacle,Town12,Completed,4.479,100,3603,180.2,0.815,146.8,1.2,5,88.6,0.0,4.1,5,0,0,0,92,0,69,126,3,0,284
full,1790,HazardAtSideLane,Town12,Completed,60.0,100,582,29.1,0.148,4.3,1.3,0,0.0,0.0,4.76,1,0,0,0,1,0,4,4,3,0,6
