run,route,scenario,town,status,DS,RC,ticks,sim_s,stall_frac,stall_s,t_first_move,n_eps,longest_ep_s,final_stall_s,v_mean_moving,collisions,red_light,blocked,timeout,n_stay,n_go_braked,n_go_throttle,n_reverse,stallplans_start,stallplans_junction,stallplans_lane
full,1792,HazardAtSideLane,Town12,Completed,100.0,100,397,19.9,0.108,2.1,1.3,0,0.0,0.0,7.54,0,0,0,0,1,0,2,2,3,0,2
full,1825,ConstructionObstacleTwoWays,Town12,Failed - TickRuntime,21.691,33.37,4000,200.0,0.937,187.5,1.3,2,179.0,179.1,3.49,1,0,0,1,156,0,86,131,3,0,370
full,1833,ConstructionObstacleTwoWays,Town12,Failed - TickRuntime,23.985,36.9,4000,200.0,0.934,186.9,0.9,4,175.6,175.6,3.76,1,0,0,1,132,1,87,153,2,0,371
full,1852,AccidentTwoWays,Town12,Failed - TickRuntime,23.49,39.15,4000,200.0,0.924,184.8,1.2,2,175.4,175.4,3.43,1,0,0,1,143,0,88,137,3,0,365
full,1956,ParkingExit,Town12,Failed - TickRuntime,1.854,3.09,4000,200.0,0.99,198.0,1.3,1,196.5,196.5,1.98,1,0,0,1,142,2,94,158,3,0,393
full,2050,SignalizedJunctionRightTurn,Town12,Completed,60.0,100,514,25.7,0.304,7.8,2.6,2,2.6,0.0,4.52,1,0,0,0,6,0,3,5,5,0,9
full,2082,OppositeVehicleRunningRedLight,Town12,Completed,60.0,100,461,23.1,0.245,5.7,2.0,0,0.0,0.0,5.03,1,0,0,0,2,0,3,6,4,0,7
full,2084,NonSignalizedJunctionLeftTurn,Town12,Completed,35.326,100,907,45.4,0.461,20.9,0.8,0,0.0,0.0,3.43,1,0,0,0,7,0,8,19,2,0,32
full,2086,NonSignalizedJunctionLeftTurn,Town12,Completed,82.14,100,519,26.0,0.27,7.0,1.4,0,0.0,0.0,4.24,0,0,0,0,2,0,6,5,3,0,10
full,2091,NonSignalizedJunctionLeftTurn,Town12,Failed - TickRuntime,33.624,51.73,4000,200.0,0.945,189.0,0.8,1,181.9,181.9,3.9,1,0,0,1,116,2,78,180,2,0,374
full,2115,NonSignalizedJunctionRightTurn,Town12,Failed - TickRuntime,34.226,58.43,4000,200.0,0.923,184.7,2.7,2,174.6,174.6,2.75,1,0,0,1,101,4,47,214,5,0,361
full,2127,OppositeVehicleTakingPriority,Town12,Failed - Agent got blocked,23.472,64.75,2936,146.8,0.891,130.8,5.2,3,117.4,117.5,3.39,2,0,1,0,74,3,36,146,10,0,249
full,2129,OppositeVehicleTakingPriority,Town12,Completed,57.052,100,724,36.2,0.378,13.7,2.6,2,2.6,0.0,3.78,0,0,0,0,4,0,7,13,5,0,19
full,2143,OppositeVehicleTakingPriority,Town12,Failed - Agent got blocked,25.746,82.13,2144,107.2,0.761,81.6,0.8,2,60.0,60.1,2.56,2,0,1,0,42,2,28,83,2,0,153
full,2144,VehicleTurningRoute,Town12,Failed - Agent got blocked,23.743,62.41,1844,92.2,0.815,75.1,0.7,3,60.0,60.1,2.89,2,0,1,0,61,0,38,47,2,0,144
full,2164,VehicleTurningRoutePedestrian,Town12,Failed - TickRuntime,9.564,73.26,4000,200.0,0.894,178.9,0.8,8,135.2,135.2,2.58,4,0,0,1,112,1,68,157,2,0,336
full,2201,EnterActorFlow,Town12,Completed,15.12,100,666,33.3,0.35,11.7,0.8,1,3.4,0.0,3.92,3,1,0,0,4,1,3,13,2,0,19
full,2204,BlockedIntersection,Town12,Failed - Agent got blocked,33.881,59.36,1848,92.4,0.806,74.5,0.8,3,60.0,60.1,2.5,1,0,1,0,54,1,35,55,2,0,143
full,2215,BlockedIntersection,Town12,Failed - Agent got blocked,23.293,64.12,2407,120.4,0.881,106.1,2.5,2,100.2,100.2,3.75,1,1,1,0,91,2,54,64,5,0,206
full,2273,MergerIntoSlowTraffic,Town12,Completed,92.663,100,510,25.5,0.192,4.9,1.7,0,0.0,0.0,6.64,0,0,0,0,1,0,3,5,3,0,6
full,2283,MergerIntoSlowTraffic,Town12,Failed - TickRuntime,27.28,41.97,4000,200.0,0.964,192.8,0.8,1,190.6,190.7,8.64,1,0,0,1,130,7,33,214,2,0,382
full,2286,HighwayCutIn,Town12,Completed,100.0,100,256,12.8,0.094,1.2,0.9,0,0.0,0.0,9.07,0,0,0,0,0,0,2,1,2,0,1
full,2373,VanillaSignalizedTurnEncounterRedLight,Town12,Completed,7.875,100,1230,61.5,0.527,32.4,0.8,4,7.2,0.0,2.72,3,1,0,0,18,0,20,21,2,0,57
full,2390,VanillaNonSignalizedTurn,Town12,Failed - Agent got blocked,14.823,48.24,1888,94.4,0.879,83.0,3.6,3,60.0,60.0,3.39,2,0,1,0,47,0,26,90,7,0,156
full,2397,VanillaNonSignalizedTurn,Town12,Failed - Agent got blocked,26.691,51.21,1760,88.0,0.834,73.4,0.8,1,64.8,64.8,2.43,1,0,1,0,48,0,30,67,2,0,143
full,2403,VanillaNonSignalizedTurn,Town12,Completed,37.327,100,983,49.2,0.489,24.1,1.6,1,3.4,0.0,2.92,1,0,0,0,10,1,9,20,3,0,37
full,2416,VanillaNonSignalizedTurnEncounterStopsign,Town12,Completed,46.575,100,392,19.6,0.357,7.0,1.6,1,2.7,0.0,4.89,0,0,0,0,4,0,3,6,3,0,10
full,2509,ConstructionObstacle,Town12,Failed - TickRuntime,23.01,35.4,4000,200.0,0.959,191.8,2.6,2,187.4,187.4,5.81,1,0,0,1,135,4,81,157,5,0,372
full,2513,ConstructionObstacle,Town12,Failed - TickRuntime,23.654,36.39,4000,200.0,0.939,187.7,0.8,1,184.8,184.8,4.05,1,0,0,1,106,0,129,140,2,0,373
full,2534,Accident,Town12,Failed - TickRuntime,20.964,34.94,4000,200.0,0.944,188.8,2.6,2,183.2,183.2,4.05,1,0,0,1,114,1,85,176,5,0,371
full,2539,Accident,Town12,Failed - TickRuntime,24.024,40.04,4000,200.0,0.921,184.2,1.4,2,177.8,177.8,3.31,1,0,0,1,114,2,84,168,3,0,365
full,2554,ParkedObstacle,Town12,Failed - TickRuntime,21.834,36.39,4000,200.0,0.937,187.5,1.7,2,178.0,178.1,3.9,1,0,0,1,144,1,102,126,4,0,369
full,2606,ConstructionObstacleTwoWays,Town12,Failed - TickRuntime,24.642,37.91,4000,200.0,0.942,188.3,2.0,2,183.2,183.2,4.24,1,0,0,1,119,2,92,163,4,0,372
full,2643,AccidentTwoWays,Town12,Failed - TickRuntime,28.033,71.88,4000,200.0,0.901,180.2,2.0,6,144.6,3.4,3.74,2,0,0,1,112,0,85,162,4,0,355
full,2664,ParkedObstacleTwoWays,Town12,Failed - TickRuntime,24.378,40.63,4000,200.0,0.922,184.4,0.8,2,177.8,177.8,3.2,1,0,0,1,107,1,114,146,2,0,366
full,2668,ParkedObstacleTwoWays,Town12,Failed - TickRuntime,5.737,44.27,4000,200.0,0.865,173.0,1.4,10,113.6,0.0,2.72,4,0,0,1,109,2,73,157,3,0,338
full,2709,StaticCutIn,Town12,Failed - Agent got blocked,15.829,43.97,1664,83.2,0.819,68.1,1.2,2,60.0,60.0,4.0,2,0,1,0,54,0,37,45,3,0,133
full,2715,StaticCutIn,Town12,Completed,100.0,100,411,20.6,0.124,2.6,1.2,0,0.0,0.0,7.4,0,0,0,0,2,0,2,2,3,0,3
full,2790,InvadingTurn,Town12,Completed,100.0,100,200,10.0,0.115,1.2,1.2,0,0.0,0.0,11.44,0,0,0,0,1,0,2,0,3,0,0
full,2802,InvadingTurn,Town12,Completed,100.0,100,478,23.9,0.182,4.4,1.3,0,0.0,0.0,5.76,0,0,0,0,1,0,3,4,3,0,5
full,2844,OppositeVehicleRunningRedLight,Town12,Completed,60.0,100,354,17.7,0.223,4.0,1.2,0,0.0,0.0,5.63,1,0,0,0,2,0,3,3,3,0,5
full,2847,OppositeVehicleRunningRedLight,Town12,Failed - Agent got blocked,31.45,80.64,2888,144.4,0.899,129.8,0.9,2,124.7,124.7,4.58,2,0,1,0,86,0,61,112,2,0,257
full,2881,NonSignalizedJunctionLeftTurn,Town12,Completed,35.286,100,764,38.2,0.461,17.6,2.0,1,8.0,0.0,3.75,2,0,0,0,6,0,12,14,4,0,28
full,2903,NonSignalizedJunctionRightTurn,Town12,Failed - TickRuntime,34.492,58.54,4000,200.0,0.915,183.0,1.9,2,172.6,172.6,3.03,1,0,0,1,130,2,68,164,4,0,360
full,2913,OppositeVehicleTakingPriority,Town12,Failed - Agent got blocked,34.61,64.32,2631,131.6,0.846,111.3,1.2,3,91.8,91.8,2.63,1,0,1,0,73,0,38,104,3,0,212
full,2943,VehicleTurningRoute,Town12,Completed,57.782,100,665,33.3,0.376,12.5,1.2,2,2.4,0.0,3.91,0,0,0,0,6,0,6,11,3,0,20
full,2989,BlockedIntersection,Town12,Completed,38.966,100,750,37.5,0.365,13.7,0.9,2,2.9,0.0,3.69,1,0,0,0,9,0,6,7,2,0,20
full,3072,HighwayCutIn,Town12,Completed,100.0,100,530,26.5,0.187,5.0,1.8,0,0.0,0.0,6.31,0,0,0,0,0,0,4,5,4,0,5
full,3074,HighwayCutIn,Town12,Completed,100.0,100,258,12.9,0.151,2.0,0.8,0,0.0,0.0,9.69,0,0,0,0,0,0,1,3,2,0,2
full,3080,HighwayCutIn,Town12,Completed,100.0,100,343,17.2,0.289,5.0,2.3,2,2.8,0.0,11.23,0,0,0,0,5,0,2,3,5,0,5
full,3086,CrossingBicycleFlow,Town12,Failed - Agent got blocked,47.834,73.59,2700,135.0,0.865,116.8,1.4,1,105.8,105.8,3.54,1,0,1,0,92,0,49,90,3,0,228
full,3090,CrossingBicycleFlow,Town12,Failed - TickRuntime,37.368,57.49,4000,200.0,0.936,187.2,1.3,1,180.6,180.6,3.87,1,0,0,1,147,1,78,148,3,0,371
full,3093,CrossingBicycleFlow,Town12,Completed,28.053,100,740,37.0,0.273,10.1,1.4,0,0.0,0.0,3.64,2,0,0,0,4,0,6,9,3,0,16
full,3099,CrossingBicycleFlow,Town12,Failed - Agent got blocked,36.617,61.47,1707,85.4,0.815,69.5,1.3,2,60.1,60.1,3.41,1,0,1,0,52,0,37,50,3,0,136
full,3100,CrossingBicycleFlow,Town12,Failed - TickRuntime,25.174,62.21,4000,200.0,0.929,185.8,0.8,2,147.5,31.4,3.79,2,0,0,1,109,0,68,192,2,0,367
full,3144,VanillaSignalizedTurnEncounterRedLight,Town12,Failed - Agent got blocked,9.026,98.17,3825,191.3,0.919,175.8,1.2,4,100.8,60.1,4.39,3,1,1,0,116,5,88,141,3,0,347
full,3178,VanillaNonSignalizedTurn,Town12,Completed,19.91,100,2052,102.6,0.81,83.2,0.9,2,70.8,0.0,3.27,3,0,0,0,39,0,73,51,2,0,161
full,3184,VanillaNonSignalizedTurnEncounterStopsign,Town12,Failed - Agent got blocked,27.864,53.29,1714,85.7,0.834,71.5,1.9,2,60.1,60.1,2.44,1,0,1,0,55,0,28,59,4,0,138
full,3189,VanillaNonSignalizedTurnEncounterStopsign,Town12,Failed - Agent got blocked,29.179,58.8,1575,78.8,0.88,69.3,0.9,2,60.2,60.2,4.07,1,0,1,0,47,0,40,50,2,0,135
full,3248,ParkingCrossingPedestrian,Town13,Completed,50.0,100,631,31.6,0.179,5.7,2.6,1,2.5,0.0,5.09,1,0,0,0,1,0,3,7,5,0,6
full,3255,ParkingCrossingPedestrian,Town13,Completed,60.0,100,723,36.2,0.241,8.7,1.4,0,0.0,0.0,4.23,1,0,0,0,3,0,5,9,3,0,14
full,3307,Accident,Town13,Completed,100.0,100,492,24.6,0.128,3.2,2.6,1,2.6,0.0,6.18,0,0,0,0,0,0,2,4,5,0,1
full,3364,YieldToEmergencyVehicle,Town13,Completed,70.0,100,298,14.9,0.188,2.8,2.6,1,2.6,0.0,8.49,0,0,0,0,1,0,0,5,5,0,1
full,3373,YieldToEmergencyVehicle,Town13,Completed,70.0,100,267,13.4,0.236,3.2,2.6,1,2.6,0.0,10.22,0,0,0,0,0,0,2,4,5,0,1
full,3378,YieldToEmergencyVehicle,Town13,Completed,70.0,100,487,24.4,0.193,4.7,0.8,0,0.0,0.0,5.21,0,0,0,0,1,0,1,6,2,0,6
full,3380,YieldToEmergencyVehicle,Town13,Completed,70.0,100,409,20.5,0.132,2.7,0.9,0,0.0,0.0,5.75,0,0,0,0,0,0,3,2,2,0,3
full,3410,AccidentTwoWays,Town13,Failed - TickRuntime,14.364,39.9,4000,200.0,0.918,183.7,1.4,2,163.8,163.8,3.25,2,0,0,1,144,1,62,155,3,0,359
full,3436,HazardAtSideLaneTwoWays,Town13,Completed,100.0,100,657,32.9,0.262,8.6,2.6,2,3.8,0.0,5.5,0,0,0,0,4,0,3,11,5,0,13
full,3457,ParkedObstacleTwoWays,Town13,Completed,100.0,100,726,36.3,0.226,8.2,2.5,2,2.8,0.0,4.73,0,0,0,0,2,0,3,11,5,0,11
full,3464,VehicleOpensDoorTwoWays,Town13,Completed,60.0,100,709,35.5,0.164,5.8,0.8,0,0.0,0.0,4.46,1,0,0,0,1,0,5,6,2,0,10
full,3472,VehicleOpensDoorTwoWays,Town13,Completed,60.0,100,744,37.2,0.262,9.8,3.6,1,3.6,0.0,4.82,1,0,0,0,4,0,4,10,7,0,11
full,3476,VehicleOpensDoorTwoWays,Town13,Completed,100.0,100,803,40.2,0.235,9.5,0.8,1,2.2,0.0,4.33,0,0,0,0,5,0,5,8,2,0,16
full,3482,VehicleOpensDoorTwoWays,Town13,Completed,100.0,100,511,25.6,0.123,3.2,1.4,0,0.0,0.0,5.85,0,0,0,0,1,0,2,5,3,0,5
full,3514,ParkingExit,Town13,Failed - TickRuntime,1.86,3.1,4000,200.0,0.993,198.5,2.6,2,196.0,196.0,2.65,1,0,0,1,148,0,72,176,5,0,391
full,3520,ParkingExit,Town13,Failed - TickRuntime,0.93,1.55,4000,200.0,0.991,198.1,2.3,3,193.5,193.5,1.99,1,0,0,1,168,2,68,157,5,0,390
full,3540,HardBreakRoute,Town13,Completed,17.313,100,855,42.8,0.389,16.7,2.6,3,3.1,0.0,5.45,1,0,0,0,8,0,8,14,5,0,25
full,3561,ControlLoss,Town13,Failed - Agent got blocked,35.214,64.7,1758,87.9,0.852,74.9,2.6,3,67.6,67.7,6.72,1,0,1,0,52,0,36,60,5,0,143
full,3564,InvadingTurn,Town13,Failed - TickRuntime,38.838,64.73,4000,200.0,0.942,188.3,1.2,1,185.6,185.7,5.66,1,0,0,1,133,1,117,126,3,0,374
full,3572,InvadingTurn,Town13,Completed,100.0,100,636,31.8,0.285,9.1,2.5,2,3.3,0.0,4.4,0,0,0,0,7,0,1,11,5,0,14
full,3575,InvadingTurn,Town13,Completed,100.0,100,406,20.3,0.244,5.0,2.5,1,2.4,0.0,6.65,0,0,0,0,4,0,1,4,5,0,4
full,3666,NonSignalizedJunctionRightTurn,Town13,Failed - TickRuntime,34.446,57.41,4000,200.0,0.934,186.9,1.2,2,180.3,0.0,3.37,1,0,0,1,116,7,85,163,3,0,368
full,3670,NonSignalizedJunctionRightTurn,Town13,Failed - TickRuntime,32.802,54.67,4000,200.0,0.94,187.9,7.1,3,174.8,174.8,3.23,1,0,0,1,139,2,43,188,14,0,358
full,3676,NonSignalizedJunctionRightTurn,Town13,Failed - TickRuntime,35.094,63.86,4000,200.0,0.928,185.6,2.6,4,171.4,171.4,3.34,1,0,0,1,111,3,55,196,5,0,360
full,3697,OppositeVehicleTakingPriority,Town13,Failed - Agent got blocked,34.05,56.75,2820,141.0,0.898,126.7,0.8,1,119.4,119.4,3.02,1,0,1,0,87,2,61,101,2,0,249
full,3708,VehicleTurningRoute,Town13,Failed - Agent got blocked,23.169,60.86,1950,97.5,0.835,81.5,0.9,3,60.1,60.1,2.58,2,0,1,0,50,1,18,84,2,0,151
full,3712,VehicleTurningRoute,Town13,Failed - Agent got blocked,33.845,53.57,3006,150.3,0.892,134.1,0.8,2,122.9,122.9,2.7,1,0,1,0,96,2,40,125,2,0,261
full,3717,VehicleTurningRoute,Town13,Completed,15.133,100,1524,76.2,0.677,51.6,2.5,6,14.7,0.0,3.27,3,0,0,0,27,0,21,44,5,0,87
full,3731,VehicleTurningRoutePedestrian,Town13,Completed,7.44,100,1085,54.3,0.507,27.5,1.6,1,14.8,0.0,3.19,4,0,0,0,15,1,10,25,3,0,48
full,3737,VehicleTurningRoutePedestrian,Town13,Failed - TickRuntime,2.618,68.45,4000,200.0,0.911,182.2,1.6,6,85.0,55.1,2.82,6,0,0,1,124,0,67,163,3,0,351
full,3749,EnterActorFlow,Town13,Completed,70.0,100,570,28.5,0.414,11.8,2.6,3,3.2,0.0,4.84,0,1,0,0,9,0,3,10,5,0,17
full,3785,MergerIntoSlowTraffic,Town13,Completed,16.56,100,1526,76.3,0.308,23.5,1.7,3,3.1,0.0,4.44,3,0,0,0,14,0,8,20,4,0,38
full,3813,HighwayCutIn,Town13,Completed,100.0,100,223,11.2,0.139,1.6,1.6,0,0.0,0.0,14.82,0,0,0,0,1,0,1,1,3,0,0
full,3865,VanillaSignalizedTurnEncounterRedLight,Town13,Failed - TickRuntime,20.093,47.84,4000,200.0,0.953,190.6,0.8,2,180.5,180.5,3.71,1,1,0,1,155,0,77,147,2,0,377
full,3869,VanillaSignalizedTurnEncounterRedLight,Town13,Failed - Agent got blocked,26.026,57.2,1591,79.6,0.87,69.2,0.9,2,60.0,60.1,3.86,1,1,1,0,62,0,20,54,2,0,134
full,3876,VanillaSignalizedTurnEncounterRedLight,Town13,Failed - Agent got blocked,16.535,39.37,1440,72.0,0.919,66.2,1.2,1,61.8,61.9,4.15,1,1,1,0,43,0,27,61,3,0,128
full,3890,VanillaNonSignalizedTurn,Town13,Failed - TickRuntime,15.696,54.93,4000,200.0,0.921,184.2,2.6,4,83.8,78.1,2.38,2,0,0,1,112,0,63,183,5,0,353
full,3904,VanillaNonSignalizedTurnEncounterStopsign,Town13,Failed - Agent got blocked,28.567,43.95,1584,79.2,0.893,70.8,1.6,3,60.0,60.1,3.19,1,0,1,0,58,1,27,51,3,0,134
full,3905,VanillaNonSignalizedTurnEncounterStopsign,Town13,Completed,53.715,100,589,29.5,0.355,10.5,2.6,1,2.6,0.0,3.59,0,0,0,0,3,0,6,9,5,0,13
full,3936,SignalizedJunctionLeftTurn,Town12,Completed,25.901,100,726,36.3,0.358,13.0,1.6,0,0.0,0.0,3.92,2,0,0,0,4,0,4,14,3,0,19
full,4183,SignalizedJunctionLeftTurn,Town12,Failed - TickRuntime,7.885,81.78,4000,200.0,0.906,181.2,0.9,5,62.0,46.3,3.15,4,0,0,1,86,3,115,155,2,0,357
full,4468,SignalizedJunctionLeftTurn,Town12,Failed - TickRuntime,36.569,56.26,4000,200.0,0.94,188.1,1.3,3,177.4,177.4,3.9,1,0,0,1,110,2,67,195,3,0,371
full,4669,SignalizedJunctionLeftTurn,Town12,Failed - TickRuntime,22.92,58.77,4000,200.0,0.935,187.1,1.5,2,181.0,181.0,3.86,2,0,0,1,125,3,68,178,3,0,371
full,4683,SignalizedJunctionLeftTurn,Town12,Failed - TickRuntime,37.941,58.37,4000,200.0,0.94,188.0,2.6,2,183.6,183.6,4.11,1,0,0,1,136,2,74,164,5,0,371
full,4937,SignalizedJunctionRightTurn,Town12,Completed,9.586,100,2745,137.3,0.836,114.8,1.6,4,90.4,0.0,3.01,4,0,0,0,73,0,42,107,3,0,219
smokezoo,1711,ParkingCutIn,Town12,Completed,100.0,100,699,35.0,0.193,6.8,2.0,0,0.0,0.0,4.68,0,0,0,0,1,0,4,9,4,0,10
smokezoo,2373,VanillaSignalizedTurnEncounterRedLight,Town12,Completed,15.554,100,2701,135.1,0.836,112.9,0.8,6,90.4,0.0,3.3,2,1,0,0,75,1,46,98,2,0,218
smokezoo,2390,VanillaNonSignalizedTurn,Town12,Failed - Agent got blocked,26.388,48.24,2004,100.2,0.854,85.6,1.4,2,61.4,61.5,2.49,1,0,1,0,46,5,32,84,3,0,164
smokezoo,24211,DynamicObjectCrossing,Town01,Completed,100.0,100,763,38.2,0.18,6.9,1.7,0,0.0,0.0,4.22,0,0,0,0,1,0,4,10,4,0,11
smokezoo,3564,InvadingTurn,Town13,Completed,100.0,100,594,29.7,0.269,8.0,1.7,0,0.0,0.0,4.7,0,0,0,0,2,0,4,9,4,0,11
smokefixed,1711,ParkingCutIn,Town12,Completed,100.0,100,1205,60.3,0.367,22.1,4.4,4,4.3,0.0,3.43,0,0,0,0,8,0,18,16,9,0,33
smokefixed,2373,VanillaSignalizedTurnEncounterRedLight,Town12,Failed - Agent deviated from the route,15.092,21.56,488,24.4,0.471,11.5,4.7,2,4.6,0.0,3.11,0,1,0,0,5,0,7,11,10,0,13
smokefixed,2390,VanillaNonSignalizedTurn,Town12,Failed - Agent deviated from the route,28.69,28.69,971,48.6,0.636,30.9,1.5,5,6.1,0.0,2.61,0,0,0,0,22,0,12,28,3,0,59
smokefixed,24211,DynamicObjectCrossing,Town01,Completed,100.0,100,1316,65.8,0.389,25.6,3.1,3,3.4,0.0,3.23,0,0,0,0,9,0,18,16,6,0,37
smokefixed,3564,InvadingTurn,Town13,Completed,60.0,100,1093,54.7,0.405,22.2,1.7,2,3.2,0.0,3.08,1,0,0,0,11,0,18,8,4,0,33
