agent,NC_fail,DAC_fail,DDC_fail,TLC_fail,TTC_fail,EC_fail,NC_fail_overshoot>2m,all_overshoot>2m,DAC_fail_turn_cmd,all_turn_cmd,DAC_fail_lat_err_med,lat_err_med
alpamayo_nav,24.91,29.35,17.18,1.74,26.78,55.65,84.03,56.68,50.15,33.56,3.18,0.91
cv,34.60,42.16,21.50,1.90,33.11,36.92,69.49,48.39,48.82,33.56,3.06,1.00
lebowski_none,22.53,20.89,15.11,2.63,22.43,72.51,82.86,68.67,50.93,33.56,7.62,1.62
cinque_none,23.35,24.26,17.23,3.06,24.83,74.40,84.63,77.86,62.16,33.56,6.85,1.32
small_none,29.99,20.51,13.21,4.40,31.71,72.65,95.72,86.33,57.57,33.56,5.57,1.53
