model,variant,n_tokens,stage1,stage2,EPDMS,NC_one,NC_two,DAC_one,DAC_two,DDC_one,DDC_two,TLC_one,TLC_two,EP_one,EP_two,TTC_one,TTC_two,LK_one,LK_two,HC_one,HC_two,EC_one,EC_two
constant velocity,,5912,28.96,34.25,11.48,88.89,83.21,42.89,59.14,70.67,76.53,99.33,98.06,77.53,71.38,87.33,81.14,78.67,47.98,97.11,97.17,60.44,61.98
Alpamayo 1.5,nav,5912,34.05,32.58,10.82,89.44,80.63,50.89,60.00,76.44,78.35,99.33,97.88,81.55,75.03,84.89,76.70,86.44,53.12,88.22,89.05,26.22,29.25
openpilot Lebowski,none,5912,31.75,30.23,10.21,82.33,79.17,60.22,61.66,73.22,73.40,97.78,97.58,86.69,81.77,80.22,74.47,79.56,49.80,49.33,57.74,5.33,16.33
openpilot small,none,5912,28.69,31.53,10.15,79.00,76.70,57.78,67.11,72.78,75.54,97.11,97.41,93.63,86.33,74.44,73.31,85.78,52.33,36.67,52.47,5.78,19.01
