clip,config,sample,ade64,ade40,fde40
75235a25-5d0f-40ad-90e1-37d2354150e8,native+ego2hz,5,0.41346157,0.39406365,0.6539969
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,0,0.39584598,0.19410193,0.35237664
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,1,4.0149407,1.8847859,4.9782543
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,2,0.15081346,0.16386287,0.1744439
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,3,3.1808734,1.3177227,4.083662
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,4,1.7326614,0.5400065,1.9004052
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat,5,0.5794196,0.22111389,0.084008254
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,0,0.7577343,0.27730948,0.7211238
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,1,4.714276,1.982933,5.626614
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,2,0.82810307,0.15122831,0.64265364
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,3,3.8057685,1.9729334,5.5379515
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,4,1.4176891,0.6864303,1.8512694
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz,5,0.47764906,0.42612115,0.58807886
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,0,1.4581972,0.5529607,1.6975026
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,1,3.966504,1.9301316,5.047254
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,2,1.873035,0.87883836,2.4343166
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,3,6.7302427,2.9704542,8.837773
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,4,3.8935497,1.5369319,4.683785
75235a25-5d0f-40ad-90e1-37d2354150e8,native+rt,5,1.8319541,0.45894712,1.8314979
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,0,0.85025287,0.5074822,0.9228849
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,1,6.401275,3.0531933,8.214545
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,2,0.40508318,0.36410123,0.6576151
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,3,5.1819158,1.9255031,6.284054
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,4,3.0837379,0.81205463,3.1050758
75235a25-5d0f-40ad-90e1-37d2354150e8,repeat+rt+ego2hz,5,1.177453,0.51500595,0.17877644
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,0,0.69556457,0.4066111,0.84178966
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,1,11.17906,5.0846014,13.8806
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,2,0.3093349,0.2272408,0.53537536
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,3,6.0953507,2.7730699,8.197479
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,4,2.9769402,1.1850367,3.636877
75235a25-5d0f-40ad-90e1-37d2354150e8,2hz+rt+ego2hz,5,0.9510821,0.7932791,0.7718911
34276d2d-ada4-43ee-b026-837f5c9cab07,native,0,4.6703553,2.143315,5.6698437
34276d2d-ada4-43ee-b026-837f5c9cab07,native,1,1.1487712,0.42698413,1.4389718
34276d2d-ada4-43ee-b026-837f5c9cab07,native,2,0.74249804,0.53581685,1.2134746
34276d2d-ada4-43ee-b026-837f5c9cab07,native,3,3.153077,1.5028194,4.0694375
34276d2d-ada4-43ee-b026-837f5c9cab07,native,4,2.7844026,1.5889715,3.636715
34276d2d-ada4-43ee-b026-837f5c9cab07,native,5,1.0702692,0.6438224,1.1582484
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,0,4.6363707,2.0655906,5.6056204
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,1,1.1203675,0.4570695,1.4074641
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,2,0.8644413,0.5035364,1.204665
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,3,2.9804866,1.3756874,3.8279943
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,4,2.6059718,1.4553306,3.391389
34276d2d-ada4-43ee-b026-837f5c9cab07,native+ego2hz,5,1.1263363,0.5355382,1.1954074
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,0,2.645639,0.3478703,1.670265
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,1,3.1841865,0.8643427,2.690293
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,2,5.851015,1.7688904,5.8729205
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,3,10.507971,4.22591,12.502475
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,4,2.1564317,0.75501186,1.7864492
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat,5,1.8525679,0.13151982,0.7699302
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,0,13.640406,5.6286736,15.789175
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,1,2.270474,0.63694495,2.2382612
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,2,4.882265,1.8447517,5.703094
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,3,8.862613,3.6473496,10.889206
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,4,8.150995,4.012394,10.666678
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz,5,4.924095,2.1396928,5.6119976
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,0,6.214282,2.5156472,7.154372
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,1,1.5066364,0.7157911,2.3058796
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,2,1.7050288,0.8134877,2.2950864
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,3,4.1234703,1.8233312,5.2130466
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,4,3.525158,1.9775112,4.9479647
34276d2d-ada4-43ee-b026-837f5c9cab07,native+rt,5,2.1566956,1.0181375,2.538378
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,0,2.8388166,0.4607919,1.9277922
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,1,3.3086963,0.869678,2.7643452
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,2,5.30585,1.5907351,5.2434688
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,3,8.323601,3.2847276,9.678131
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,4,1.9075087,0.38578856,1.0311347
34276d2d-ada4-43ee-b026-837f5c9cab07,repeat+rt+ego2hz,5,2.025991,0.19571862,1.0132564
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,0,14.294476,5.924502,16.83358
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,1,3.4274807,1.2279851,4.2024136
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,2,5.8568606,2.3581982,7.229203
