examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
TFv6 target speed,0.1,per frame,pooled,8.253849813714613,0.050062972292191435,0.046660110809968104,0.014833127317676144,1081,frame,49,0.0,0.0,0.0,0.5781683626271971,0.02968309270179648
TFv6 target speed,0.1,per frame,pedestrian,8.253849813714613,0.050062972292191435,0.046660110809968104,0.004740518962075849,406,frame,21,0.0,0.0,0.0,0.5517241379310345,0.0011025152505532354
TFv6 target speed,0.1,per frame,cut-in,8.253849813714613,0.050062972292191435,0.046660110809968104,0.01645925331192292,676,frame,26,0.0,0.0,0.0,0.5976331360946746,0.10248888344670562
TFv6 target speed,0.1,(b) per pair,pooled,8.253849813714613,0.14736842105263157,0.12677304964539007,0.014833127317676144,147,pair,49,0.0,0.0,0.0,0.5781683626271971,0.02968309270179648
TFv6 target speed,0.1,(b) per pair,pedestrian,8.253849813714613,0.14736842105263157,0.12677304964539007,0.004740518962075849,63,pair,21,0.0,0.0,0.0,0.5517241379310345,0.0011025152505532354
TFv6 target speed,0.1,(b) per pair,cut-in,8.253849813714613,0.14736842105263157,0.12677304964539007,0.01645925331192292,78,pair,26,0.0,0.0,0.0,0.5976331360946746,0.10248888344670562
TFv6 waypoint speed 2 s,0.1,per frame,pooled,2.408644632544593,0.050062972292191435,0.055367008050911826,0.17626699629171816,1081,frame,49,0.30434782608695654,0.2394488796753705,0.3695497643089834,0.8566142460684552,0.4963792927395288
TFv6 waypoint speed 2 s,0.1,per frame,pedestrian,2.408644632544593,0.050062972292191435,0.055367008050911826,0.0998003992015968,406,frame,21,0.29310344827586204,0.21979801954226508,0.3667638341706726,0.8399014778325123,0.075392311137056
TFv6 waypoint speed 2 s,0.1,per frame,cut-in,2.408644632544593,0.050062972292191435,0.055367008050911826,0.14853472501003612,676,frame,26,0.3254437869822485,0.22918361669930568,0.421857203967596,0.8698224852071006,0.6951104659549654
TFv6 waypoint speed 2 s,0.1,(b) per pair,pooled,2.408644632544593,0.5052631578947369,0.5257092198581561,0.17626699629171816,147,pair,49,0.673469387755102,0.5578231292517006,0.7959183673469388,0.8566142460684552,0.4963792927395288
TFv6 waypoint speed 2 s,0.1,(b) per pair,pedestrian,2.408644632544593,0.5052631578947369,0.5257092198581561,0.0998003992015968,63,pair,21,0.7142857142857143,0.5392857142857143,0.873015873015873,0.8399014778325123,0.075392311137056
TFv6 waypoint speed 2 s,0.1,(b) per pair,cut-in,2.408644632544593,0.5052631578947369,0.5257092198581561,0.14853472501003612,78,pair,26,0.7307692307692307,0.5641025641025641,0.8846153846153846,0.8698224852071006,0.6951104659549654
TFv6 target speed (decoded scalar),0.1,per frame,pooled,8.25,0.052267002518891686,0.05267271084674485,0.015822002472187888,1081,frame,49,0.0,0.0,0.0,0.4440333024976873,0.01893332510283499
TFv6 target speed (decoded scalar),0.1,per frame,pedestrian,8.25,0.052267002518891686,0.05267271084674485,0.005239520958083832,406,frame,21,0.0,0.0,0.0,0.3522167487684729,0.0
TFv6 target speed (decoded scalar),0.1,per frame,cut-in,8.25,0.052267002518891686,0.05267271084674485,0.017262143717382578,676,frame,26,0.0,0.0,0.0,0.5044378698224852,0.10227272727272727
TFv6 target speed (decoded scalar),0.1,(b) per pair,pooled,8.25,0.14736842105263157,0.12677304964539007,0.015822002472187888,147,pair,49,0.0,0.0,0.0,0.4440333024976873,0.01893332510283499
TFv6 target speed (decoded scalar),0.1,(b) per pair,pedestrian,8.25,0.14736842105263157,0.12677304964539007,0.005239520958083832,63,pair,21,0.0,0.0,0.0,0.3522167487684729,0.0
TFv6 target speed (decoded scalar),0.1,(b) per pair,cut-in,8.25,0.14736842105263157,0.12677304964539007,0.017262143717382578,78,pair,26,0.0,0.0,0.0,0.5044378698224852,0.10227272727272727
BridgeDrive target speed,0.0,per frame,pooled,8.266019943833802,0.05001592863969417,0.047492972037655665,0.01942231075697211,1072,frame,49,0.0018656716417910447,0.0,0.005714421898406645,0.5923507462686567,0.030873394569082967
BridgeDrive target speed,0.0,per frame,pedestrian,8.266019943833802,0.05001592863969417,0.047492972037655665,0.003992015968063872,406,frame,21,0.0,0.0,0.0,0.5172413793103449,0.0002903453089031471
BridgeDrive target speed,0.0,per frame,cut-in,8.266019943833802,0.05001592863969417,0.047492972037655665,0.025182778229082048,667,frame,26,0.0029985007496251873,0.0,0.009104704097116844,0.6371814092953523,0.26169524869223193
BridgeDrive target speed,0.0,(b) per pair,pooled,8.266019943833802,0.1276595744680851,0.1276595744680851,0.01942231075697211,146,pair,49,0.0136986301369863,0.0,0.0410958904109589,0.5923507462686567,0.030873394569082967
BridgeDrive target speed,0.0,(b) per pair,pedestrian,8.266019943833802,0.1276595744680851,0.1276595744680851,0.003992015968063872,63,pair,21,0.0,0.0,0.0,0.5172413793103449,0.0002903453089031471
BridgeDrive target speed,0.0,(b) per pair,cut-in,8.266019943833802,0.1276595744680851,0.1276595744680851,0.025182778229082048,77,pair,26,0.025974025974025976,0.0,0.07894736842105263,0.6371814092953523,0.26169524869223193
BridgeDrive target speed (decoded scalar),0.0,per frame,pooled,8.310979843139648,0.05001592863969417,0.05005008010365683,0.01942231075697211,1072,frame,49,0.0018656716417910447,0.0,0.005714421898406645,0.4906716417910448,0.023035777274566384
BridgeDrive target speed (decoded scalar),0.0,per frame,pedestrian,8.310979843139648,0.05001592863969417,0.05005008010365683,0.003992015968063872,406,frame,21,0.0,0.0,0.0,0.39408866995073893,0.0
BridgeDrive target speed (decoded scalar),0.0,per frame,cut-in,8.310979843139648,0.05001592863969417,0.05005008010365683,0.025182778229082048,667,frame,26,0.0029985007496251873,0.0,0.009104704097116844,0.5487256371814093,0.26205091079503195
BridgeDrive target speed (decoded scalar),0.0,(b) per pair,pooled,8.310979843139648,0.13829787234042554,0.1382978723404255,0.01942231075697211,146,pair,49,0.0136986301369863,0.0,0.0410958904109589,0.4906716417910448,0.023035777274566384
BridgeDrive target speed (decoded scalar),0.0,(b) per pair,pedestrian,8.310979843139648,0.13829787234042554,0.1382978723404255,0.003992015968063872,63,pair,21,0.0,0.0,0.0,0.39408866995073893,0.0
BridgeDrive target speed (decoded scalar),0.0,(b) per pair,cut-in,8.310979843139648,0.13829787234042554,0.1382978723404255,0.025182778229082048,77,pair,26,0.025974025974025976,0.0,0.07894736842105263,0.5487256371814093,0.26205091079503195
BridgeDrive waypoint speed 2 s,0.0,per frame,pooled,3.3606611905934014,0.05001592863969417,0.05096447090329638,0.17056772908366533,1072,frame,49,0.27238805970149255,0.2058754810335349,0.34560843754282194,0.8171641791044776,0.44544226439871515
BridgeDrive waypoint speed 2 s,0.0,per frame,pedestrian,3.3606611905934014,0.05001592863969417,0.05096447090329638,0.08333333333333333,406,frame,21,0.2413793103448276,0.16911589635854343,0.31500961538461536,0.8645320197044335,0.07501541032174228
BridgeDrive waypoint speed 2 s,0.0,per frame,cut-in,3.3606611905934014,0.05001592863969417,0.05096447090329638,0.17018683996750608,667,frame,26,0.30134932533733133,0.20259888159005743,0.40558084736456795,0.7916041979010495,0.6880660074317774
BridgeDrive waypoint speed 2 s,0.0,(b) per pair,pooled,3.3606611905934014,0.5,0.5106382978723404,0.17056772908366533,146,pair,49,0.6712328767123288,0.5578231292517006,0.7862068965517242,0.8171641791044776,0.44544226439871515
BridgeDrive waypoint speed 2 s,0.0,(b) per pair,pedestrian,3.3606611905934014,0.5,0.5106382978723404,0.08333333333333333,63,pair,21,0.6825396825396826,0.49206349206349204,0.8412698412698413,0.8645320197044335,0.07501541032174228
BridgeDrive waypoint speed 2 s,0.0,(b) per pair,cut-in,3.3606611905934014,0.5,0.5106382978723404,0.17018683996750608,77,pair,26,0.7142857142857143,0.5641025641025641,0.8571428571428571,0.7916041979010495,0.6880660074317774
BLUE waypoint speed 2 s,0.0,per frame,pooled,4.9976790214071105,0.05001592863969417,0.05400399823861821,0.12250996015936255,1072,frame,49,0.26492537313432835,0.1697552896444522,0.36548266699033755,0.8274253731343284,0.4002130196591852
BLUE waypoint speed 2 s,0.0,per frame,pedestrian,4.9976790214071105,0.05001592863969417,0.05400399823861821,0.031187624750499,406,frame,21,0.059113300492610835,0.01674557849422239,0.12121399639963995,0.7463054187192119,0.07507472412669472
BLUE waypoint speed 2 s,0.0,per frame,cut-in,4.9976790214071105,0.05001592863969417,0.05400399823861821,0.1685621445978879,667,frame,26,0.3988005997001499,0.25956614269743133,0.5481565656565657,0.8770614692653673,0.9001485632397521
BLUE waypoint speed 2 s,0.0,(b) per pair,pooled,4.9976790214071105,0.32978723404255317,0.32978723404255317,0.12250996015936255,146,pair,49,0.4657534246575342,0.3424657534246575,0.5944427148194269,0.8274253731343284,0.4002130196591852
BLUE waypoint speed 2 s,0.0,(b) per pair,pedestrian,4.9976790214071105,0.32978723404255317,0.32978723404255317,0.031187624750499,63,pair,21,0.23809523809523808,0.09523809523809523,0.4126984126984127,0.7463054187192119,0.07507472412669472
BLUE waypoint speed 2 s,0.0,(b) per pair,cut-in,4.9976790214071105,0.32978723404255317,0.32978723404255317,0.1685621445978879,77,pair,26,0.6883116883116883,0.5128205128205128,0.8441558441558441,0.8770614692653673,0.9001485632397521
