row,n,rfs,rfs_lo,rfs_hi,rfs_frame,ade5_rater,ade5_log,lon5_bias,d_rfs_cv,d_rfs_cv_lo,d_rfs_cv_hi,d_rfs_logged_future,d_rfs_logged_future_lo,d_rfs_logged_future_hi,d_rfs_ours cls ego,d_rfs_ours cls ego_lo,d_rfs_ours cls ego_hi,d_rfs_Alpamayo 1.5 nav (E[1 sample]),d_rfs_Alpamayo 1.5 nav (E[1 sample])_lo,d_rfs_Alpamayo 1.5 nav (E[1 sample])_hi,d_rfs_openpilot Cinque,d_rfs_openpilot Cinque_lo,d_rfs_openpilot Cinque_hi
cv,479,7.1034,6.8536,7.353,7.0457,3.3455,3.7205,1.6141,0.0,0.0,0.0,-1.0274,-1.333,-0.7156,-0.208,-0.4476,0.0264,-0.7535,-0.9952,-0.5037,-0.9015,-1.1799,-0.6188
logged_future,479,8.1308,7.9259,8.3306,8.1751,2.6992,0.0,0.0,1.0274,0.7156,1.333,0.0,0.0,0.0,0.8194,0.5492,1.0956,0.2739,0.0676,0.4825,0.1259,-0.0967,0.3535
ours cls ego,479,7.3114,7.0603,7.5592,7.3427,3.2676,2.5705,-0.8222,0.208,-0.0264,0.4476,-0.8194,-1.0956,-0.5492,0.0,0.0,0.0,-0.5455,-0.7572,-0.326,-0.6935,-0.9529,-0.4353
Alpamayo 1.5 nav (E[1 sample]),479,7.8569,7.6697,8.0364,7.8066,2.7471,2.5071,3.3357,0.7535,0.5037,0.9952,-0.2739,-0.4825,-0.0676,0.5455,0.326,0.7572,0.0,0.0,0.0,-0.148,-0.3345,0.0334
openpilot Cinque,479,8.0048,7.7855,8.2179,7.9416,2.46,2.4647,0.8549,0.9015,0.6188,1.1799,-0.1259,-0.3535,0.0967,0.6935,0.4353,0.9529,0.148,-0.0334,0.3345,0.0,0.0,0.0
DrivoR,479,6.4753,6.2406,6.7128,6.6092,3.669,3.4013,0.4282,-0.6281,-0.9935,-0.2784,-1.6555,-1.9161,-1.3961,-0.8361,-1.1434,-0.5349,-1.3816,-1.6568,-1.1086,-1.5295,-1.8084,-1.2501
