examinee,split,frames,reactive,flip,lo,hi,false_flip_nonreactive
BridgeDrive target speed,creep frames,0,0,,,,
BridgeDrive target speed,no creep,5088,1072,0.0018656716417910447,0.0,0.005714421898406645,0.01942231075697211
BridgeDrive target speed (decoded scalar),creep frames,0,0,,,,
BridgeDrive target speed (decoded scalar),no creep,5088,1072,0.0018656716417910447,0.0,0.005714421898406645,0.01942231075697211
BridgeDrive waypoint speed 2 s,creep frames,0,0,,,,
BridgeDrive waypoint speed 2 s,no creep,5088,1072,0.27238805970149255,0.2058754810335349,0.34560843754282194,0.17056772908366533
BLUE waypoint speed 2 s,creep frames,0,0,,,,
BLUE waypoint speed 2 s,no creep,5088,1072,0.26492537313432835,0.1697552896444522,0.36548266699033755,0.12250996015936255
BLUE waypoint speed 2 s,gate open (either world),374,145,0.4413793103448276,0.1562055386178862,0.6941222188357208,0.1703056768558952
BLUE waypoint speed 2 s,gate closed (both),4714,927,0.2373247033441208,0.14545815775219417,0.3353937949893433,0.11961975178241352
SimLingo waypoint speed 2 s,creep frames,0,0,,,,
SimLingo waypoint speed 2 s,no creep,5088,1072,0.3460820895522388,0.23855573232975835,0.45562010130139013,0.14666334661354583
TFv6 target speed,creep frames,0,0,,,,
TFv6 target speed,no creep,5126,1081,0.0,0.0,0.0,0.014833127317676144
TFv6 waypoint speed 2 s,creep frames,0,0,,,,
TFv6 waypoint speed 2 s,no creep,5126,1081,0.30434782608695654,0.2394488796753705,0.3695497643089834,0.17626699629171816
TFv6 target speed (decoded scalar),creep frames,0,0,,,,
TFv6 target speed (decoded scalar),no creep,5126,1081,0.0,0.0,0.0,0.015822002472187888
