rid,ticks,need_k,max_pos_m,max_yaw_deg,max_dv_mps,first_div_k,cam_grid_same
1055210,345,345,0.0,0.0,0.0,,True
1055211,345,345,0.0,0.0,0.0,,True
1055212,345,345,0.0,0.0,0.0,,True
1055220,345,345,0.0,0.0,0.0,,True
1055221,345,345,0.0,0.0,0.0,,True
1055222,345,345,0.0,0.0,0.0,,True
1055230,345,345,0.0,0.0,0.0,,True
1079110,349,349,0.0,0.0,0.0,,True
1079111,349,349,0.0,0.0,0.0,,True
1079112,349,349,0.0,0.0,0.0,,True
1079120,349,349,0.0,0.0,0.0,,True
1079121,349,349,0.0,0.0,0.0,,True
1079122,349,349,0.0,0.0,0.0,,True
1079130,349,349,0.0,0.0,0.0,,True
1079310,157,157,0.0009765625,0.00182342529296875,0.0012206844110936197,,True
1079311,157,157,0.00146484375,0.00171661376953125,0.005372325927812132,,True
1079312,157,157,0.0009765625,0.00182342529296875,0.0012206844110936197,,True
1079320,157,157,0.0009765625,0.00182342529296875,0.0012206844110936197,,True
1079321,157,157,0.0,0.0,0.0,,True
1079322,157,157,0.0009765625,0.00182342529296875,0.0012206844110936197,,True
1079330,157,157,0.0009765625,0.00182342529296875,0.0012206844110936197,,True
1085710,157,157,0.0,0.0,0.0,,True
1085711,153,153,0.0,0.0,0.0,,True
1085712,153,153,0.000244140625,0.0006866455078125,0.0004749360333075223,,True
1085720,157,157,0.0,0.0,0.0,,True
1085721,153,153,0.0,0.0,0.0,,True
1085722,153,153,0.0,0.0,0.0,,True
1085730,157,157,0.0,0.0,0.0,,True
1101010,341,341,0.0,0.0,0.0,,True
1101011,341,341,0.0,0.0,0.0,,True
1101012,341,341,0.0,0.0,0.0,,True
1101020,341,341,0.0,0.0,0.0,,True
1101021,341,341,0.0,0.0,0.0,,True
1101022,341,341,0.0,0.0,0.0,,True
1101030,341,341,0.0,0.0,0.0,,True
1117710,341,341,0.0,0.0,0.0,,True
1117711,341,341,0.0,0.0,0.0,,True
1117712,341,341,0.0,0.0,0.0,,True
1117720,341,341,0.0,0.0,0.0,,True
1117721,341,341,0.0,0.0,0.0,,True
1117722,341,341,0.0,0.0,0.0,,True
1117730,341,341,0.0,0.0,0.0,,True
1121510,341,341,0.0,0.0,0.0,,True
1121511,341,341,0.0,0.0,0.0,,True
1121512,341,341,0.0,0.0,0.0,,True
1121520,341,341,0.0,0.0,0.0,,True
1121521,341,341,0.0,0.0,0.0,,True
1121522,341,341,0.0,0.0,0.0,,True
1121530,341,341,0.0,0.0,0.0,,True
1133310,349,349,0.0,0.0,0.0,,True
1133311,349,349,0.0,0.0,0.0,,True
1133312,349,349,0.0,0.0,0.0,,True
1133320,349,349,0.0,0.0,0.0,,True
1133321,349,349,0.0,0.0,0.0,,True
1133322,349,349,0.0,0.0,0.0,,True
1133330,349,349,0.0,0.0,0.0,,True
1138110,337,337,0.0,0.0,0.0,,True
1138111,337,337,0.0,0.0,0.0,,True
1138112,337,337,0.0,0.0,0.0,,True
1138120,337,337,0.0,0.0,0.0,,True
1138121,337,337,0.0,0.0,0.0,,True
1138122,337,337,0.0,0.0,0.0,,True
1138130,337,337,0.0,0.0,0.0,,True
1367410,125,125,0.0,0.0,0.0,,True
1367411,125,125,0.0,0.0,0.0,,True
1367412,125,125,0.0,0.0,0.0,,True
1367420,125,125,0.0,0.0,0.0,,True
1367421,125,125,0.0,0.0,0.0,,True
1367422,125,125,0.0,0.0,0.0,,True
1367430,125,125,0.0,0.0,0.0,,True
1419410,101,101,0.0,0.0,0.0,,True
1419411,101,101,0.0,0.0,0.0,,True
1419412,101,101,0.0,0.0,0.0,,True
1419420,101,101,0.0,0.0,0.0,,True
1419421,101,101,0.0,0.0,0.0,,True
1419422,101,101,0.0,0.0,0.0,,True
1419430,101,101,0.0,0.0,0.0,,True
1438210,105,105,0.0,0.0,0.0,,True
1438211,105,105,0.0,0.0,0.0,,True
1438212,105,105,0.0,0.0,0.0,,True
1438220,105,105,0.0,0.0,0.0,,True
1438221,105,105,0.0,0.0,0.0,,True
1438222,105,105,0.0,0.0,0.0,,True
1438230,105,105,0.0,0.0,0.0,,True
1484210,441,441,0.0,0.0,0.0,,True
1484230,441,441,0.0,0.0,0.0,,True
1486210,321,321,0.0,0.0,0.0,,True
1486211,321,321,0.0,0.0,0.0,,True
1486212,321,321,0.0,7.62939453125e-05,0.00025486187794199867,,True
1486220,321,321,0.000244140625,7.62939453125e-05,0.00025486187794199867,,True
