examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal,subset
DrivoR,pooled,1.2395534038543687,1832,65,65,0.3373362445414847,0.26979908683055925,0.4073103866897526,0.34989082969432317,0.012554585152838428,1727,0.11059640995946729,0.050505050505050504,0.053030303030303025,792.0,0.3377888842509047,all
DrivoR,cutin,1.2395534038543687,216,27,27,0.35185185185185186,0.22655036737079404,0.4854368932038835,0.4166666666666667,0.06481481481481481,398,0.06532663316582915,,,,,all
DrivoR,oncoming,1.2395534038543687,657,60,60,0.3059360730593607,0.23511893402399128,0.37615209965197094,0.3089802130898021,0.0030441400304414,558,0.06989247311827956,,,,,all
DrivoR,static,1.2395534038543687,959,65,65,0.3555787278415016,0.2854068904842264,0.4263947272084626,0.36287799791449427,0.0072992700729927005,771,0.16342412451361868,,,,,all
WA-JEPA,pooled,0.45011215209960914,1832,65,65,0.6610262008733624,0.6253457209013707,0.6968908748264596,0.6713973799126638,0.01037117903930131,1727,0.3954834973943254,0.050505050505050504,0.06313131313131314,792.0,0.6161658966378495,all
WA-JEPA,cutin,0.45011215209960914,216,27,27,0.5555555555555556,0.44678413120567373,0.6550535714285711,0.5555555555555556,0.0,398,0.19095477386934673,,,,,all
WA-JEPA,oncoming,0.45011215209960914,657,60,60,0.4931506849315068,0.4316101423772197,0.5562465107623595,0.5114155251141552,0.0182648401826484,558,0.28136200716845877,,,,,all
WA-JEPA,static,0.45011215209960914,959,65,65,0.799791449426486,0.7620445954312901,0.8343927440031141,0.8070907194994786,0.0072992700729927005,771,0.5836575875486382,,,,,all
openpilot ridge_late (Cinque),pooled,0.5268521547317493,1832,65,65,0.6997816593886463,0.6549730191491145,0.7446108974456036,0.7920305676855895,0.09224890829694324,1727,0.1800810654313839,0.050505050505050504,0.04419191919191919,792.0,0.6815223239580804,all
openpilot ridge_late (Cinque),cutin,0.5268521547317493,216,27,27,0.6666666666666666,0.5774611587048062,0.75438995215311,0.8101851851851852,0.14351851851851852,398,0.13316582914572864,,,,,all
openpilot ridge_late (Cinque),oncoming,0.5268521547317493,657,60,60,0.6073059360730594,0.54802879172851,0.6627132082924734,0.6864535768645358,0.0791476407914764,558,0.07347670250896057,,,,,all
openpilot ridge_late (Cinque),static,0.5268521547317493,959,65,65,0.7705943691345151,0.7207428706814852,0.8184699958551277,0.8602711157455682,0.08967674661105318,771,0.2814526588845655,,,,,all
DrivoR,pooled,1.2545890808105462,1832,65,65,0.3329694323144105,0.2653176241594904,0.40197440087145964,0.34497816593886466,0.012008733624454149,1016,0.12992125984251968,0.050595238095238096,0.06696428571428571,672.0,0.3346886651722835,complete_history
DrivoR,cutin,1.2545890808105462,216,27,27,0.35185185185185186,0.22655036737079404,0.4854368932038835,0.41203703703703703,0.06018518518518518,258,0.08914728682170543,,,,,complete_history
DrivoR,oncoming,1.2545890808105462,657,60,60,0.3028919330289193,0.23244163695119233,0.374260768493225,0.3059360730593607,0.0030441400304414,289,0.08650519031141868,,,,,complete_history
DrivoR,static,1.2545890808105462,959,65,65,0.34932221063607927,0.27931525895029546,0.4200672634959709,0.35662148070907196,0.0072992700729927005,469,0.1791044776119403,,,,,complete_history
WA-JEPA,pooled,0.44662709236144993,1832,65,65,0.6626637554585153,0.6275717039100815,0.6981903640059127,0.6735807860262009,0.010917030567685589,1016,0.47539370078740156,0.050595238095238096,0.06845238095238095,672.0,0.620795526267479,complete_history
WA-JEPA,cutin,0.44662709236144993,216,27,27,0.5694444444444444,0.4601725663716814,0.66986004784689,0.5694444444444444,0.0,258,0.2364341085271318,,,,,complete_history
WA-JEPA,oncoming,0.44662709236144993,657,60,60,0.4931506849315068,0.4316101423772197,0.5562465107623595,0.5114155251141552,0.0182648401826484,289,0.3633217993079585,,,,,complete_history
WA-JEPA,static,0.44662709236144993,959,65,65,0.799791449426486,0.7620445954312901,0.8343927440031141,0.808133472367049,0.008342022940563087,469,0.67590618336887,,,,,complete_history
openpilot ridge_late (Cinque),pooled,0.5030123472213741,1832,65,65,0.7046943231441049,0.6599656626267641,0.7488125226354171,0.7969432314410481,0.09224890829694324,1016,0.25984251968503935,0.050595238095238096,0.046130952380952384,672.0,0.6878406956482482,complete_history
openpilot ridge_late (Cinque),cutin,0.5030123472213741,216,27,27,0.6759259259259259,0.5841032544238342,0.762337469541536,0.8194444444444444,0.14351851851851852,258,0.18992248062015504,,,,,complete_history
openpilot ridge_late (Cinque),oncoming,0.5030123472213741,657,60,60,0.6149162861491628,0.5565472912733376,0.6687431531316979,0.6940639269406392,0.0791476407914764,289,0.12802768166089964,,,,,complete_history
openpilot ridge_late (Cinque),static,0.5030123472213741,959,65,65,0.7726798748696558,0.7229609039713727,0.8196359451825505,0.862356621480709,0.08967674661105318,469,0.3795309168443497,,,,,complete_history
