scope,tau_common,n,blue,simlingo,diff,lo,hi
pooled,4.9976790214071105,1072,0.26492537313432835,0.27052238805970147,-0.005597014925373134,-0.0397644045993233,0.02468275888625176
pedestrian,4.9976790214071105,406,0.059113300492610835,0.07389162561576355,-0.014778325123152709,-0.034326607581756326,0.002882052606153486
cut-in,4.9976790214071105,667,0.3988005997001499,0.4002998500749625,-0.0014992503748125937,-0.05436153399561347,0.04524215129189109
