row,n,l2_1s,l2pt_1s,col_vad_1s,col_bevp_1s,l2_2s,l2pt_2s,col_vad_2s,col_bevp_2s,l2_3s,l2pt_3s,col_vad_3s,col_bevp_3s,l2_avg,col_vad_avg,col_bevp_avg,lon_err_3s,l2_avg_lo,l2_avg_hi,d_l2_avg,d_l2_avg_lo,d_l2_avg_hi,col_vad_avg_lo,col_vad_avg_hi,d_col_vad_avg,d_col_vad_avg_lo,d_col_vad_avg_hi,col_bevp_avg_lo,col_bevp_avg_hi,d_col_bevp_avg,d_col_bevp_avg_lo,d_col_bevp_avg_hi
cv,4636,0.2772,0.4104,0.0539,0.1079,0.6596,1.2888,0.1672,0.4745,1.1811,2.5659,0.6723,2.6531,0.7059,0.2978,1.0785,-0.0364,0.6446,0.7669,0.0,0.0,0.0,0.1419,0.5086,0.0,0.0,0.0,0.6373,1.6187,0.0,0.0,0.0
logged future,4636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7059,-0.7669,-0.6446,0.0,0.0,-0.2978,-0.5086,-0.1419,0.0,0.0,-1.0785,-1.6187,-0.6373
openpilot small,4636,0.442,0.6127,0.0108,0.0216,0.8539,1.5045,0.1025,0.1941,1.3501,2.6456,0.3379,0.8412,0.882,0.1504,0.3523,1.2059,0.8106,0.953,0.1761,0.1133,0.2444,0.0814,0.2289,-0.1474,-0.3612,0.0233,0.1874,0.5326,-0.7262,-1.2591,-0.2735
openpilot Cinque,4636,0.43,0.6051,0.0,0.0,0.9085,1.6828,0.1672,0.3883,1.5254,3.1429,0.4134,1.1217,0.9546,0.1935,0.5033,1.6721,0.8769,1.0306,0.2487,0.1744,0.3269,0.1067,0.296,-0.1043,-0.3097,0.0713,0.2736,0.762,-0.5752,-1.0718,-0.1222
openpilot Lebowski,4636,0.5197,0.7347,0.0108,0.0216,1.0616,1.9227,0.1564,0.3236,1.7308,3.4833,0.3775,0.9707,1.1041,0.1816,0.4386,2.1618,1.0191,1.1866,0.3981,0.3209,0.4792,0.1037,0.2685,-0.1162,-0.3033,0.0443,0.2658,0.6345,-0.6399,-1.1425,-0.1869
DrivoR,4636,0.2222,0.3318,0.0,0.0,0.6135,1.2916,0.0647,0.1941,1.2492,2.9923,0.2948,1.1648,0.695,0.1198,0.453,0.9056,0.6676,0.7237,-0.011,-0.0784,0.0587,0.0682,0.1793,-0.178,-0.3738,-0.03,0.2443,0.6906,-0.6255,-1.1448,-0.1869
