scope,row,n,ade5,lo,hi,d_ours cls ego,d_ours cls ego_lo,d_ours cls ego_hi,d_Alpamayo 1.5 nav,d_Alpamayo 1.5 nav_lo,d_Alpamayo 1.5 nav_hi,d_openpilot Cinque,d_openpilot Cinque_lo,d_openpilot Cinque_hi,d_cv,d_cv_lo,d_cv_hi
s_ego dec 1-9,cv,1232,2.5114798545837402,2.353626363641562,2.680155915946262,0.771939754486084,0.6055461264261445,0.9442508661337471,0.9183231592178345,0.7768565931025602,1.0655293840283613,0.7265318632125854,0.5513819873394451,0.9012296830775623,,,
s_ego dec 1-9,ours cls ego,1232,1.7395402193069458,1.6283135653807224,1.8578510288047536,,,,0.1463833898305893,0.030480031832210347,0.2712527992728745,-0.045407939702272415,-0.18757075027245554,0.09301690201755622,-0.771939754486084,-0.9442508661337471,-0.6055461264261445
s_ego dec 1-9,Alpamayo 1.5 nav,1232,1.5931566953659058,1.510459119193533,1.6774689708775483,-0.1463833898305893,-0.2712527992728745,-0.03048003183221036,,,,-0.1917913407087326,-0.32173056443348513,-0.07079920994479229,-0.9183231592178345,-1.0655293840283613,-0.7768565931025603
s_ego dec 1-9,openpilot Cinque,1232,1.7849482297897339,1.6615505536845556,1.9123864778763286,0.045407939702272415,-0.09301690201755626,0.18757075027245543,0.1917913407087326,0.07079920994479226,0.32173056443348513,,,,-0.7265318632125854,-0.9012296830775623,-0.5513819873394451
s_ego dec 1-9,SparseDriveV2,1232,4.048137664794922,3.5578026633969007,4.58161852449034,2.3085973262786865,1.8550254879811625,2.8026323018617787,2.4549806118011475,1.9610045349632022,2.9858952533953036,2.2631895542144775,1.8099587166545945,2.745165747952987,1.536657691001892,1.0065887486442446,2.1076589551667477
s_ego dec 1-9,ZTRS,1232,4.042364597320557,3.562208076327949,4.570401167340228,2.3028242588043213,1.8741293247718445,2.7757610326332083,2.4492075443267822,1.971646958796462,2.9754905741213027,2.257416248321533,1.8216203029631608,2.724185854422347,1.5308843851089478,1.0337904489321004,2.074225606655248
s_ego top decile,cv,205,6.819283485412598,6.233514035622056,7.417653139951112,1.6789339780807495,1.0858099362191942,2.2630340311868675,2.149493455886841,1.625930765926777,2.6664850954175936,2.7088310718536377,2.1782959292305275,3.2216835525110366,,,
s_ego top decile,ours cls ego,205,5.140349864959717,4.63648075747728,5.654431386286993,,,,0.47055956721305847,-0.0567742807906746,0.9850991026736157,1.0298972129821777,0.5362803187146139,1.5043153851381266,-1.6789339780807495,-2.2630340311868675,-1.0858099362191942
s_ego top decile,Alpamayo 1.5 nav,205,4.669790267944336,4.114246882909621,5.23957049825478,-0.47055956721305847,-0.9850991026736158,0.05677428079067453,,,,0.5593374967575073,0.24260644133052425,0.8718227786901566,-2.149493455886841,-2.666485095417594,-1.6259307659267772
s_ego top decile,openpilot Cinque,205,4.110452651977539,3.6262847476494597,4.615199194229127,-1.0298972129821777,-1.5043153851381266,-0.5362803187146139,-0.5593374967575073,-0.8718227786901567,-0.2426064413305243,,,,-2.7088310718536377,-3.2216835525110366,-2.1782959292305275
s_ego top decile,SparseDriveV2,205,5.044773578643799,4.086144715639373,6.304757997016226,-0.09557618200778961,-0.9925934368233333,1.0564983164006276,0.3749834895133972,-0.6625628164873373,1.7209984164350949,0.9343209862709045,-0.07735489831729368,2.228394404191834,-1.7745102643966675,-2.8654494602760767,-0.41415560629888615
s_ego top decile,ZTRS,205,5.00282621383667,4.150087562953291,6.164756934338962,-0.13752344250679016,-0.9587502812761991,0.9321464718738005,0.3330361843109131,-0.6777455147731051,1.6254548288633388,0.8923736810684204,-0.09122657426724246,2.133586984709819,-1.8164575099945068,-2.805451193963856,-0.5495165344193589
all,cv,1437,3.126023769378662,2.930796405532362,3.328522854739848,0.9013299942016602,0.7392159481622144,1.069462649720441,1.0939598083496094,0.9461828442999876,1.2461810571307792,1.0093233585357666,0.8334786254071737,1.1853177190969688,,,
all,ours cls ego,1437,2.224694013595581,2.0833303713092195,2.377699771038425,,,,0.19262981414794922,0.06686433387102532,0.3215139710784741,0.10799327492713928,-0.031029095298859246,0.24746115279826048,-0.9013299942016602,-1.069462649720441,-0.7392159481622144
all,Alpamayo 1.5 nav,1437,2.032064199447632,1.8987525634617102,2.1665649938085667,-0.19262981414794922,-0.3215139710784742,-0.06686433387102543,,,,-0.08463655412197113,-0.20560490786740862,0.027439481827224322,-1.0939598083496094,-1.2461810571307794,-0.9461828442999877
all,openpilot Cinque,1437,2.1167006492614746,1.977219617583116,2.2621049026420095,-0.10799327492713928,-0.24746115279826048,0.03102909529885922,0.08463655412197113,-0.027439481827224322,0.2056049078674086,,,,-1.0093233585357666,-1.1853177190969688,-0.8334786254071738
all,SparseDriveV2,1437,4.1903157234191895,3.734918895246832,4.70360337492804,1.965622067451477,1.539472169305528,2.4503458820515296,2.158252000808716,1.6955495022258054,2.686807552780301,2.073615312576294,1.6475602510441152,2.5509727695793507,1.064292073249817,0.5590625942501791,1.6154181715770164
all,ZTRS,1437,4.17938232421875,3.738666633875478,4.684765655438201,1.9546884298324585,1.5481132857809743,2.404651253963376,2.147318124771118,1.6977094764557454,2.652163660136441,2.0626816749572754,1.6480680863336652,2.526167350866881,1.0533584356307983,0.5761126920163597,1.5735543018487521
