examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
DrivoR,0.0,per frame,pooled,2.471093773841858,0.050062972292191435,0.05708072498181149,0.00865265760197775,1081,frame,49,0.030527289546716005,0.005575820582874822,0.06351094321596036,0.7261794634597595,0.125219902883091
DrivoR,0.0,per frame,pedestrian,2.471093773841858,0.050062972292191435,0.05708072498181149,0.000998003992015968,406,frame,21,0.0,0.0,0.0,0.6896551724137931,0.02822929014985115
DrivoR,0.0,per frame,cut-in,2.471093773841858,0.050062972292191435,0.05708072498181149,0.01364913689281413,676,frame,26,0.04881656804733728,0.01043180265772479,0.10118419575103972,0.7396449704142012,0.1991087188469006
DrivoR,0.0,(b) per pair,pooled,2.471093773841858,0.3263157894736842,0.3466312056737589,0.00865265760197775,147,pair,49,0.09523809523809523,0.027210884353741496,0.17006802721088435,0.7261794634597595,0.125219902883091
DrivoR,0.0,(b) per pair,pedestrian,2.471093773841858,0.3263157894736842,0.3466312056737589,0.000998003992015968,63,pair,21,0.0,0.0,0.0,0.6896551724137931,0.02822929014985115
DrivoR,0.0,(b) per pair,cut-in,2.471093773841858,0.3263157894736842,0.3466312056737589,0.01364913689281413,78,pair,26,0.1794871794871795,0.0641025641025641,0.32051282051282054,0.7396449704142012,0.1991087188469006
WA-JEPA,0.0,per frame,pooled,1.0686296224594116,0.050062972292191435,0.05509837782521447,0.0546353522867738,1081,frame,49,0.1322849213691027,0.08064480789347205,0.1919727354108999,0.7789084181313598,0.330445326832
WA-JEPA,0.0,per frame,pedestrian,1.0686296224594116,0.050062972292191435,0.05509837782521447,0.02370259481037924,406,frame,21,0.07635467980295567,0.029697661455153557,0.1424961244844831,0.7068965517241379,0.2261158828086697
WA-JEPA,0.0,per frame,cut-in,1.0686296224594116,0.050062972292191435,0.05509837782521447,0.051384985949417906,676,frame,26,0.16715976331360946,0.09077593381789026,0.2553649487317862,0.8239644970414202,0.5066062493341655
WA-JEPA,0.0,(b) per pair,pooled,1.0686296224594116,0.5894736842105263,0.6108156028368794,0.0546353522867738,147,pair,49,0.43537414965986393,0.3197278911564626,0.5510204081632653,0.7789084181313598,0.330445326832
WA-JEPA,0.0,(b) per pair,pedestrian,1.0686296224594116,0.5894736842105263,0.6108156028368794,0.02370259481037924,63,pair,21,0.30158730158730157,0.14285714285714285,0.47619047619047616,0.7068965517241379,0.2261158828086697
WA-JEPA,0.0,(b) per pair,cut-in,1.0686296224594116,0.5894736842105263,0.6108156028368794,0.051384985949417906,78,pair,26,0.5897435897435898,0.4358974358974359,0.7435897435897436,0.8239644970414202,0.5066062493341655
TFv6 target speed,0.1,per frame,pooled,8.2538498137,0.050062972292191435,0.046660110809968104,0.014833127317676144,1081,frame,49,0.0,0.0,0.0,0.5781683626271971,0.029683092701849028
TFv6 target speed,0.1,per frame,pedestrian,8.2538498137,0.050062972292191435,0.046660110809968104,0.004740518962075849,406,frame,21,0.0,0.0,0.0,0.5517241379310345,0.0011025152505551874
TFv6 target speed,0.1,per frame,cut-in,8.2538498137,0.050062972292191435,0.046660110809968104,0.01645925331192292,676,frame,26,0.0,0.0,0.0,0.5976331360946746,0.10248888344688706
TFv6 target speed,0.1,(b) per pair,pooled,8.2538498137,0.14736842105263157,0.12677304964539007,0.014833127317676144,147,pair,49,0.0,0.0,0.0,0.5781683626271971,0.029683092701849028
TFv6 target speed,0.1,(b) per pair,pedestrian,8.2538498137,0.14736842105263157,0.12677304964539007,0.004740518962075849,63,pair,21,0.0,0.0,0.0,0.5517241379310345,0.0011025152505551874
TFv6 target speed,0.1,(b) per pair,cut-in,8.2538498137,0.14736842105263157,0.12677304964539007,0.01645925331192292,78,pair,26,0.0,0.0,0.0,0.5976331360946746,0.10248888344688706
TFv6 waypoint speed 2 s,0.1,per frame,pooled,2.4086446325,0.050062972292191435,0.055367008050911826,0.17626699629171816,1081,frame,49,0.30434782608695654,0.2394488796753705,0.3695497643089834,0.8566142460684552,0.49637929274871856
TFv6 waypoint speed 2 s,0.1,per frame,pedestrian,2.4086446325,0.050062972292191435,0.055367008050911826,0.0998003992015968,406,frame,21,0.29310344827586204,0.21979801954226508,0.3667638341706726,0.8399014778325123,0.0753923111384518
TFv6 waypoint speed 2 s,0.1,per frame,cut-in,2.4086446325,0.050062972292191435,0.055367008050911826,0.14853472501003612,676,frame,26,0.3254437869822485,0.22918361669930568,0.421857203967596,0.8698224852071006,0.6951104659678343
TFv6 waypoint speed 2 s,0.1,(b) per pair,pooled,2.4086446325,0.5052631578947369,0.5257092198581561,0.17626699629171816,147,pair,49,0.673469387755102,0.5578231292517006,0.7959183673469388,0.8566142460684552,0.49637929274871856
TFv6 waypoint speed 2 s,0.1,(b) per pair,pedestrian,2.4086446325,0.5052631578947369,0.5257092198581561,0.0998003992015968,63,pair,21,0.7142857142857143,0.5392857142857143,0.873015873015873,0.8399014778325123,0.0753923111384518
TFv6 waypoint speed 2 s,0.1,(b) per pair,cut-in,2.4086446325,0.5052631578947369,0.5257092198581561,0.14853472501003612,78,pair,26,0.7307692307692307,0.5641025641025641,0.8846153846153846,0.8698224852071006,0.6951104659678343
ridge_late op-cinque temporal,0.1,per frame,pooled,1.1648487151,0.050062972292191435,0.0505208708096483,0.06946847960444993,1081,frame,49,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.876040703052729,0.8939483761787415
ridge_late op-cinque temporal,0.1,per frame,pedestrian,1.1648487151,0.050062972292191435,0.0505208708096483,0.004491017964071856,406,frame,21,0.0024630541871921183,0.0,0.0079155672823219,0.7068965517241379,0.12403818219900131
ridge_late op-cinque temporal,0.1,per frame,cut-in,1.1648487151,0.050062972292191435,0.0505208708096483,0.1055800883179446,676,frame,26,0.7692307692307693,0.668621274636841,0.854829986613119,0.9659763313609467,1.7809231281280518
ridge_late op-cinque temporal,0.1,(b) per pair,pooled,1.1648487151,0.4105263157894737,0.39937943262411346,0.06946847960444993,147,pair,49,0.5306122448979592,0.4013605442176871,0.6666666666666666,0.876040703052729,0.8939483761787415
ridge_late op-cinque temporal,0.1,(b) per pair,pedestrian,1.1648487151,0.4105263157894737,0.39937943262411346,0.004491017964071856,63,pair,21,0.015873015873015872,0.0,0.047619047619047616,0.7068965517241379,0.12403818219900131
ridge_late op-cinque temporal,0.1,(b) per pair,cut-in,1.1648487151,0.4105263157894737,0.39937943262411346,0.1055800883179446,78,pair,26,0.9871794871794872,0.9615384615384616,1.0,0.9659763313609467,1.7809231281280518
prior [cinque],0.1,per frame,pooled,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.06946847960444993,1081,frame,49,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.876040703052729,0.8939400911331177
prior [cinque],0.1,per frame,pedestrian,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.004491017964071856,406,frame,21,0.0024630541871921183,0.0,0.0079155672823219,0.7068965517241379,0.12403978407382965
prior [cinque],0.1,per frame,cut-in,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.1055800883179446,676,frame,26,0.7692307692307693,0.668621274636841,0.854829986613119,0.9659763313609467,1.7809230089187622
prior [cinque],0.1,(b) per pair,pooled,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.06946847960444993,147,pair,49,0.5306122448979592,0.4013605442176871,0.6666666666666666,0.876040703052729,0.8939400911331177
prior [cinque],0.1,(b) per pair,pedestrian,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.004491017964071856,63,pair,21,0.015873015873015872,0.0,0.047619047619047616,0.7068965517241379,0.12403978407382965
prior [cinque],0.1,(b) per pair,cut-in,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.1055800883179446,78,pair,26,0.9871794871794872,0.9615384615384616,1.0,0.9659763313609467,1.7809230089187622
M-C pair [cinque],0.3,per frame,pooled,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.06674907292954264,1081,frame,49,0.6632747456059205,0.5845551992614532,0.7370402648448833,0.9296947271045328,1.5369198322296143
M-C pair [cinque],0.3,per frame,pedestrian,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.018213572854291416,406,frame,21,0.43349753694581283,0.350400550029417,0.5067287505095801,0.8645320197044335,0.6805734038352966
M-C pair [cinque],0.3,per frame,cut-in,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.07788036932958652,676,frame,26,0.8002958579881657,0.7005668604651163,0.8839285714285714,0.9704142011834319,1.8430671691894531
M-C pair [cinque],0.3,(b) per pair,pooled,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.06674907292954264,147,pair,49,0.8435374149659864,0.7482993197278912,0.9251700680272109,0.9296947271045328,1.5369198322296143
M-C pair [cinque],0.3,(b) per pair,pedestrian,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.018213572854291416,63,pair,21,0.7619047619047619,0.5873015873015873,0.9047619047619048,0.8645320197044335,0.6805734038352966
M-C pair [cinque],0.3,(b) per pair,cut-in,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.07788036932958652,78,pair,26,0.9743589743589743,0.9230769230769231,1.0,0.9704142011834319,1.8430671691894531
