radius,speed,sign,coefficient,tick,phase,linear,hermite,analytic,linear_rate,hermite_rate
8.0,8.0,1.0,0.5,20,0,-0.32051397846819574,-0.32012645595728184,-0.3201263621275395,0.3488183495188124,0.0039886238492969905
8.0,8.0,1.0,0.5,21,1,-0.33230432846117064,-0.32021910646013363,-0.3201263621275395,-0.23580699985949805,-0.0018530100570357533
8.0,8.0,1.0,0.5,22,2,-0.33813736930364147,-0.3203297059155519,-0.3201263621275395,-0.11666081684941654,-0.0022119891083649534
8.0,8.0,1.0,0.5,23,3,-0.3379548959441362,-0.32032588714974664,-0.3201263621275395,0.0036494671901055042,7.63753161048264e-05
8.0,8.0,1.0,0.5,24,0,-0.3205139784681958,-0.32012645595728195,-0.3201263621275395,0.34881834951880797,0.00398862384929366
8.0,8.0,1.0,0.5,25,1,-0.3323043284611706,-0.3202191064601335,-0.3201263621275395,-0.23580699985949582,-0.0018530100570313124
8.0,8.0,1.0,0.5,26,2,-0.3381373693036414,-0.32032970591555177,-0.3201263621275395,-0.11666081684941654,-0.0022119891083649534
8.0,8.0,1.0,0.5,27,3,-0.3379548959441362,-0.3203258871497465,-0.3201263621275395,0.003649467190104394,7.63753161048264e-05
8.0,8.0,1.0,0.5,28,0,-0.3205139784681954,-0.3201264559572815,-0.3201263621275395,0.34881834951881574,0.003988623849300321
8.0,8.0,1.0,0.5,29,1,-0.33230432846117036,-0.32021910646013335,-0.3201263621275395,-0.23580699985949916,-0.0018530100570368635
8.0,8.0,1.0,0.5,30,2,-0.338137369303641,-0.3203297059155517,-0.3201263621275395,-0.11666081684941321,-0.002211989108367174
8.0,8.0,1.0,0.5,31,3,-0.337954895944136,-0.32032588714974636,-0.3201263621275395,0.003649467190099953,7.637531610704684e-05
8.0,8.0,1.0,0.5,32,0,-0.3205139784681956,-0.32012645595728173,-0.3201263621275395,0.34881834951880797,0.00398862384929255
8.0,8.0,1.0,0.5,33,1,-0.3323043284611702,-0.32021910646013335,-0.3201263621275395,-0.23580699985949138,-0.0018530100570324226
8.0,8.0,1.0,0.5,34,2,-0.3381373693036412,-0.3203297059155517,-0.3201263621275395,-0.11666081684941987,-0.002211989108367174
8.0,8.0,1.0,0.5,35,3,-0.33795489594413636,-0.3203258871497467,-0.3201263621275395,0.0036494671900966225,7.63753161003855e-05
8.0,8.0,1.0,0.5,36,0,-0.3205139784681959,-0.320126455957282,-0.3201263621275395,0.3488183495188091,0.00398862384929366
8.0,8.0,1.0,0.5,37,1,-0.33230432846117064,-0.3202191064601335,-0.3201263621275395,-0.23580699985949471,-0.0018530100570302022
8.0,8.0,1.0,0.5,38,2,-0.3381373693036414,-0.3203297059155519,-0.3201263621275395,-0.11666081684941543,-0.002211989108367174
8.0,8.0,1.0,0.5,39,3,-0.33795489594413586,-0.3203258871497461,-0.3201263621275395,0.0036494671901110554,7.637531611592863e-05
