fold,single,tau_other_folds,flip_pooled_other_folds,flip_ped_other_folds,chosen_pooled,chosen_ped
0,op-cinque temporal,1.116701030731202,0.4679113185530922,0.006369426751592357,op-cinque temporal,op-lebowski temporal
0,op-lebowski temporal,1.1603670477867127,0.425904317386231,0.03184713375796178,op-cinque temporal,op-lebowski temporal
0,qwenvid L18_last,0.6958401441574097,0.0,0.0,op-cinque temporal,op-lebowski temporal
0,qwenvid L18_mean,0.5535707712173467,0.0,0.0,op-cinque temporal,op-lebowski temporal
1,op-cinque temporal,1.1400952339172363,0.4422843256379101,0.0028328611898017,op-cinque temporal,op-lebowski temporal
1,op-lebowski temporal,1.1617021560668943,0.402187120291616,0.031161473087818695,op-cinque temporal,op-lebowski temporal
1,qwenvid L18_last,0.6700620651245117,0.0,0.0,op-cinque temporal,op-lebowski temporal
1,qwenvid L18_mean,0.4045318603515624,0.001215066828675577,0.0,op-cinque temporal,op-lebowski temporal
2,op-cinque temporal,1.2069367885589581,0.5171232876712328,0.0,op-cinque temporal,op-lebowski temporal
2,op-lebowski temporal,1.186815071105955,0.4897260273972603,0.03,op-cinque temporal,op-lebowski temporal
2,qwenvid L18_last,0.6448034524917602,0.0,0.0,op-cinque temporal,op-lebowski temporal
2,qwenvid L18_mean,0.4732522964477523,0.0,0.0,op-cinque temporal,op-lebowski temporal
3,op-cinque temporal,1.1785924434661865,0.4383078730904818,0.0,op-cinque temporal,op-lebowski temporal
3,op-lebowski temporal,1.1750905513763428,0.42303172737955347,0.024861878453038673,op-cinque temporal,op-lebowski temporal
3,qwenvid L18_last,0.7175413370132446,0.0,0.0,op-cinque temporal,op-lebowski temporal
3,qwenvid L18_mean,0.5599195957183838,0.0,0.0,op-cinque temporal,op-lebowski temporal
4,op-cinque temporal,1.1657996654510498,0.5376226826608506,0.0,op-cinque temporal,op-lebowski temporal
4,op-lebowski temporal,1.161909580230713,0.5081788440567067,0.010169491525423728,op-cinque temporal,op-lebowski temporal
4,qwenvid L18_last,0.6956013917922974,0.0,0.0,op-cinque temporal,op-lebowski temporal
4,qwenvid L18_mean,0.5105416297912599,0.0,0.0,op-cinque temporal,op-lebowski temporal
