version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete,variant,role,cruise_samples,cruise_signed_speed_std_mps,cruise_signed_speed_p95_minus_p5_mps,cruise_signed_speed_min_mps,cruise_signed_speed_max_mps,cruise_under_by_half_mps_fraction,gear_observed_cruise_samples,gear_observed_values,gear_changes,underspeed_episodes,underspeed_episodes_at_least_025s
pi,1773-speed6,pursuit,6.0,completed,False,641,/data/runs/b2d/controller/development-v3/1773-speed6/pi-max/pursuit,0.04765067669907116,0.09094397114131424,527,0.04925787525670339,0.09915283121303906,0.6271015124556867,1.4217440176100786,0.1571438574655699,5.000000074505806,0.0016360096383750808,0.04843167957148634,641,0.15752000035718083,0.22580299992114305,0.44163600250612944,161,161,4,0.024844720496894408,2.7016464664147053,5.999999780210752,5.999999968228095,"{""stationary_trajectory"": 101, ""tracking"": 540}","{""rejoin"": 131, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5076071017930431,cruise_speed,3fa47e1d394ad87bda4d455c2bc566ea43f99b2ceeda95603d5dae26884beef6,True,True,True,True,False,True,True,True,True,True,True,True,pi-max,pi,384,0.47016795728007704,1.2835623979568478,4.928596019744873,6.453943252563477,0.5130208333333334,384,"[0, 1, 2]",65,16,16
vendor,17563,carla,6.0,completed,False,590,/data/runs/b2d/controller/development-v2/17563/baseline/carla,0.18611255158692644,0.51516321036181,468,0.20893179751640165,0.5632251340530627,0.6389039693870894,1.5071398883528409,0.25940408532214126,5.000000074505806,0.0014834577212320022,0.0031563651006852973,590,0.12670249998336658,0.1849937470979057,0.25422099861316383,148,148,7,0.0472972972972973,8.555942552844426,5.999998987359688,5.999999993713021,"{""stationary_trajectory"": 102, ""tracking"": 488}","{""rejoin"": 115, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076021738590414,cruise_speed,4ecd9744c1942bbb8834dcd085e21c86ef355be45256671cba0fd5de80e20a9b,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,320,0.47209884895450505,1.314902806282043,4.964620113372803,6.5861992835998535,0.53125,0,[],,15,15
pi,17563,carla,6.0,completed,True,565,/data/runs/b2d/controller/development-v3/17563/pi/carla,0.1963602877494387,0.5398546361568708,449,0.21590848878955907,0.5781520557721432,0.27448842060056955,1.446749629517092,0.09629833594962417,5.000000074505806,0.0024207610553824595,0.026265870836873442,565,0.13183300325181335,0.19704620062839234,0.3383110015420243,142,142,3,0.02112676056338028,36.001761613288544,5.9999997172305175,5.999999984795818,"{""stationary_trajectory"": 101, ""tracking"": 464}","{""rejoin"": 113, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 26}",0,0,0.5076021738590414,,e8baac2edabe261de132bb9b2aa854b9a0f2531dab7ecb333c4d2b3ab0910062,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,305,0.23838299296824159,0.867912769317627,4.959115028381348,6.2921342849731445,0.07213114754098361,305,"[0, 1, 2]",8,3,2
vendor,17563,pursuit,6.0,completed,False,590,/data/runs/b2d/controller/development-v2/17563/baseline/pursuit,0.1954286708006344,0.45569127365299206,467,0.21964674692549277,0.5245682358667191,0.6443963143653287,1.507566442422412,0.26657390584259105,5.000000074505806,0.0012156507331290446,0.0033126463115952767,590,0.11047999942093156,0.1655644991842564,0.34705000143731013,148,148,7,0.0472972972972973,8.43465006965699,5.99999637062891,5.999999967276348,"{""stationary_trajectory"": 102, ""tracking"": 488}","{""rejoin"": 115, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5080358556848821,cruise_speed,b01d485d262c23e3f74c7c5fe02dc49f243968a74fe730794508acf448514fea,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,321,0.47019801943687245,1.2976503372192383,4.966616630554199,6.523804664611816,0.5295950155763239,0,[],,15,15
pi,17563,pursuit,6.0,completed,True,569,/data/runs/b2d/controller/development-v3/17563/pi/pursuit,0.19690136580796172,0.44051560063352024,450,0.21831159912139797,0.5282799248977583,0.39957947898070123,1.4631393570115152,0.1473918566839636,5.000000074505806,0.0016238701122649603,0.028574963783258613,569,0.13141799718141556,0.19085180538240823,0.33330100268358365,143,143,4,0.027972027972027972,20.260160470434762,5.999996747348186,5.999999971751973,"{""stationary_trajectory"": 101, ""tracking"": 468}","{""rejoin"": 113, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5080358556848821,,1d78474567352d66fc90b9270bd59e5958680e11ec56350573a1480cebf143c1,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,310,0.32690576784603925,1.0894767999649053,4.960181713104248,6.354415416717529,0.20967741935483872,310,"[0, 1, 2]",20,5,5
vendor,17563,pursuit,6.0,completed,False,596,/data/runs/b2d/controller/development-v2/17563/max/pursuit,0.1543226995945846,0.38060444643464375,473,0.17299077374061564,0.43430297723520445,0.7547347732038965,1.5378578515578234,0.2812230822623201,5.000000074505806,0.0008729443455466541,0.013869307650600345,596,0.1249939996341709,0.17808974916988518,0.41045000398298725,149,149,5,0.03355704697986577,6.192969242262625,5.999999122340359,5.999999968206212,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 495}","{""rejoin"": 119, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 25}",0,0,0.5080358556848821,cruise_speed,48734632f3964a70a58f0edd74ff5ae3ca4a23df02c85dc7c0903f3f1a4ddc15,True,True,True,True,False,True,True,True,True,True,True,True,max,vendor,327,0.5541955566716652,1.753143692016601,3.921448230743408,6.573655128479004,0.5779816513761468,0,[],,15,15
pi,17563,pursuit,6.0,completed,False,590,/data/runs/b2d/controller/development-v3/17563/pi-max/pursuit,0.1337658775941703,0.30513320881923867,471,0.14956050290947487,0.35191330687689515,0.6565277357143454,1.5078702038495921,0.18645870628672018,5.000000074505806,0.0012089671766423425,0.012459401087207769,590,0.13523649977287278,0.1943663959536934,0.33754799369489774,148,148,6,0.04054054054054054,78.10419546761403,5.999999153280249,5.999999987204989,"{""stationary_trajectory"": 98, ""stop_hold"": 3, ""tracking"": 489}","{""rejoin"": 117, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 25}",0,0,0.5080358556848821,cruise_speed,f1d32bc1708b920fa3a04d038d4cdc1cd4ddc37d4d0dc4ce1c88c1d174d170b1,True,True,True,True,False,True,True,True,True,True,True,True,pi-max,pi,326,0.4738879058144082,1.2924833297729492,4.744718551635742,6.3635735511779785,0.5613496932515337,326,"[0, 1, 2]",55,14,14
vendor,24240,carla,8.0,completed,True,453,/data/runs/b2d/controller/development-v2/24240/baseline/carla,0.13200230127848128,0.24391722306062272,330,0.1537205379629192,0.25510276130805065,0.22177933717656934,2.551508460370885,0.07952746150361902,5.000000074505806,0.0004704894194000143,0.008472776141167981,453,0.09830199996940792,0.15103040350368246,0.21618900063913316,114,114,8,0.07017543859649122,1.579782515368333,7.999995686748219,7.9999995207118175,"{""stationary_trajectory"": 101, ""tracking"": 352}","{""rejoin"": 80, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075688839609119,,a01c7a5c02d0c0d10ea469baf48bce81030aa17b7dec3fe13c191112060bfd4f,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,160,0.15461438494564542,0.45012352466583216,7.61286735534668,8.090985298156738,0.0,0,[],,0,0
pi,24240,carla,8.0,completed,True,434,/data/runs/b2d/controller/development-v3/24240/pi/carla,0.13323065158003375,0.24622094135712916,318,0.15564235106122054,0.25776324029501413,0.12302663270674603,2.549159443209771,0.2074257791706895,5.000000074505806,0.002295403334427394,0.00514064703056886,434,0.10326399933546782,0.161432353706914,0.24584899801993743,109,109,3,0.027522935779816515,5.258336191423477,7.999995788429126,7.999999412194416,"{""stationary_trajectory"": 102, ""tracking"": 332}","{""rejoin"": 80, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 26}",0,0,0.5075688839609119,,24e42bd0c55c1ee09eea6d012fdf348be77abfab2e40ed43ca9acc0e117046d2,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,160,0.060514221277895144,0.18443782329559344,7.730011940002441,7.987951278686523,0.0,160,[2],0,0,0
vendor,24240,pursuit,8.0,completed,True,454,/data/runs/b2d/controller/development-v2/24240/baseline/pursuit,0.09917910721808287,0.1815314575923397,328,0.1142590847609792,0.1947123680038898,0.24139377530801345,2.5456471282594633,0.11654655021660816,5.000000074505806,0.0008108836721467279,0.0064280711979661205,454,0.09902799865812995,0.15299934930226297,0.3006449987879023,114,114,8,0.07017543859649122,2.4609006778847387,7.999987407192971,7.9999988560753295,"{""stationary_trajectory"": 102, ""tracking"": 352}","{""rejoin"": 80, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075688839609119,,e9b66e9440d7914fee27c724c38aa5764fae11d8839f7cb8113ed16d60d0ac84,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,161,0.1658447131419428,0.47254037857055664,7.600772380828857,8.094329833984375,0.0,0,[],,0,0
