version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete,variant,role,cruise_samples,cruise_signed_speed_std_mps,cruise_signed_speed_p95_minus_p5_mps,cruise_signed_speed_min_mps,cruise_signed_speed_max_mps,cruise_under_by_half_mps_fraction,gear_observed_cruise_samples,gear_observed_values,gear_changes,underspeed_episodes,underspeed_episodes_at_least_025s
pi,24240,pursuit,8.0,completed,True,438,/data/runs/b2d/controller/development-v3/24240/pi/pursuit,0.10079115978062683,0.18296230943549344,320,0.11771592670518144,0.19748059822897346,0.12439310186760301,2.5419396098657536,0.1687829502220149,5.000000074505806,0.001756137266361469,0.006755765735718682,438,0.09524199776933528,0.15190214689937417,0.29981900297570974,110,110,4,0.03636363636363636,3.531611432617852,7.9999899331733415,7.9999988560753295,"{""stationary_trajectory"": 102, ""tracking"": 336}","{""rejoin"": 80, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5075688839609119,,47806851c0a6a191d9801d9ccdbec0d66b56f682c1de43f8ab6059286f5a1ba8,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,161,0.06193387834351426,0.17921161651611328,7.693204402923584,7.964450359344482,0.0,161,[2],0,0,0
vendor,24240,pursuit,8.0,completed,True,455,/data/runs/b2d/controller/development-v2/24240/max/pursuit,0.0823043431029986,0.16117302726842128,330,0.09194665567734785,0.176097583140329,0.21980631858473687,2.5473842442877817,0.08863351255630175,5.000000074505806,0.0007571882794989871,0.020350639905598048,455,0.09944500197889283,0.15855230012675742,0.23751999833621085,114,114,9,0.07894736842105263,17.653650094158806,7.99999117043346,7.999998960194885,"{""stationary_trajectory"": 99, ""stop_hold"": 2, ""tracking"": 354}","{""rejoin"": 80, ""rejoin_curvature_concern"": 9, ""terminal_hold"": 25}",0,0,0.5075688839609119,,3c3942cca88f9ec7471dc8ac9af84d3696757a8d22738f5ab12bbf24fc274a5e,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,161,0.15330618829973217,0.4248318672180176,7.627997398376465,8.092239379882812,0.0,0,[],,0,0
pi,24240,pursuit,8.0,completed,True,438,/data/runs/b2d/controller/development-v3/24240/pi-max/pursuit,0.08064373439230672,0.16190137689211895,320,0.09409520267501569,0.17195770456100223,0.12242909076555415,2.5447910826064333,0.16310543529987573,5.000000074505806,0.0017184978031829416,0.006656052999593463,438,0.09658900307840668,0.1540408011351246,0.21551599638769403,110,110,4,0.03636363636363636,3.339897243985841,7.999992555389106,7.999998960194885,"{""stationary_trajectory"": 102, ""tracking"": 336}","{""rejoin"": 80, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5075688839609119,,0440aba5b90a0c8eec4b56b870d776be094139adb620b4edb396ede445aa0a1a,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,161,0.060119398673435326,0.1855158805847168,7.739152431488037,7.972712516784668,0.0,161,[2],0,0,0
vendor,26966,carla,8.0,completed,True,390,/data/runs/b2d/controller/development-v2/26966/baseline/carla,0.24846644971726817,0.727401589586038,267,0.29705247912754595,0.8017742035372982,0.23800313741945558,2.9102797151194073,0.23068306712343684,5.000000074505806,0.0006002606383129946,0.0029404015755493374,390,0.08782450095168315,0.14524354883178597,0.2031050025834702,98,98,5,0.05102040816326531,6.633877343787528,7.999997533089695,7.999999992720752,"{""stationary_trajectory"": 102, ""tracking"": 288}","{""rejoin"": 67, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,0,0.5640835110867192,,e2ff5d527c495139968eb65bcfcfcd272d06db36c7864f6b55aee1060fa4858e,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,100,0.16653147994792994,0.47462995052337664,7.592322826385498,8.1303071975708,0.0,0,[],,0,0
pi,26966,carla,8.0,completed,True,381,/data/runs/b2d/controller/development-v3/26966/pi/carla,0.2424667225954515,0.6912552596381056,267,0.2864713436671997,0.7745355535897771,0.14895283681746802,2.909289752784399,0.12720395786545083,5.000000074505806,0.0013457699305312496,0.025833157248012918,381,0.09091699757846072,0.15843599976506084,0.32135299989022315,96,96,3,0.03125,18.628216503128527,7.999997720582415,7.9999999789013,"{""stationary_trajectory"": 101, ""tracking"": 280}","{""rejoin"": 67, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 26}",0,0,0.5610682578540722,,308b84dc79ccca992951ee0dd3dc2e7baf4b85483dc3e8bfbd462e4445a7fd0c,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,100,0.06685342132416407,0.18915638923644984,7.700732707977295,7.938745498657227,0.0,100,[2],0,0,0
vendor,26966,pursuit,8.0,completed,True,406,/data/runs/b2d/controller/development-v2/26966/baseline/pursuit,0.3390580384910568,0.9729289916915533,280,0.401782377785193,1.074723893506021,0.22706521704972318,2.8852708513992344,0.1536498376291057,5.000000074505806,0.000700580976573179,0.002864087118758483,406,0.08729850014788099,0.1376114996674005,0.22680799884255975,102,102,9,0.08823529411764706,12.970523018200398,7.999997568410038,7.999999921787049,"{""stationary_trajectory"": 102, ""tracking"": 304}","{""rejoin"": 67, ""rejoin_curvature_concern"": 9, ""terminal_hold"": 26}",0,0,0.5537363993601685,,010f7de8f452da4a49272af4f8de4be48a99597eb90588f7a24833845c8415ee,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,103,0.1640144582489456,0.474535655975342,7.577925205230713,8.098997116088867,0.0,0,[],,0,0
pi,26966,pursuit,8.0,completed,False,382,/data/runs/b2d/controller/development-v3/26966/pi/pursuit,0.34880627509949996,1.002272647086204,268,0.4144880590734417,1.090462020619295,0.15023734305820358,2.877627212923901,0.22073434280805546,5.000000074505806,0.0018517513036356431,0.04074858400354273,382,0.09352750203106552,0.13573744508903474,0.19607700232882053,96,96,4,0.041666666666666664,24.640565699424,7.999998698073125,7.9999999277056135,"{""stationary_trajectory"": 98, ""stop_hold"": 3, ""tracking"": 281}","{""rejoin"": 67, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 25}",0,0,0.5458399988593085,full_lateral_p95,e011f0f0e4d3ca7b3348cebe074bd0334edee834191207b27fc2b045a6d87b86,True,True,True,False,True,True,True,True,True,True,True,True,pi,pi,104,0.06427750298355817,0.1795232534408573,7.738369941711426,7.939639568328857,0.0,104,[2],0,0,0
vendor,26966,pursuit,8.0,completed,True,397,/data/runs/b2d/controller/development-v2/26966/max/pursuit,0.2581925807509396,0.7638080590769623,273,0.3010343374341461,0.8010287129691996,0.22819898986637002,2.8789523794194594,0.22794661264158353,5.000000074505806,0.0007527434830099969,0.019648193956004666,397,0.0857760023791343,0.14008220605319366,0.3003090023412369,100,100,7,0.07,6.129998301054205,7.999995809632885,7.99999991078405,"{""stationary_trajectory"": 101, ""tracking"": 296}","{""rejoin"": 67, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5939542324588692,,fd9d0fcfdad0937153bb30213d1b39eeec45ea44cd50ca1bf6d8d68d2950e3fe,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,104,0.16163583609447252,0.47379384040832573,7.580063343048096,8.106962203979492,0.0,0,[],,0,0
pi,26966,pursuit,8.0,completed,True,392,/data/runs/b2d/controller/development-v3/26966/pi-max/pursuit,0.25516363456708346,0.7642995861742886,263,0.3064215225161687,0.8071207049190331,0.15084241908892712,2.871281510436587,0.09321908961322309,5.000000074505806,0.0005034491370602047,0.006830202768951954,392,0.09191250137519091,0.13647249834320974,0.303704000543803,98,98,6,0.061224489795918366,125.26431908159245,7.999995971928328,7.999999911081061,"{""stationary_trajectory"": 100, ""tracking"": 290, ""trajectory_behind"": 2}","{""rejoin"": 67, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 25}",0,2,0.5870710317728627,,243289af2f60cecafc4aac712b747a87d5abe89c25207ffb2fa5429f6edc28e6,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,105,0.07226601359459167,0.21589679718017507,7.684851169586182,7.940027236938477,0.0,105,[2],0,0,0
vendor,25854,carla,8.0,completed,True,534,/data/runs/b2d/controller/development-v2/25854/baseline/carla,0.1112825379034118,0.26753883913040283,408,0.12163199994787371,0.27740812592289105,0.21799105025807688,2.245196354153505,0.08521787193190614,5.000000074505806,0.0006983139557220949,0.00472236812274743,534,0.09010750000015832,0.14278435373853424,0.35593500069808215,134,134,7,0.05223880597014925,11.809186901882377,7.9999987938504535,7.999999996155066,"{""stationary_trajectory"": 102, ""tracking"": 432}","{""rejoin"": 101, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5075807557668843,,1b7b2b7c63a955a70081c3011fff49a69f84761679e2bf4151a1897e3e0636b2,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,239,0.15233091531810708,0.4334353446960444,7.634179592132568,8.098493576049805,0.0,0,[],,0,0
pi,25854,carla,8.0,completed,True,518,/data/runs/b2d/controller/development-v3/25854/pi/carla,0.11160890672553377,0.26647622854798325,401,0.12106973913942745,0.27408091750316643,0.10143054095306962,2.244147942053809,0.08417633496594921,5.000000074505806,0.0014956570872386662,0.011811648005361594,518,0.10229099643765949,0.15505550036323257,0.23002499801805243,130,130,4,0.03076923076923077,15.347671160313315,7.999998848607142,7.9999999950639165,"{""stationary_trajectory"": 98, ""stop_hold"": 3, ""tracking"": 417}","{""rejoin"": 101, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 25}",0,0,0.5075807557668843,,8bf5f9145797ae4c7f5e3ee484e0167de5978923152ed4060ef96d5247a07139,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,238,0.06291299056379139,0.19363055229186976,7.734285831451416,7.9863481521606445,0.0,238,[2],0,0,0
vendor,25854,pursuit,8.0,completed,True,538,/data/runs/b2d/controller/development-v2/25854/baseline/pursuit,0.11167761338248024,0.26030784360077686,410,0.1254520017076897,0.28058439395521995,0.21859570962847893,2.2385330043703355,0.045002803793617784,5.000000074505806,0.0006199209602554047,0.0025387780406042307,538,0.09174549995805137,0.14354479972098486,0.3838240008917637,135,135,8,0.05925925925925926,9.439343963359708,7.999999035034808,7.9999999715558765,"{""stationary_trajectory"": 102, ""tracking"": 436}","{""rejoin"": 101, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075807557668843,,715d63f9a169eb4c76f02920be5a938c40493aa798acd76214dee943d50a39fd,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,240,0.15537087712857364,0.44535584449767995,7.61875057220459,8.111161231994629,0.0,0,[],,0,0
pi,25854,pursuit,8.0,completed,True,522,/data/runs/b2d/controller/development-v3/25854/pi/pursuit,0.1133417874339979,0.2617521246530374,402,0.12452399537469538,0.2763407978966399,0.10175037984762753,2.237602770005166,0.07585225235084089,5.000000074505806,0.0010727924428216762,0.006484307195256632,522,0.09539899838273413,0.1370664977002889,0.27342899556970224,131,131,4,0.030534351145038167,6.724926208279706,7.999999146930898,7.999999965444568,"{""stationary_trajectory"": 102, ""tracking"": 420}","{""rejoin"": 101, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5075807557668843,,0330247c5246b4a573c887e6c709d62e034f7deb6851e0bb2b1a8a8ffd0c7e18,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,239,0.06336009579584324,0.19869217872619682,7.733569622039795,7.992134094238281,0.0,239,[2],0,0,0
vendor,25854,pursuit,8.0,completed,True,538,/data/runs/b2d/controller/development-v2/25854/max/pursuit,0.09763866195303848,0.2158926027944768,410,0.1085858027608811,0.22687192527629968,0.23808361968057298,2.2380675672132044,0.05568500891830132,5.000000074505806,0.0006065391313423888,0.0028971880301024134,538,0.09054350084625185,0.12952464530826546,0.2227139993919991,135,135,8,0.05925925925925926,8.384244612937993,7.999997782024908,7.999999992678327,"{""stationary_trajectory"": 102, ""tracking"": 436}","{""rejoin"": 101, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075807557668843,,a409189c7569fb994c9a0a8d661ed39f007a4915445bc527493c1a506d914590,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,241,0.16473914634332312,0.4697914123535156,7.589754104614258,8.10041618347168,0.0,0,[],,0,0
pi,25854,pursuit,8.0,completed,True,522,/data/runs/b2d/controller/development-v3/25854/pi-max/pursuit,0.0999855267222277,0.21304253941997012,401,0.108334510564405,0.22281169405698747,0.10162654995573565,2.239002479071142,0.07686134764080364,5.000000074505806,0.0010867335354766616,0.00791732174575467,522,0.0973229980445467,0.14212785645213444,0.34570499701658264,131,131,4,0.030534351145038167,7.471835555687057,7.999998097784122,7.999999981157418,"{""stationary_trajectory"": 102, ""tracking"": 420}","{""rejoin"": 101, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5075807557668843,,e015b92829222d875bd54768f5f55914bc403baf58eee19be7edf6717c21f9c1,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,239,0.06333873017542964,0.20075778961181712,7.7318878173828125,7.9922895431518555,0.0,239,[2],0,0,0
