model,variant,n,lat@1s,lat@1s_rel,lon@1s,lon@1s_rel,lat@2s,lat@2s_rel,lat@2s_diff_ci,lon@2s,lon@2s_rel,lon@2s_diff_ci,lat@4s,lat@4s_rel,lon@4s,lon@4s_rel,lon_ratio@2s
cinque,ctx5-hold,440,0.0517,0.0000,0.3150,0.0000,0.1593,0.0000,"[+0.000, +0.000]",0.8496,0.0000,"[+0.000, +0.000]",0.7015,0.0000,2.5386,0.0000,1.0106
cinque,h4-dilate,1760,0.0640,0.2206,0.3769,0.1707,0.2031,0.2473,"[+0.019, +0.063]",0.9711,0.1373,"[+0.046, +0.192]",0.8801,0.2383,2.7964,0.0956,1.0045
cinque,h4-hold,1760,0.3532,5.7399,9.8038,29.4541,1.1887,6.2994,"[+0.746, +1.324]",19.3167,21.6240,"[+16.287, +20.704]",4.1342,4.8169,36.8002,13.4172,0.2688
cinque,native,1760,0.0524,0.0000,0.3219,0.0000,0.1628,0.0000,"[+0.000, +0.000]",0.8538,0.0000,"[+0.000, +0.000]",0.7107,0.0000,2.5525,0.0000,1.0107
lebowski,ctx5-hold,440,0.0532,0.0000,0.3191,0.0000,0.1630,0.0000,"[+0.000, +0.000]",0.8415,0.0000,"[+0.000, +0.000]",0.7620,0.0000,2.6137,0.0000,0.9992
lebowski,h4-dilate,1760,0.0717,0.3550,0.3775,0.1414,0.2255,0.3805,"[+0.033, +0.094]",0.9558,0.1141,"[+0.002, +0.185]",0.9345,0.2424,2.7891,0.0644,0.9926
lebowski,h4-hold,1760,0.3092,4.8451,11.8066,34.6978,1.0473,5.4120,"[+0.656, +1.122]",23.1981,26.0417,"[+19.821, +24.909]",3.7894,4.0377,44.1245,15.8391,0.0616
lebowski,native,1760,0.0529,0.0000,0.3307,0.0000,0.1633,0.0000,"[+0.000, +0.000]",0.8579,0.0000,"[+0.000, +0.000]",0.7522,0.0000,2.6204,0.0000,0.9998
