tag,h,n,abs_lat,bias_lat,abs_lon,bias_lon,cv_abs_lat,sign_agree@3s
cinque-shadow,1,594,0.113,-0.018,0.421,-0.098,0.129,0.984
cinque-shadow,2,554,0.252,-0.034,0.792,-0.183,0.602,0.984
cinque-shadow,3,514,0.458,-0.027,1.106,-0.233,1.403,0.984
lebowski-shadow,1,594,0.107,-0.022,0.453,-0.056,0.129,0.979
lebowski-shadow,2,554,0.243,-0.056,0.936,-0.154,0.602,0.979
lebowski-shadow,3,514,0.476,-0.071,1.450,-0.276,1.403,0.979
