tag,scenario,end,hd,rc,steps,v10,t_move,v_min,clamped,lat_med,lat_max,dheading_deg,route_frac,plan0_len,plan_x3s_early
lebowski-shadow,scene-0071-easy-00,complete,0.989,1.000,80,4.984,0.750,1.000,0.013,0.092,0.278,-13.384,0.875,,
lebowski-shadow,scene-0383-easy-00,complete,0.871,1.000,53,4.926,0.500,1.000,0.019,0.238,0.819,-128.572,0.877,,
lebowski-shadow,scene-0920-easy-00,complete,0.851,1.000,49,4.937,0.500,1.000,0.000,0.136,0.410,127.454,0.878,,
lebowski-shadow,scene-0062-medium-00,fg_collision,0.102,0.241,25,4.998,0.500,1.000,0.080,0.029,0.086,1.089,0.203,,
lebowski-shadow,scene-0383-hard-00,fg_collision,0.031,0.269,16,4.939,0.500,1.000,0.188,0.036,0.073,-2.521,0.211,,
lebowski-shadow,scene-130854534658-easy-00,complete,0.899,1.000,69,5.017,0.500,1.000,0.014,0.225,1.071,114.328,0.874,,
lebowski-shadow,scene-1290_1490-easy-00,complete,0.988,1.000,106,4.887,0.500,1.000,0.009,0.096,0.953,-98.194,0.897,,
lebowski-shadow,scene-021-easy-00,complete,0.973,1.000,85,4.950,0.500,1.000,0.012,0.008,0.031,-1.667,0.888,,
lebowski-shadow,scene-0071-standstill-00,complete,0.983,1.000,82,4.980,1.000,0.000,0.012,0.089,0.279,-13.384,0.875,,
lebowski-shadow,scene-0071-offset-00,complete,0.996,1.000,80,5.079,0.750,1.000,0.013,0.110,1.107,-19.532,0.873,,
cinque-shadow,scene-0071-easy-00,complete,0.989,1.000,80,4.985,0.750,1.000,0.013,0.092,0.278,-13.384,0.875,,
route-fixed,scene-0071-easy-00,complete,0.987,1.000,68,5.993,0.500,1.000,0.000,0.113,0.371,-14.181,0.872,,
cinque-shadow,scene-0383-easy-00,complete,0.871,1.000,53,4.926,0.500,1.000,0.019,0.238,0.819,-128.572,0.877,,
route-fixed,scene-0383-easy-00,complete,0.733,1.000,45,6.042,0.500,1.000,0.000,0.335,1.129,-127.970,0.871,,
