scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-0051-easy-00,nuscenes,easy,ltf,official,ltf-official,0.03663152203298189,0.18315761016490942,0.2,1.0,0.2,0.9333333333333333,0.2,15,bg_collision,26.3,0,2026-09-25 12:58:32,scene-0051,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0051_easy_00
scene-0051-easy-00,nuscenes,easy,ltf,fixed,ltf-fixed,0.9541778975741241,1.0,0.9811320754716981,1.0,0.9433962264150944,1.0,0.9541778975741241,106,complete,87.7,0,2026-09-25 12:59:33,scene-0051,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0051_easy_00
scene-0166-easy-00,nuscenes,easy,ltf,official,ltf-official,0.8458646616541352,1.0,0.8552631578947368,1.0,0.8552631578947368,1.0,0.8458646616541352,76,complete,70.0,0,2026-09-25 12:59:42,scene-0166,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0166_easy_00
scene-0167-easy-00,nuscenes,easy,ltf,official,ltf-official,0.9021739130434786,1.0,0.9565217391304348,0.9891304347826086,0.8804347826086957,1.0,0.9021739130434786,92,complete,82.7,0,2026-09-25 13:02:28,scene-0167,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0167_easy_00
scene-0166-easy-00,nuscenes,easy,ltf,fixed,ltf-fixed,0.9974259974259974,1.0,1.0,1.0,1.0,0.990990990990991,0.9974259974259974,111,complete,97.8,0,2026-09-25 13:02:43,scene-0166,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0166_easy_00
scene-0411-easy-00,nuscenes,easy,ltf,official,ltf-official,0.9373776908023481,1.0,0.9863013698630136,1.0,0.9178082191780822,1.0,0.9373776908023481,73,complete,64.7,0,2026-09-25 13:03:33,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0411_easy_00
scene-0013-medium-00,nuscenes,medium,ltf,official,ltf-official,0.14376996805111822,0.16773162939297126,0.9166666666666666,1.0,0.9166666666666666,1.0,0.8571428571428571,12,bg_collision,21.4,0,2026-09-25 13:03:54,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0013_medium_00
scene-0167-easy-00,nuscenes,easy,ltf,fixed,ltf-fixed,0.979772439949431,1.0,1.0,1.0,0.9823008849557522,0.9734513274336283,0.979772439949431,113,complete,93.9,0,2026-09-25 13:04:17,scene-0167,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0167_easy_00
scene-0041-medium-00,nuscenes,medium,ltf,official,ltf-official,0.05527823292560556,0.261758691206544,0.30434782608695654,1.0,0.17391304347826086,1.0,0.21118012422360247,23,fg_collision,30.5,0,2026-09-25 13:04:25,scene-0041,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0041_medium_00
scene-0411-medium-00,nuscenes,medium,ltf,official,ltf-official,0.05123960268109504,0.2656868287167891,0.3,1.0,0.15,1.0,0.19285714285714284,20,fg_collision,27.1,0,2026-09-25 13:04:52,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0411_medium_00
scene-0411-easy-00,nuscenes,easy,ltf,fixed,ltf-fixed,0.6665447411299171,0.795176182400603,0.9117647058823529,1.0,0.8088235294117647,1.0,0.838235294117647,68,bg_collision,61.7,0,2026-09-25 13:05:19,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0411_easy_00
scene-0528-medium-00,nuscenes,medium,ltf,official,ltf-official,0.3287370630993701,0.8231789872732196,0.8181818181818182,0.6136363636363636,0.8409090909090909,0.9545454545454546,0.3993506493506493,44,off_route,51.4,0,2026-09-25 13:05:43,scene-0528,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0528_medium_00
scene-0254-hard-00,nuscenes,hard,ltf,official,ltf-official,0.1357912604113212,0.2613981762917933,0.6363636363636364,1.0,0.5,0.7727272727272727,0.5194805194805195,44,fg_collision,51.2,0,2026-09-25 13:06:35,scene-0254,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0254_hard_00
scene-0013-medium-00,nuscenes,medium,ltf,fixed,ltf-fixed,0.9107142857142858,1.0,0.9375,1.0,0.925,1.0,0.9107142857142858,80,complete,76.2,0,2026-09-25 13:06:35,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0013_medium_00
scene-0041-medium-00,nuscenes,medium,ltf,fixed,ltf-fixed,0.18159509202453988,0.25221540558963873,0.72,1.0,0.88,1.0,0.72,25,fg_collision,31.9,0,2026-09-25 13:07:07,scene-0041,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0041_medium_00
scene-0411-medium-00,nuscenes,medium,ltf,fixed,ltf-fixed,0.04039650206391595,0.2562653099679668,0.27586206896551724,1.0,0.13793103448275862,0.8275862068965517,0.15763546798029557,29,fg_collision,34.7,0,2026-09-25 13:07:42,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0411_medium_00
scene-0411-hard-00,nuscenes,hard,ltf,official,ltf-official,0.918918918918919,1.0,0.9864864864864865,1.0,0.9054054054054054,1.0,0.918918918918919,74,complete,70.3,0,2026-09-25 13:07:45,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0411_hard_00
scene-0528-medium-00,nuscenes,medium,ltf,fixed,ltf-fixed,0.02354150433528407,0.25634082498420435,0.14285714285714285,1.0,0.07142857142857142,0.9285714285714286,0.09183673469387754,14,fg_collision,23.2,0,2026-09-25 13:08:05,scene-0528,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0528_medium_00
scene-0418-hard-00,nuscenes,hard,ltf,official,ltf-official,0.0,0.22086537011910143,0.0,0.9230769230769231,0.0,1.0,0.0,13,bg_collision,22.5,0,2026-09-25 13:08:07,scene-0418,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0418_hard_00
scene-0254-hard-00,nuscenes,hard,ltf,fixed,ltf-fixed,0.02051671732522796,0.1276595744680851,0.25,1.0,0.125,1.0,0.1607142857142857,16,fg_collision,27.2,0,2026-09-25 13:08:32,scene-0254,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0254_hard_00
scene-0930-hard-00,nuscenes,hard,ltf,official,ltf-official,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58,complete,62.4,0,2026-09-25 13:09:10,scene-0930,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0930_hard_00
scene-0411-hard-00,nuscenes,hard,ltf,fixed,ltf-fixed,0.37988589066679984,0.6004647949249419,0.7346938775510204,1.0,0.7142857142857143,1.0,0.6326530612244896,49,fg_collision,54.2,0,2026-09-25 13:09:26,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0411_hard_00
scene-0013-extreme-00,nuscenes,extreme,ltf,official,ltf-official,0.011803336883209089,0.11803336883209088,0.1,0.8,0.1,1.0,0.1,10,fg_collision,20.6,0,2026-09-25 13:09:30,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0013_extreme_00
scene-0138-extreme-00,nuscenes,extreme,ltf,official,ltf-official,0.03530146498433398,0.17190278601066983,0.25,1.0,0.1875,0.9375,0.20535714285714285,16,fg_collision,25.6,0,2026-09-25 13:09:56,scene-0138,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-official/ltf/scene-0138_extreme_00
scene-0418-hard-00,nuscenes,hard,ltf,fixed,ltf-fixed,0.0,0.5555555555555555,0.0,0.9047619047619048,0.023809523809523808,1.0,0.0,42,bg_collision,44.2,0,2026-09-25 13:10:11,scene-0418,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-base/ltf-fixed/ltf/scene-0418_hard_00
