dataset,method,difficulty,nc,dac,ttc,com,rc,hdscore
kitti360,UniAD,easy,0.459,0.712,0.271,0.672,0.166,0.047
kitti360,UniAD,medium,0.379,0.711,0.193,0.652,0.117,0.019
kitti360,UniAD,hard,0.315,0.754,0.131,0.555,0.122,0.017
kitti360,UniAD,extreme,0.242,0.750,0.091,0.527,0.094,0.006
kitti360,VAD,easy,0.333,0.603,0.204,1.000,0.138,0.029
kitti360,VAD,medium,0.322,0.604,0.162,1.000,0.125,0.014
kitti360,VAD,hard,0.253,0.609,0.105,1.000,0.122,0.014
kitti360,VAD,extreme,0.171,0.657,0.090,1.000,0.110,0.008
kitti360,LTF,easy,0.330,0.646,0.290,1.000,0.245,0.080
kitti360,LTF,medium,0.170,0.627,0.125,0.996,0.138,0.028
kitti360,LTF,hard,0.181,0.622,0.132,1.000,0.121,0.017
kitti360,LTF,extreme,0.133,0.633,0.080,1.000,0.111,0.003
waymo,UniAD,easy,0.900,0.863,0.862,0.890,0.784,0.664
waymo,UniAD,medium,0.903,0.903,0.778,0.767,0.547,0.419
waymo,UniAD,hard,0.792,0.771,0.711,0.712,0.590,0.401
waymo,UniAD,extreme,0.512,0.915,0.461,0.483,0.326,0.171
waymo,VAD,easy,0.698,0.568,0.641,1.000,0.323,0.154
waymo,VAD,medium,0.493,0.679,0.363,1.000,0.266,0.093
waymo,VAD,hard,0.526,0.694,0.437,1.000,0.259,0.110
waymo,VAD,extreme,0.416,0.726,0.299,1.000,0.272,0.085
waymo,LTF,easy,0.855,0.779,0.833,0.992,0.698,0.546
waymo,LTF,medium,0.544,0.830,0.518,0.995,0.371,0.200
waymo,LTF,hard,0.451,0.861,0.428,0.995,0.357,0.219
waymo,LTF,extreme,0.333,0.852,0.258,1.000,0.261,0.071
nuscenes,UniAD,easy,0.823,0.967,0.787,0.880,0.703,0.589
nuscenes,UniAD,medium,0.761,0.925,0.652,0.728,0.510,0.378
nuscenes,UniAD,hard,0.781,0.929,0.673,0.729,0.516,0.365
nuscenes,UniAD,extreme,0.688,0.973,0.519,0.642,0.291,0.168
nuscenes,VAD,easy,0.765,0.824,0.692,1.000,0.540,0.348
nuscenes,VAD,medium,0.486,0.917,0.365,1.000,0.340,0.132
nuscenes,VAD,hard,0.516,0.941,0.376,1.000,0.383,0.204
nuscenes,VAD,extreme,0.467,0.971,0.396,1.000,0.311,0.158
nuscenes,LTF,easy,0.835,0.858,0.781,0.994,0.847,0.616
nuscenes,LTF,medium,0.587,0.872,0.527,0.995,0.542,0.307
nuscenes,LTF,hard,0.513,0.872,0.453,1.000,0.498,0.226
nuscenes,LTF,extreme,0.401,0.928,0.353,0.993,0.357,0.171
pandaset,UniAD,easy,0.914,0.998,0.913,0.871,0.691,0.647
pandaset,UniAD,medium,0.851,0.933,0.792,0.734,0.473,0.366
pandaset,UniAD,hard,0.771,0.987,0.685,0.692,0.389,0.308
pandaset,UniAD,extreme,0.732,0.947,0.644,0.689,0.329,0.226
pandaset,VAD,easy,0.847,0.963,0.793,1.000,0.548,0.442
pandaset,VAD,medium,0.529,0.990,0.270,1.000,0.349,0.158
pandaset,VAD,hard,0.474,0.995,0.235,1.000,0.257,0.087
pandaset,VAD,extreme,0.388,0.993,0.251,1.000,0.229,0.079
pandaset,LTF,easy,0.945,0.987,0.919,1.000,0.947,0.871
pandaset,LTF,medium,0.597,1.000,0.560,1.000,0.579,0.450
pandaset,LTF,hard,0.481,0.999,0.467,1.000,0.498,0.331
pandaset,LTF,extreme,0.265,0.991,0.182,1.000,0.293,0.080
