scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-0411-hard-00,nuscenes,hard,cinque,official,cinque-official,0.007685003528451138,0.035173669995603285,0.35294117647058826,0.8823529411764706,0.23529411764705882,0.35294117647058826,0.2184873949579832,17,bg_collision,40.1,0,2026-09-25 12:49:11,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0411_hard_00
scene-0418-hard-00,nuscenes,hard,cinque,official,cinque-official,0.01646972674189531,0.07538067239559776,0.23529411764705882,0.8235294117647058,0.23529411764705882,0.29411764705882354,0.2184873949579832,17,bg_collision,37.9,0,2026-09-25 12:49:52,scene-0418,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0418_hard_00
scene-0930-hard-00,nuscenes,hard,cinque,official,cinque-official,0.021725256969055085,0.0760383993916928,0.5714285714285714,0.9285714285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857,14,bg_collision,35.8,0,2026-09-25 12:50:32,scene-0930,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0930_hard_00
scene-0013-extreme-00,nuscenes,extreme,cinque,official,cinque-official,0.02119782950453877,0.058572949946751864,0.8666666666666667,0.4,0.6666666666666666,0.6,0.3619047619047619,15,bg_collision,29.2,0,2026-09-25 12:51:01,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0013_extreme_00
scene-0138-extreme-00,nuscenes,extreme,cinque,official,cinque-official,0.014301709618840622,0.05269050912204439,0.3,0.5,0.3,0.2,0.27142857142857146,20,bg_collision,35.9,0,2026-09-25 12:51:41,scene-0138,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0138_extreme_00
scene-0254-extreme-00,nuscenes,extreme,cinque,official,cinque-official,0.011251025232788151,0.03579871664978048,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3142857142857143,15,bg_collision,36.9,0,2026-09-25 12:52:17,scene-0254,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0254_extreme_00
scene-0528-extreme-00,nuscenes,extreme,cinque,official,cinque-official,0.04191854719880715,0.1344886722628396,0.45454545454545453,1.0,0.36363636363636365,0.22727272727272727,0.31168831168831174,22,bg_collision,34.8,0,2026-09-25 12:52:52,scene-0528,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/scene-0528_extreme_00
scene-113792265837-easy-00,waymo,easy,cinque,official,cinque-official,0.014565979334516817,0.09558923938276662,0.8666666666666667,0.4,0.4,0.2,0.15238095238095237,15,bg_collision,31.7,0,2026-09-25 12:53:28,113792265837_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/113792265837_0_200_easy_00
scene-0411-medium-00,nuscenes,medium,cinque,fixed,cinque-fixed,0.07348784624081402,0.07348784624081402,1.0,1.0,1.0,1.0,1.0,400,max_steps,512.9,0,2026-09-25 12:53:46,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0411_medium_00
scene-164701907483-easy-00,waymo,easy,cinque,official,cinque-official,0.017191977077363894,0.12034383954154727,0.38095238095238093,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.14285714285714285,21,bg_collision,39.8,0,2026-09-25 12:54:12,164701907483_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/164701907483_0_200_easy_00
scene-0528-medium-00,nuscenes,medium,cinque,fixed,cinque-fixed,0.04518352155376095,0.1453199747269609,0.35294117647058826,0.5882352941176471,0.29411764705882354,0.4117647058823529,0.31092436974789917,17,bg_collision,34.5,0,2026-09-25 12:54:20,scene-0528,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0528_medium_00
scene-322492347634-easy-00,waymo,easy,cinque,official,cinque-official,0.04099216492089744,0.07567784293088758,1.0,0.7083333333333334,1.0,0.4166666666666667,0.5416666666666666,48,off_route,80.8,0,2026-09-25 12:55:36,322492347634_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/322492347634_0_200_easy_00
scene-398895700423-easy-00,waymo,easy,cinque,official,cinque-official,0.016363933889707083,0.09818360333824251,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.16666666666666666,18,bg_collision,42.0,0,2026-09-25 12:56:24,398895700423_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/398895700423_0_200_easy_00
scene-102751446607-medium-01,waymo,medium,cinque,official,cinque-official,0.03999821436543012,0.14999330387036294,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,15,bg_collision,38.2,0,2026-09-25 12:57:06,102751446607_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/102751446607_0_200_medium_01
scene-132384196576-medium-01,waymo,medium,cinque,official,cinque-official,0.04477555781314668,0.1343266734394401,0.9,0.43333333333333335,0.85,0.25,0.3333333333333332,60,bg_collision,96.1,0,2026-09-25 12:58:45,132384196576_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/132384196576_0_200_medium_01
scene-150623512729-medium-01,waymo,medium,cinque,official,cinque-official,0.029899832027057174,0.08274604677255357,0.47058823529411764,0.8823529411764706,0.47058823529411764,0.23529411764705882,0.3613445378151261,17,bg_collision,39.9,0,2026-09-25 12:59:29,150623512729_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/150623512729_0_200_medium_01
scene-152217047339-medium-00,waymo,medium,cinque,official,cinque-official,0.04431375865917711,0.1647917900138149,0.4117647058823529,0.47058823529411764,0.23529411764705882,0.5294117647058824,0.2689075630252101,17,bg_collision,33.6,0,2026-09-25 13:00:05,152217047339_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/152217047339_0_200_medium_00
scene-100613054308-hard-00,waymo,hard,cinque,official,cinque-official,0.04734073244408241,0.25104933871861884,0.24,0.48,0.2,0.16,0.18857142857142858,25,bg_collision,44.2,0,2026-09-25 13:00:53,100613054308_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/100613054308_0_200_hard_00
scene-106762673266-hard-00,waymo,hard,cinque,official,cinque-official,0.017950566299062946,0.08215836113801886,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.2184873949579832,17,bg_collision,41.7,0,2026-09-25 13:01:40,106762673266_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/106762673266_0_200_hard_00
