model,arm,seed,r1_ratio,r1_lo,r1_hi,r1_edit_median_m,p5_ped_flip,p5_ped_lo,p5_ped_hi,p5_cutin_delta,p5_null_ff_oos,wod_rfs_all,wod_rfs_all_lo,wod_rfs_all_hi,wod_rfs_ped,wod_rfs_ped_lo,wod_rfs_ped_hi,straight_activation,wod_delta_median_m,pass_r1,pass_wod_ped,pass_straight,pass,harm_wod_all
cinque,E2 pair (a),0,1.4371,1.2889,1.6994,0.5472,0.0000,0.0000,0.0000,-0.1627,0.0507,-2.1633,-2.3813,-1.9463,-2.3932,-3.0108,-1.7655,0.0468,2.3913,False,False,True,False,True
cinque,E2 pair (a),1,1.4371,1.2889,1.6994,0.5472,0.0000,0.0000,0.0000,-0.1627,0.0507,-2.1633,-2.3813,-1.9463,-2.3932,-3.0108,-1.7655,0.0468,2.3913,False,False,True,False,True
cinque,E2 pair (a),2,1.4371,1.2889,1.6994,0.5472,0.0000,0.0000,0.0000,-0.1627,0.0507,-2.1633,-2.3813,-1.9463,-2.3932,-3.0108,-1.7655,0.0468,2.3913,False,False,True,False,True
cinque,E2 pair (c),0,1.7459,1.4420,2.1304,2.2112,0.0000,0.0000,0.0000,-0.3269,0.0482,-2.9756,-3.2052,-2.7493,-3.1216,-3.8004,-2.4187,0.5140,8.3996,False,False,False,False,True
cinque,E2 pair (c),1,1.7459,1.4420,2.1304,2.2112,0.0000,0.0000,0.0000,-0.3269,0.0482,-2.9756,-3.2052,-2.7493,-3.1216,-3.8004,-2.4187,0.5140,8.3996,False,False,False,False,True
cinque,E2 pair (c),2,1.7459,1.4420,2.1304,2.2112,0.0000,0.0000,0.0000,-0.3269,0.0482,-2.9756,-3.2052,-2.7493,-3.1216,-3.8004,-2.4187,0.5140,8.3996,False,False,False,False,True
cinque,G3 student A (c),0,13.0531,6.8835,24.5034,0.1509,0.0197,0.0000,0.0640,-0.0207,0.0482,-0.0182,-0.0492,0.0091,-0.0268,-0.0947,0.0310,0.0014,0.0511,True,False,True,False,False
cinque,G3 student A (c),1,13.6705,7.0942,23.3151,0.1647,0.0197,0.0000,0.0640,-0.0178,0.0500,-0.0014,-0.0395,0.0344,-0.0938,-0.1976,0.0061,0.0010,0.1973,True,False,True,False,False
cinque,G3 student A (c),2,11.3217,7.1459,23.2175,0.1419,0.0197,0.0000,0.0640,-0.0192,0.0491,-0.0144,-0.0424,0.0103,-0.0418,-0.1117,0.0179,0.0010,0.0590,True,False,True,False,False
cinque,G3 student B (c),0,6.3774,4.8920,9.1047,0.5526,0.0123,0.0000,0.0400,-0.1317,0.0497,-0.2436,-0.3743,-0.1156,-0.3068,-0.7543,0.0917,0.0261,0.7727,True,False,True,False,True
cinque,G3 student B (c),1,6.4770,4.9266,8.9476,0.5408,0.0123,0.0000,0.0400,-0.1243,0.0490,-0.2172,-0.3463,-0.0915,-0.2332,-0.6764,0.1577,0.0238,0.7477,True,False,True,False,True
cinque,G3 student B (c),2,5.9759,4.6625,8.4639,0.4734,0.0172,0.0000,0.0560,-0.1139,0.0525,-0.3102,-0.4531,-0.1669,-0.2740,-0.7275,0.1412,0.0317,0.8744,True,False,True,False,True
cinque,G3 student A (a),0,11.3120,7.7967,15.8846,0.1976,0.0000,0.0000,0.0000,-0.0030,0.0516,-0.3098,-0.4327,-0.1882,-0.0745,-0.4321,0.2680,0.0017,0.6847,True,False,True,False,True
cinque,G3 student A (a),1,9.2744,6.6901,13.6603,0.1367,0.0000,0.0000,0.0000,0.0030,0.0490,-0.2447,-0.3622,-0.1296,0.0592,-0.2720,0.3874,0.0008,0.6218,True,False,True,False,True
cinque,G3 student A (a),2,9.0833,6.6146,13.3051,0.1394,0.0000,0.0000,0.0000,-0.0178,0.0489,-0.2332,-0.3479,-0.1203,-0.0321,-0.3944,0.3266,0.0009,0.6139,True,False,True,False,True
cinque,G3 student B (a),0,4.4375,3.4706,5.6002,0.2156,0.0025,0.0000,0.0079,-0.0340,0.0481,-0.9948,-1.1781,-0.8094,-0.6425,-1.1720,-0.1338,0.0585,2.0301,True,False,True,False,True
cinque,G3 student B (a),1,4.3311,3.4895,5.7752,0.2153,0.0025,0.0000,0.0079,-0.0311,0.0481,-0.9896,-1.1724,-0.8043,-0.6783,-1.2027,-0.1656,0.0598,1.9796,True,False,True,False,True
