feature,carla_median_edit,carla_median_null,carla_ratio,carla_lo,carla_hi,e2_median_edit,e2_median_placebo,e2_ratio,e2_lo,e2_hi
Qwen L18_last,0.2596054673194885,1.1188175678253174,0.2320355623960495,0.19077472314238547,0.2860842503607272,0.322,0.267,1.21,1.08,1.28
openpilot cinque temporal,0.0375804603099823,0.40201157331466675,0.09348104149103165,0.07247654385864735,0.15849686600267873,0.07,0.029,2.4,2.03,2.76
openpilot lebowski temporal,0.05911659821867943,0.4902227520942688,0.12059129774570465,0.0714156400412321,0.21949668116867538,0.076,0.04,1.92,1.67,2.31
YOLO embedding (E5),0.002990271430462599,0.02293938398361206,0.1303553432226181,0.06865032352507114,0.32849280014634125,,,,,
