head,scope,n_edit,n_null,median_edit_m,median_null_m,ratio,lo,hi
"M-C pair [cinque] (stored, out of fold)",pedestrian (judged),4414,3176,0.3415127992630005,0.7316377758979797,0.4667785167694092,0.39193728044629095,0.60551388412714
"M-C pair [cinque] (stored, out of fold)",all families,7843,3176,0.3894179165363312,0.7316377758979797,0.5322550535202026,0.44978286027908326,0.6451430350542068
"M-C pair [cinque] (stored, out of fold)",cut-in,3167,3176,0.5007544755935669,0.7316377758979797,0.6844295263290405,0.559196463227272,0.8507040336728096
"M-C pair [cinque] (stored, out of fold)","pedestrian, reactive frames",406,3176,1.6498148441314697,0.7316377758979797,2.2549612522125244,1.600764548778534,3.0745397627353666
"M-C pair [cinque] (stored, out of fold)","pedestrian, null of pedestrian cases",4414,1472,0.3415127992630005,0.7134283781051636,0.4786924719810486,0.39449682235717776,0.5984318628907204
"M-C pair [cinque] (stored, out of fold)","pedestrian, factor_px tercile 1",1477,3176,0.34699657559394836,0.7316377758979797,0.4742737412452698,0.3861993864178658,0.6019990652799606
"M-C pair [cinque] (stored, out of fold)","pedestrian, factor_px tercile 2",1470,3176,0.2296912968158722,0.7316377758979797,0.31394127011299133,0.2764182485640049,0.3547731377184391
"M-C pair [cinque] (stored, out of fold)","pedestrian, factor_px tercile 3",1467,3176,0.7293585538864136,0.7316377758979797,0.9968847632408142,0.5232019364833832,2.0534507274627685
"M-C pair [lebowski] (stored, out of fold)",pedestrian (judged),4414,3176,0.35470864176750183,0.7134885191917419,0.49714696407318115,0.41958588138222697,0.6151689216494559
"M-C pair [lebowski] (stored, out of fold)",all families,7843,3176,0.4162098467350006,0.7134885191917419,0.5833448171615601,0.4929401636123657,0.6995793804526328
"M-C pair [lebowski] (stored, out of fold)",cut-in,3167,3176,0.5619518160820007,0.7134885191917419,0.7876116037368774,0.6575494021177292,0.9289310306310653
"M-C pair [lebowski] (stored, out of fold)","pedestrian, reactive frames",406,3176,1.586932897567749,0.7134885191917419,2.2241883277893066,1.570995369553566,3.2223296463489524
"M-C pair [lebowski] (stored, out of fold)","pedestrian, null of pedestrian cases",4414,1472,0.35470864176750183,0.6785162687301636,0.5227710008621216,0.44020786732435224,0.6331516504287719
"M-C pair [lebowski] (stored, out of fold)","pedestrian, factor_px tercile 1",1477,3176,0.3546278476715088,0.7134885191917419,0.4970337152481079,0.4096955619752407,0.6207520470023155
"M-C pair [lebowski] (stored, out of fold)","pedestrian, factor_px tercile 2",1470,3176,0.2386467456817627,0.7134885191917419,0.3344787359237671,0.29566495195031167,0.3912760183215141
"M-C pair [lebowski] (stored, out of fold)","pedestrian, factor_px tercile 3",1467,3176,0.7282313108444214,0.7134885191917419,1.0206630229949951,0.5638686209917069,1.9977774709463114
