feature,scope,n_edit,routes_edit,n_null,median_edit,median_null,ratio,lo,hi
Qwen L18_last,pedestrian (judged),4414,42,3176,0.2596054673194885,1.1188175678253174,0.2320355623960495,0.19077472314238547,0.2860842503607272
Qwen L18_last,all families,7843,76,3176,0.2997571527957916,1.1188175678253174,0.26792317628860474,0.2350266009569168,0.29835970401763906
Qwen L18_last,cut-in,3167,27,3176,0.3488045632839203,1.1188175678253174,0.3117617964744568,0.27878704145550726,0.40196816101670263
Qwen L18_last,"pedestrian, reactive frames",406,21,3176,0.3617769181728363,1.1188175678253174,0.3233564794063568,0.2874597243964672,0.3870532296597957
Qwen L18_last,"pedestrian, null of pedestrian cases",4414,42,1472,0.2596054673194885,0.8962557315826416,0.28965556621551514,0.24618099294602871,0.3444938234984874
Qwen L18_last,"pedestrian, factor_px tercile 1",1477,35,3176,0.28397560119628906,1.1188175678253174,0.253817617893219,0.18339017890393733,0.3709623709321019
Qwen L18_last,"pedestrian, factor_px tercile 2",1470,27,3176,0.1995551437139511,1.1188175678253174,0.17836253345012665,0.1608366496860981,0.2396662879735231
Qwen L18_last,"pedestrian, factor_px tercile 3",1467,35,3176,0.36431756615638733,1.1188175678253174,0.32562732696533203,0.22200964726507663,0.5016391053795813
openpilot cinque temporal,pedestrian (judged),4414,42,3176,0.0375804603099823,0.40201157331466675,0.09348104149103165,0.07247654385864735,0.15849686600267873
openpilot cinque temporal,all families,7843,76,3176,0.08394377678632736,0.40201157331466675,0.20880936086177826,0.1381136927753687,0.29270882830023764
openpilot cinque temporal,cut-in,3167,27,3176,0.18727202713489532,0.40201157331466675,0.46583738923072815,0.3193757876753807,0.6938285648822781
openpilot cinque temporal,"pedestrian, reactive frames",406,21,3176,0.13837894797325134,0.40201157331466675,0.34421631693840027,0.2634936451911926,0.4353245496749878
openpilot cinque temporal,"pedestrian, null of pedestrian cases",4414,42,1472,0.0375804603099823,0.34914475679397583,0.10763575881719589,0.0868405032902956,0.18067251741886128
openpilot cinque temporal,"pedestrian, factor_px tercile 1",1477,35,3176,0.0398436039686203,0.40201157331466675,0.09911058843135834,0.052516696974635124,0.196934914961457
openpilot cinque temporal,"pedestrian, factor_px tercile 2",1470,27,3176,0.025680825114250183,0.40201157331466675,0.0638808086514473,0.05379328010603786,0.08681029751896857
openpilot cinque temporal,"pedestrian, factor_px tercile 3",1467,35,3176,0.1072409376502037,0.40201157331466675,0.26676082611083984,0.0890151185914874,0.42859185189008686
openpilot lebowski temporal,pedestrian (judged),4414,42,3176,0.05911659821867943,0.4902227520942688,0.12059129774570465,0.0714156400412321,0.21949668116867538
openpilot lebowski temporal,all families,7843,76,3176,0.13733704388141632,0.4902227520942688,0.2801523208618164,0.1757783956825733,0.39168329313397376
openpilot lebowski temporal,cut-in,3167,27,3176,0.3068244457244873,0.4902227520942688,0.6258878111839294,0.46011906340718267,0.8187813997268676
openpilot lebowski temporal,"pedestrian, reactive frames",406,21,3176,0.20204076170921326,0.4902227520942688,0.41214072704315186,0.28640990033745767,0.5502320274710654
openpilot lebowski temporal,"pedestrian, null of pedestrian cases",4414,42,1472,0.05911659821867943,0.3787313997745514,0.1560910940170288,0.10423545483499766,0.26835068315267546
openpilot lebowski temporal,"pedestrian, factor_px tercile 1",1477,35,3176,0.06778562068939209,0.4902227520942688,0.138275146484375,0.06314578615128993,0.288327474892139
openpilot lebowski temporal,"pedestrian, factor_px tercile 2",1470,27,3176,0.028018679469823837,0.4902227520942688,0.05715499445796013,0.03901559906080365,0.13622799031436436
openpilot lebowski temporal,"pedestrian, factor_px tercile 3",1467,35,3176,0.1494653970003128,0.4902227520942688,0.30489280819892883,0.09274596236646175,0.5691772386431694
YOLO embedding (E5),pedestrian (judged),4414,42,3176,0.002990271430462599,0.02293938398361206,0.1303553432226181,0.06865032352507114,0.32849280014634125
YOLO embedding (E5),all families,7843,76,3176,0.012658382765948772,0.02293938398361206,0.5518187880516052,0.21016377061605454,10.326141929626424
YOLO embedding (E5),cut-in,3167,27,3176,0.7830042243003845,0.02293938398361206,34.13362121582031,24.5064612865448,49.40194368362426
YOLO embedding (E5),"pedestrian, reactive frames",406,21,3176,0.8492634892463684,0.02293938398361206,37.022071838378906,27.10779643058777,53.68769073486325
YOLO embedding (E5),"pedestrian, null of pedestrian cases",4414,42,1472,0.002990271430462599,0.01683029532432556,0.17767195403575897,0.10269631836563349,0.44284562543034534
YOLO embedding (E5),"pedestrian, factor_px tercile 1",1477,35,3176,0.0036650884430855513,0.02293938398361206,0.15977275371551514,0.06710843537002802,0.42998163625597907
YOLO embedding (E5),"pedestrian, factor_px tercile 2",1470,27,3176,0.0012760551180690527,0.02293938398361206,0.055627260357141495,0.030292328167706727,0.12657559886574737
YOLO embedding (E5),"pedestrian, factor_px tercile 3",1467,35,3176,0.8087133765220642,0.02293938398361206,35.254364013671875,0.1070898963138461,50.132915496826165
