group,axis,arm,n,acc,lo,hi
pre_onset,long,majority (keep),1458,0.4945130315500686,0.4203772676279264,0.5702985698803387
pre_onset,long,"continuation (stop if stopped, else keep; keep_lane)",1458,0.4869684499314129,0.41482874107874107,0.5627817543335325
pre_onset,long,"ego kinematic (CTRA extrapolation, same judge)",1458,0.6584362139917695,0.6001126836640555,0.7175407394987505
pre_onset,long,route command (CTRA long; lateral = intent),1458,0.6584362139917695,0.6001126836640555,0.7175407394987505
pre_onset,long,VLM Qwen3-VL-4B main,1458,0.5192043895747599,0.4541749254745797,0.5912191770286336
pre_onset,long,VLM Qwen3-VL-4B text,1458,0.5534979423868313,0.4943221487299619,0.616150215697637
pre_onset,long,VLM Qwen3-VL-4B noroute,1458,0.5082304526748971,0.44776850118715894,0.5730387573123475
pre_onset,long,VLM Qwen3-VL-32B-FP8 text,1458,0.6179698216735254,0.5612872323406721,0.6716747131262245
pre_onset,long,VLM Qwen3-VL-32B-FP8 main,1458,0.5288065843621399,0.4738815210513684,0.5880537295149971
pre_onset,long,VLM Qwen3-VL-32B-FP8 noroute,588,0.5629251700680272,0.48296940704448127,0.6443290417718288
pre_onset,lat3,majority (right),1458,0.5912208504801097,0.5179592859789455,0.6687057823895917
pre_onset,lat3,"continuation (stop if stopped, else keep; keep_lane)",1458,0.01577503429355281,0.004018619779707755,0.030530885972806277
pre_onset,lat3,"ego kinematic (CTRA extrapolation, same judge)",1458,0.1748971193415638,0.14068157098421227,0.2136913419175679
pre_onset,lat3,route command (CTRA long; lateral = intent),1458,0.6117969821673526,0.5374360364343516,0.6817029894616101
pre_onset,lat3,VLM Qwen3-VL-4B main,1458,0.5919067215363512,0.5128682506431208,0.6629249198197104
pre_onset,lat3,VLM Qwen3-VL-4B text,1458,0.6111111111111112,0.5374360364343516,0.681046407464284
pre_onset,lat3,VLM Qwen3-VL-4B noroute,1458,0.06172839506172839,0.04028487616748335,0.08437607324259348
pre_onset,lat3,VLM Qwen3-VL-32B-FP8 text,1458,0.6117969821673526,0.5374360364343516,0.6817029894616101
pre_onset,lat3,VLM Qwen3-VL-32B-FP8 main,1458,0.588477366255144,0.5151292333006396,0.6567909122151105
pre_onset,lat3,VLM Qwen3-VL-32B-FP8 noroute,588,0.14795918367346939,0.10649990795287187,0.19380282923838305
pre_onset,lat,majority (turn_right),1458,0.39163237311385457,0.31275759259977337,0.4728666906047354
pre_onset,lat,"continuation (stop if stopped, else keep; keep_lane)",1458,0.01577503429355281,0.004018619779707755,0.030530885972806277
pre_onset,lat,"ego kinematic (CTRA extrapolation, same judge)",1458,0.033607681755829906,0.018035910842935064,0.05324337958695598
pre_onset,lat,route command (CTRA long; lateral = intent),1458,0.607681755829904,0.5332239581977667,0.677645193604082
pre_onset,lat,VLM Qwen3-VL-4B main,1458,0.5877914951989026,0.5099732001661282,0.6599081310473475
pre_onset,lat,VLM Qwen3-VL-4B text,1458,0.6069958847736625,0.5332239581977667,0.6769594194828246
pre_onset,lat,VLM Qwen3-VL-4B noroute,1458,0.025377229080932786,0.011188904379202886,0.04406954997077732
pre_onset,lat,VLM Qwen3-VL-32B-FP8 text,1458,0.607681755829904,0.5332239581977667,0.677645193604082
pre_onset,lat,VLM Qwen3-VL-32B-FP8 main,1458,0.5809327846364883,0.5078348914089418,0.6492131147540984
pre_onset,lat,VLM Qwen3-VL-32B-FP8 noroute,588,0.03741496598639456,0.012710919617990958,0.06492374930258507
pre_onset,joint,majority (keep|right),1458,0.2825788751714678,0.21638556523070712,0.3519870977246558
pre_onset,joint,"continuation (stop if stopped, else keep; keep_lane)",1458,0.008916323731138546,0.0,0.02246998702141466
pre_onset,joint,"ego kinematic (CTRA extrapolation, same judge)",1458,0.11522633744855967,0.08895900358488831,0.14682443804778686
pre_onset,joint,route command (CTRA long; lateral = intent),1458,0.3936899862825789,0.33356952519379846,0.4618170937317772
pre_onset,joint,VLM Qwen3-VL-4B main,1458,0.30315500685871055,0.24253123080073724,0.37406660161166366
pre_onset,joint,VLM Qwen3-VL-4B text,1458,0.3299039780521262,0.26887797113382933,0.3963974363545604
pre_onset,joint,VLM Qwen3-VL-4B noroute,1458,0.03497942386831276,0.019982796447586715,0.052015890240044986
pre_onset,joint,VLM Qwen3-VL-32B-FP8 text,1458,0.3683127572016461,0.3084750987294723,0.43379454573503806
pre_onset,joint,VLM Qwen3-VL-32B-FP8 main,1458,0.29492455418381347,0.23342154665260276,0.3633966563582673
pre_onset,joint,VLM Qwen3-VL-32B-FP8 noroute,588,0.07993197278911565,0.04459736496829215,0.11814532631132434
straight_yaw,long,majority (keep),1458,0.5541838134430727,0.50830481284523,0.6000066401062417
straight_yaw,long,"continuation (stop if stopped, else keep; keep_lane)",1458,0.5507544581618655,0.505020624768261,0.5948785944135063
straight_yaw,long,"ego kinematic (CTRA extrapolation, same judge)",1458,0.6248285322359396,0.5893925366449234,0.6602814582747535
straight_yaw,long,route command (CTRA long; lateral = intent),1458,0.6248285322359396,0.5893925366449234,0.6602814582747535
straight_yaw,long,VLM Qwen3-VL-4B main,1458,0.5459533607681756,0.5027652153266928,0.5872043732660897
straight_yaw,long,VLM Qwen3-VL-4B text,1458,0.551440329218107,0.5083547106252307,0.5953242713794259
straight_yaw,long,VLM Qwen3-VL-4B noroute,0,,,
straight_yaw,long,VLM Qwen3-VL-32B-FP8 text,1458,0.5377229080932785,0.5026608528727587,0.5729744541286221
straight_yaw,long,VLM Qwen3-VL-32B-FP8 main,400,0.5875,0.5365128930899271,0.6394405519410882
straight_yaw,long,VLM Qwen3-VL-32B-FP8 noroute,0,,,
straight_yaw,lat3,majority (keep),1458,0.8189300411522634,0.787509704533529,0.8491506240597314
straight_yaw,lat3,"continuation (stop if stopped, else keep; keep_lane)",1458,0.8189300411522634,0.787509704533529,0.8491506240597314
straight_yaw,lat3,"ego kinematic (CTRA extrapolation, same judge)",1458,0.6975308641975309,0.6627339043809978,0.7321026011679688
straight_yaw,lat3,route command (CTRA long; lateral = intent),1458,0.821673525377229,0.7916253344432821,0.8507115573741701
straight_yaw,lat3,VLM Qwen3-VL-4B main,1458,0.8196159122085048,0.7896852957135105,0.8487128527073595
straight_yaw,lat3,VLM Qwen3-VL-4B text,1458,0.821673525377229,0.7916253344432821,0.8507115573741701
straight_yaw,lat3,VLM Qwen3-VL-4B noroute,0,,,
straight_yaw,lat3,VLM Qwen3-VL-32B-FP8 text,1458,0.821673525377229,0.7916253344432821,0.8507115573741701
straight_yaw,lat3,VLM Qwen3-VL-32B-FP8 main,400,0.7925,0.7473677211646137,0.837573732570841
