board,repo,category,present
bench2drive,https://github.com/kesai-labs/lead,metric_proxy_candidate_selection,no
bench2drive,https://github.com/kesai-labs/lead,metric_proxy_test_search,no
bench2drive,https://github.com/kesai-labs/lead,metric_reward_finetuning,no
bench2drive,https://github.com/kesai-labs/lead,benchmark_target_shaping,no
bench2drive,https://github.com/kesai-labs/lead,metric_grid_alignment,no
bench2drive,https://github.com/kesai-labs/lead,manual_scorer_reweighting,no
bench2drive,https://github.com/kesai-labs/lead,benchmark_prompt_specification,NA
bench2drive,https://github.com/kesai-labs/lead,benchmark_split_adaptation,no
bench2drive,https://github.com/kesai-labs/lead,offline_candidate_library,no
bench2drive,https://github.com/kesai-labs/lead,ego_only_open_loop_planning,NA
bench2drive,https://github.com/kesai-labs/lead,ego_state_fusion,NA
bench2drive,https://github.com/kesai-labs/lead,future_label_conditioning,NA
bench2drive,https://github.com/kesai-labs/lead,multi_checkpoint_candidate_selection,no
bench2drive,https://github.com/kesai-labs/lead,control_interface_selection,yes
bench2drive,https://github.com/kesai-labs/lead,manual_control_override,yes
bench2drive,https://github.com/kesai-labs/lead,simulator_pose_access,no
bench2drive,https://github.com/kesai-labs/lead,metric_early_termination,no
bench2drive,https://github.com/kesai-labs/lead,simulator_protocol_dependency,no
bench2drive,https://github.com/kesai-labs/lead,inference_failure_brake_fallback,no
bench2drive,https://github.com/George-Ling3/BLUE,metric_proxy_candidate_selection,no
bench2drive,https://github.com/George-Ling3/BLUE,metric_proxy_test_search,no
bench2drive,https://github.com/George-Ling3/BLUE,metric_reward_finetuning,NA
bench2drive,https://github.com/George-Ling3/BLUE,benchmark_target_shaping,NA
bench2drive,https://github.com/George-Ling3/BLUE,metric_grid_alignment,NA
bench2drive,https://github.com/George-Ling3/BLUE,manual_scorer_reweighting,no
bench2drive,https://github.com/George-Ling3/BLUE,benchmark_prompt_specification,no
bench2drive,https://github.com/George-Ling3/BLUE,benchmark_split_adaptation,NA
bench2drive,https://github.com/George-Ling3/BLUE,offline_candidate_library,no
bench2drive,https://github.com/George-Ling3/BLUE,ego_only_open_loop_planning,NA
bench2drive,https://github.com/George-Ling3/BLUE,ego_state_fusion,NA
bench2drive,https://github.com/George-Ling3/BLUE,future_label_conditioning,NA
bench2drive,https://github.com/George-Ling3/BLUE,multi_checkpoint_candidate_selection,no
bench2drive,https://github.com/George-Ling3/BLUE,control_interface_selection,no
bench2drive,https://github.com/George-Ling3/BLUE,manual_control_override,yes
bench2drive,https://github.com/George-Ling3/BLUE,simulator_pose_access,no
bench2drive,https://github.com/George-Ling3/BLUE,metric_early_termination,no
bench2drive,https://github.com/George-Ling3/BLUE,simulator_protocol_dependency,no
bench2drive,https://github.com/George-Ling3/BLUE,inference_failure_brake_fallback,no
bench2drive,https://github.com/swc-17/SparseDriveV2,metric_proxy_candidate_selection,no
bench2drive,https://github.com/swc-17/SparseDriveV2,metric_proxy_test_search,no
bench2drive,https://github.com/swc-17/SparseDriveV2,metric_reward_finetuning,no
bench2drive,https://github.com/swc-17/SparseDriveV2,benchmark_target_shaping,no
