level,n_scored,n_decisive,agree,lo,hi,diff_median,diff_p10,diff_p90,share_prefers_brake
token,600,341,0.6334310850439883,0.5777126099706745,0.6862170087976539,-0.198355289436547,-0.2804586831113398,0.7005943834513711,0.20666666666666667
pair,300,118,0.788135593220339,0.711864406779661,0.8559322033898306,-0.198355289436547,-0.2804586831113398,0.7005943834513711,0.20666666666666667
