flag,n_long,n_null_moving,brake_side,continue_side,null_moving,brake_minus_continue,bmc_lo,bmc_hi,brake_minus_null,bmn_lo,bmn_hi
cause,4134,9946,0.6170778906627963,0.36768263183357525,0.8057510557007842,0.2493952588292211,0.22590118538670814,0.273319895698357,-0.18867316503798792,-0.209381344242131,-0.16688978754078018
cause_vehicle,4134,9946,0.5624092888243831,0.3154329946782777,0.7642268248542128,0.24697629414610547,0.2238850522749475,0.2716891311054235,-0.20181753602982966,-0.22364707562076566,-0.1792697989548902
cause_pedestrian,4134,9946,0.06627963231736816,0.038703434929850025,0.08696963603458677,0.027576197387518143,0.017102550576776693,0.03768920349688243,-0.020690003717218602,-0.03076375522066255,-0.010472850374313997
in_pedestrian,4134,9946,0.06821480406386067,0.038703434929850025,0.0879750653529057,0.029511369134010642,0.018910394295463127,0.04013240582708493,-0.019760261289045025,-0.029749495774008018,-0.009303667587185071
in_any,4134,9946,0.6913401064344461,0.5430575713594582,0.8404383671827871,0.1482825350749879,0.12469959715558064,0.17133785983697708,-0.14909826074834098,-0.17041182329562013,-0.12819436572236892
