tau_mult,th_v,th_y,pool,pairs,divergent,twin_null,divergent_group_pairs,tau_ego
0.5,1.0,0.5,train 2 Hz,54838,39996,9061,27694,4.298141956329345
0.5,2.0,1.0,train 2 Hz,54838,28324,9061,20455,4.298141956329345
0.5,3.0,2.0,train 2 Hz,54838,17338,9061,12974,4.298141956329345
1.0,1.0,0.5,train 2 Hz,69715,53511,9628,35917,4.298141956329345
1.0,2.0,1.0,train 2 Hz,69715,39721,9628,27633,4.298141956329345
1.0,3.0,2.0,train 2 Hz,69715,25713,9628,18443,4.298141956329345
2.0,1.0,0.5,train 2 Hz,71931,55612,9667,37055,4.298141956329345
2.0,2.0,1.0,train 2 Hz,71931,41634,9667,28698,4.298141956329345
2.0,3.0,2.0,train 2 Hz,71931,27299,9667,19347,4.298141956329345
0.5,1.0,0.5,train 10 Hz,297725,218916,48218,57853,4.296335411071776
0.5,2.0,1.0,train 10 Hz,297725,157192,48218,44132,4.296335411071776
0.5,3.0,2.0,train 10 Hz,297725,97951,48218,29175,4.296335411071776
1.0,1.0,0.5,train 10 Hz,364965,280410,50603,68995,4.296335411071776
1.0,2.0,1.0,train 10 Hz,364965,209371,50603,54163,4.296335411071776
1.0,3.0,2.0,train 10 Hz,364965,136427,50603,37043,4.296335411071776
2.0,1.0,0.5,train 10 Hz,373693,288713,50791,70166,4.296335411071776
2.0,2.0,1.0,train 10 Hz,373693,216937,50791,55267,4.296335411071776
2.0,3.0,2.0,train 10 Hz,373693,142791,50791,38021,4.296335411071776
0.5,1.0,0.5,val SAM subset,10141,8057,1034,3902,3.8470125675201405
0.5,2.0,1.0,val SAM subset,10141,5763,1034,2949,3.8470125675201405
0.5,3.0,2.0,val SAM subset,10141,3883,1034,2052,3.8470125675201405
1.0,1.0,0.5,val SAM subset,16059,13452,1230,5990,3.8470125675201405
1.0,2.0,1.0,val SAM subset,16059,10381,1230,4776,3.8470125675201405
1.0,3.0,2.0,val SAM subset,16059,7369,1230,3453,3.8470125675201405
2.0,1.0,0.5,val SAM subset,17709,14996,1281,6488,3.8470125675201405
2.0,2.0,1.0,val SAM subset,17709,11809,1281,5243,3.8470125675201405
2.0,3.0,2.0,val SAM subset,17709,8566,1281,3857,3.8470125675201405
