flag,tau_mult,n_div,n_null,div_xplus,null_xplus,div_xminus,diff,diff_lo,diff_hi,paired,paired_lo,paired_hi
cause,0.5,32310,14980,0.38211080160940886,0.7406542056074766,0.3969978334880842,-0.3585434039980678,-0.37553760791790586,-0.34225443648765946,-0.014887031878675332,-0.026156618708778438,-0.0034159611996376887
cause,1.0,40388,15450,0.36250866594037834,0.734757281553398,0.382588887788452,-0.3722486156130197,-0.38845659387284365,-0.3559116948782873,-0.020080221848073686,-0.030762243025449422,-0.009421081056826621
cause,2.0,40687,15460,0.36146680757981664,0.7346701164294954,0.38189102170226363,-0.3732033088496788,-0.3906435577788419,-0.3566785722252195,-0.020424214122446972,-0.031027561527599366,-0.009187759786855014
in_any,0.5,32310,14980,0.5480965645311049,0.8648197596795728,0.5572578149179821,-0.3167231951484679,-0.33721641112195944,-0.2981217688724672,-0.009161250386877129,-0.02263648545522787,0.005243993490535252
in_any,1.0,40388,15450,0.5219372090720016,0.8580582524271845,0.5303060314945033,-0.3361210433551829,-0.3546084386641386,-0.3166037747526612,-0.008368822422501733,-0.022295404991221155,0.0047757649693012045
in_any,2.0,40687,15460,0.5205102366849362,0.8579560155239327,0.529432005308821,-0.3374457788389965,-0.35629286776354996,-0.317719459862052,-0.008921768623884779,-0.023028578893013813,0.00470401659121047
cause_vehicle,0.5,32310,14980,0.29099350046425254,0.7015353805073431,0.28390591148251315,-0.41054188004309056,-0.4256704559256822,-0.3955624961774882,0.0070875889817393995,-0.005428651484878158,0.01974836038087852
cause_vehicle,1.0,40388,15450,0.2744874715261959,0.6944336569579288,0.272828562939487,-0.4199461854317329,-0.4348546120783673,-0.4053613127777924,0.0016589085867089234,-0.009756160537423758,0.012878431952579383
cause_vehicle,2.0,40687,15460,0.273895838965763,0.6943078913324708,0.2721753877159781,-0.4204120523667078,-0.43589729860549403,-0.4054775721747853,0.0017204512497849436,-0.010137861400234172,0.013274324243668595
cause_pedestrian,0.5,32310,14980,0.07663262147941814,0.09692923898531375,0.09514082327452801,-0.020296617505895606,-0.029636366535389688,-0.011503007838659474,-0.018508201795109872,-0.02516434778457919,-0.011895796314321083
cause_pedestrian,1.0,40388,15450,0.07210062394770723,0.09754045307443365,0.09104189363177181,-0.025439829126726418,-0.03444724521444206,-0.016685631144906357,-0.018941269684064573,-0.025361658164081546,-0.012471251845934107
cause_pedestrian,2.0,40687,15460,0.07166908349104137,0.09760672703751617,0.09069235873866345,-0.025937643546474806,-0.0351263897387767,-0.01702511619690916,-0.019023275247622092,-0.025433615549253958,-0.012536913265318387
cause_bicycle,0.5,32310,14980,0.002909316001238007,0.00781041388518024,0.003683070256886413,-0.004901097883942234,-0.00786730911713976,-0.0023600302533101653,-0.0007737542556484061,-0.002039144456329591,0.0006352013910202001
cause_bicycle,1.0,40388,15450,0.002995939387937011,0.007831715210355987,0.0035406556402891947,-0.004835775822418976,-0.007888356837262956,-0.002222921241439626,-0.0005447162523521838,-0.0016901334356990213,0.0006218859497664069
cause_bicycle,2.0,40687,15460,0.0029739228746282595,0.007826649417852523,0.0035392139995575984,-0.004852726543224264,-0.007882093101248868,-0.002135921980271483,-0.0005652911249293386,-0.0017321837357999787,0.0006266971146037332
cause_other,0.5,32310,14980,0.1346641906530486,0.14245660881174899,0.15673166202414113,-0.007792418158700382,-0.020319955814850323,0.004098350993462534,-0.02206747137109254,-0.028983969223666393,-0.01486830893951555
cause_other,1.0,40388,15450,0.12436862434386452,0.14297734627831715,0.14697434881648014,-0.018608721934452635,-0.030423954280328118,-0.0068469393388163055,-0.022605724472615628,-0.02904613465810978,-0.016078090753360648
cause_other,2.0,40687,15460,0.1237496006095313,0.14314359637774904,0.14675449160665568,-0.019393995768217737,-0.03101239964043791,-0.007320994821742194,-0.02300489099712439,-0.029450379735719664,-0.016230793223555164
in_vehicle,0.5,32310,14980,0.47072113896626433,0.8309078771695594,0.45939337666357166,-0.36018673820329505,-0.37934765807799375,-0.34183877246790795,0.011327762302692664,-0.0038917196254888296,0.0275622041607439
in_vehicle,1.0,40388,15450,0.44750916113697137,0.8232362459546926,0.43527780528869964,-0.3757270848177212,-0.3931313801037734,-0.357692876034314,0.012231355848271765,-0.003224867090234866,0.027364495824753657
in_vehicle,2.0,40687,15460,0.4464816771941898,0.823156532988357,0.4344385184456952,-0.3766748557941672,-0.3937456533803482,-0.3584825375502051,0.012043158748494605,-0.0039353081712571346,0.027058013678397285
in_pedestrian,0.5,32310,14980,0.08372021046115753,0.10507343124165554,0.10513772825750542,-0.021353220780498006,-0.030612600543277354,-0.01244183993045585,-0.02141751779634788,-0.02846521196848188,-0.014421868734008792
in_pedestrian,1.0,40388,15450,0.07791918391601466,0.1055663430420712,0.09911359809844508,-0.027647159126056545,-0.03715364017468436,-0.018777124452762927,-0.021194414182430423,-0.027995299321653316,-0.014434501404006228
in_pedestrian,2.0,40687,15460,0.07744488411531938,0.105627425614489,0.09872932386265884,-0.028182541499169614,-0.03742142016000821,-0.018742086499518973,-0.021284439747339446,-0.02818798532907085,-0.014498863720759484
in_bicycle,0.5,32310,14980,0.005478180129990715,0.010280373831775701,0.007644692045806252,-0.004802193701784986,-0.007970800180090745,-0.001921307579257879,-0.002166511915815537,-0.003971943440891366,-0.00027743256462991225
in_bicycle,1.0,40388,15450,0.005447162523521838,0.01029126213592233,0.0071803505991878775,-0.004844099612400492,-0.008032750163442199,-0.0019124912557127213,-0.0017331880756660395,-0.0032728873523087086,5.880139241665155e-07
in_bicycle,2.0,40687,15460,0.005407132499324108,0.010284605433376455,0.00715216162410598,-0.004877472934052347,-0.00819153809172105,-0.0018576033343016256,-0.0017450291247818714,-0.003376274347028579,6.037918125797265e-07
in_other,0.5,32310,14980,0.14490869699783349,0.15507343124165554,0.17483751160631383,-0.010164734243822054,-0.023379151344405588,0.002267564781620731,-0.029928814608480347,-0.03743449448943922,-0.022505099054798063
in_other,1.0,40388,15450,0.13276220659601862,0.15546925566343042,0.161607408141032,-0.022707049067411805,-0.03499295059475489,-0.010824245959370716,-0.02884520154501337,-0.035522332673286514,-0.021896859389547798
in_other,2.0,40687,15460,0.1320815002334898,0.155627425614489,0.16128001572984,-0.0235459253809992,-0.03586384375353208,-0.010991312780062115,-0.029198515496350184,-0.03582644326994562,-0.021902806456958128
