scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
pedestrian,op-cinque vision,op-cinque temporal,5777,34,0.5085134627898489,0.49750442751102664,0.5212073692963355,0.5029494007097619,0.005564062080086973,-0.003451463254039501,0.0150965572452636
pedestrian,op-cinque vision,L18_last,5777,34,0.5085134627898489,0.49750442751102664,0.5212073692963355,0.5465391805632508,-0.03802571777340191,-0.0695367334027599,-0.01767897103251074
pedestrian,op-cinque hidden,op-cinque temporal,5777,34,0.5058404321554838,0.4951775840671133,0.5192351113461527,0.5029494007097619,0.002891031445721892,-0.009058267378747127,0.015230544364579298
pedestrian,op-cinque hidden,L18_last,5777,34,0.5058404321554838,0.4951775840671133,0.5192351113461527,0.5465391805632508,-0.040698748407766994,-0.0726243090897688,-0.019985399336486017
pedestrian,op-lebowski vision,op-lebowski temporal,5777,34,0.5092674540504598,0.5062686218642516,0.5133969155724626,0.5043310113772423,0.004936442673217467,0.001442444300072901,0.009253510529872774
pedestrian,op-lebowski vision,L18_last,5777,34,0.5092674540504598,0.5062686218642516,0.5133969155724626,0.5465391805632508,-0.03727172651279098,-0.0747211219049353,-0.010369541900491113
pedestrian,op-lebowski hidden,op-lebowski temporal,5777,34,0.5027089720780078,0.49883461009265084,0.5078751053449206,0.5043310113772423,-0.0016220392992345456,-0.006270739523575361,0.0033421471439877047
pedestrian,op-lebowski hidden,L18_last,5777,34,0.5027089720780078,0.49883461009265084,0.5078751053449206,0.5465391805632508,-0.043830208485242994,-0.07989523050315409,-0.018938604372585096
pedestrian,op-cinque temporal,L18_last,5777,34,0.5029494007097619,0.4942993427201511,0.5130805397553351,0.5465391805632508,-0.043589779853488886,-0.07974183002802142,-0.018282930751835482
pedestrian,op-lebowski temporal,L18_last,5777,34,0.5043310113772423,0.49911300131617564,0.5095773188016565,0.5465391805632508,-0.04220816918600845,-0.07981634057310938,-0.016118500772045845
hazard pooled,op-cinque vision,op-cinque temporal,6984,63,0.5099311742992328,0.5005857165601116,0.5212351840653554,0.5036375793172809,0.006293594981951922,-0.0013929605523273075,0.013680525264902753
hazard pooled,op-cinque vision,L18_last,6984,63,0.5099311742992328,0.5005857165601116,0.5212351840653554,0.5380978503147105,-0.02816667601547762,-0.052078002165829376,-0.01145603530644894
hazard pooled,op-cinque hidden,op-cinque temporal,6984,63,0.50956812880431,0.5004852939329897,0.5214877408130698,0.5036375793172809,0.005930549487029091,-0.0032887546681534957,0.015680149369490623
hazard pooled,op-cinque hidden,L18_last,6984,63,0.50956812880431,0.5004852939329897,0.5214877408130698,0.5380978503147105,-0.028529721510400452,-0.054397091552260836,-0.009444714777173215
hazard pooled,op-lebowski vision,op-lebowski temporal,6984,63,0.5085002834165869,0.5057730481804054,0.5131312227952481,0.5040716839767283,0.004428599439858627,0.0013801374214883505,0.00784047471445068
hazard pooled,op-lebowski vision,L18_last,6984,63,0.5085002834165869,0.5057730481804054,0.5131312227952481,0.5380978503147105,-0.02959756689812354,-0.05706067855840926,-0.00999885605867466
hazard pooled,op-lebowski hidden,op-lebowski temporal,6984,63,0.5036507927135695,0.5008301356618283,0.5086949662453327,0.5040716839767283,-0.00042089126315880687,-0.003612808028198611,0.0033692550685578077
hazard pooled,op-lebowski hidden,L18_last,6984,63,0.5036507927135695,0.5008301356618283,0.5086949662453327,0.5380978503147105,-0.034447057601140973,-0.06088974059234423,-0.015452498782732364
hazard pooled,op-cinque temporal,L18_last,6984,63,0.5036375793172809,0.4978325429810306,0.5119693669418048,0.5380978503147105,-0.03446027099742954,-0.06215055370612334,-0.014958748323406077
