tap,vs,n_frames,routes,auc,auc_vs,delta,lo,hi
L18_mean,L18_last,6984,63,0.5645210653314596,0.5380978503147105,0.026423215016749158,0.016543598752360635,0.04042428562654843
op-cinque temporal,L18_last,6984,63,0.5036375793172809,0.5380978503147105,-0.03446027099742954,-0.06215055370612334,-0.014958748323406077
op-cinque vision,L18_last,6984,63,0.5099311742992328,0.5380978503147105,-0.02816667601547762,-0.052078002165829376,-0.01145603530644894
op-cinque hidden,L18_last,6984,63,0.50956812880431,0.5380978503147105,-0.028529721510400452,-0.054397091552260836,-0.009444714777173215
op-lebowski temporal,L18_last,6984,63,0.5040716839767283,0.5380978503147105,-0.03402616633798217,-0.061497255894941684,-0.01555851748123226
op-lebowski vision,L18_last,6984,63,0.5085002834165869,0.5380978503147105,-0.02959756689812354,-0.05706067855840926,-0.00999885605867466
op-lebowski hidden,L18_last,6984,63,0.5036507927135695,0.5380978503147105,-0.034447057601140973,-0.06088974059234423,-0.015452498782732364
