arm,vs,judge,readout,n,value,delta,lo,hi,halfwidth
op-cinque vision,ridge ego,ADE,"side: all frames, all deciles",3632,0.5522789359092712,-0.09044294059276581,-0.10551036077308869,-0.07591401069037808,0.014798175041355305
op-cinque vision,ridge ego,ADE,side: decile 10,364,1.4860414266586304,-0.3170936107635498,-0.35864128598913403,-0.2773297456867887,0.040655770151172665
op-lebowski temporal,ridge ego,ADE,"(i) pre-onset, deciles 1-9",47,0.6014870405197144,-0.06307382881641388,-0.18840126528263818,0.06560847531724719,0.12700487029994267
op-lebowski temporal,ridge ego,ADE,"(ii) all frames, deciles 1-9",3268,0.4262441396713257,-0.08722735196352005,-0.10082809521415372,-0.07372976866792044,0.013549163273116636
op-lebowski temporal,ridge ego,ADE,"side: straight, deciles 1-9",1501,0.43230074644088745,-0.07936059683561325,-0.09903947196159654,-0.06058545993735674,0.0192270060121199
op-lebowski temporal,ridge ego,ADE,"side: all frames, all deciles",3632,0.5103286504745483,-0.1323932409286499,-0.14901431568572962,-0.11565931254115185,0.016677501572288887
op-lebowski temporal,ridge ego,ADE,side: decile 10,364,1.2652415037155151,-0.537893533706665,-0.587384194320514,-0.4859041878237122,0.05074000324840092
op-lebowski vision,ridge ego,ADE,"(i) pre-onset, deciles 1-9",47,0.5610677003860474,-0.10349318385124207,-0.19161272658871448,-0.008295055851340317,0.09165883536868707
op-lebowski vision,ridge ego,ADE,"(ii) all frames, deciles 1-9",3268,0.4498051106929779,-0.06366638094186783,-0.07928344838925469,-0.047273297544981725,0.016005075422136483
op-lebowski vision,ridge ego,ADE,"side: straight, deciles 1-9",1501,0.4453367292881012,-0.0663246214389801,-0.08733330364158377,-0.04845285491684025,0.01944022436237176
op-lebowski vision,ridge ego,ADE,"side: all frames, all deciles",3632,0.5451708436012268,-0.09755103290081024,-0.11411871473209646,-0.07966681355401697,0.017225950589039744
op-lebowski vision,ridge ego,ADE,side: decile 10,364,1.4013670682907104,-0.40176817774772644,-0.4490903185418112,-0.35193367564022804,0.04857832145079158
fusion op-cinque temporal + A,ridge ego,ADE,"(i) pre-onset, deciles 1-9",47,0.5651189684867859,-0.09944197535514832,-0.19767729200077722,-0.005085197184234869,0.09629604740827118
fusion op-cinque temporal + A,ridge ego,ADE,"(ii) all frames, deciles 1-9",3268,0.4316845238208771,-0.08178696036338806,-0.09555699626896347,-0.06730357478081553,0.01412671074407397
fusion op-cinque temporal + A,ridge ego,ADE,"side: straight, deciles 1-9",1501,0.4447897672653198,-0.06687159836292267,-0.08528059036709829,-0.04881595295831022,0.018232318704394034
fusion op-cinque temporal + A,ridge ego,ADE,"side: all frames, all deciles",3632,0.5266140103340149,-0.11610791832208633,-0.13065125721330942,-0.10176592107143291,0.014442668070938254
fusion op-cinque temporal + A,ridge ego,ADE,side: decile 10,364,1.3788927793502808,-0.42424219846725464,-0.4671434992919805,-0.3787709033941787,0.044186297948900916
A Qwen3-VL-4B L18_mean (no cmd),ridge ego (no cmd),ADE,"(i) pre-onset, deciles 1-9",47,0.998157262802124,-0.052292559295892715,-0.0875155316060004,-0.023354772554022823,0.032080379525988786
A Qwen3-VL-4B L18_mean (no cmd),ridge ego (no cmd),ADE,"(ii) all frames, deciles 1-9",3268,0.5264750123023987,-0.01961897686123848,-0.02781224902942899,-0.011433326792138244,0.008189461118645373
A Qwen3-VL-4B L18_mean (no cmd),ridge ego (no cmd),ADE,"side: straight, deciles 1-9",1501,0.5142009258270264,-0.011786810122430325,-0.02252361788054856,-0.0015506783968695535,0.010486469741839503
A Qwen3-VL-4B L18_mean (no cmd),ridge ego (no cmd),ADE,"side: all frames, all deciles",3632,0.6549452543258667,-0.02076132781803608,-0.0288202076978383,-0.012983956426522397,0.007918125635657951
A Qwen3-VL-4B L18_mean (no cmd),ridge ego (no cmd),ADE,side: decile 10,364,1.808354139328003,-0.03101738728582859,-0.04852359711053408,-0.01194758386956007,0.018288006620487005
op-cinque temporal (no cmd),ridge ego (no cmd),ADE,"(i) pre-onset, deciles 1-9",47,0.6482941508293152,-0.4021557867527008,-0.5311543555506928,-0.27441791149487305,0.12836822202790987
op-cinque temporal (no cmd),ridge ego (no cmd),ADE,"(ii) all frames, deciles 1-9",3268,0.4299459159374237,-0.11614805459976196,-0.13106455086614666,-0.10112935519820451,0.014967597833971072
op-cinque temporal (no cmd),ridge ego (no cmd),ADE,"side: straight, deciles 1-9",1501,0.4521583914756775,-0.07382933795452118,-0.09244352397315701,-0.055730031295829596,0.01835674633866371
op-cinque temporal (no cmd),ridge ego (no cmd),ADE,"side: all frames, all deciles",3632,0.5140535235404968,-0.16165302693843842,-0.18004735840235,-0.14251952636359722,0.018763916019376395
op-cinque temporal (no cmd),ridge ego (no cmd),ADE,side: decile 10,364,1.2691737413406372,-0.5701977014541626,-0.6212284394767761,-0.5152174663528175,0.05300548656197929
op-lebowski temporal (no cmd),ridge ego (no cmd),ADE,"(i) pre-onset, deciles 1-9",47,0.6390572190284729,-0.41139253973960876,-0.5487592519138541,-0.2876636893511585,0.1305477812813478
op-lebowski temporal (no cmd),ridge ego (no cmd),ADE,"(ii) all frames, deciles 1-9",3268,0.43340855836868286,-0.1126854196190834,-0.12760535338939924,-0.0976924483961953,0.01495645249660197
op-lebowski temporal (no cmd),ridge ego (no cmd),ADE,"side: straight, deciles 1-9",1501,0.4464735984802246,-0.07951415330171585,-0.09846204744100741,-0.0610038592042318,0.018729094118387805
op-lebowski temporal (no cmd),ridge ego (no cmd),ADE,"side: all frames, all deciles",3632,0.5182499289512634,-0.15745672583580017,-0.17588921907843658,-0.13887773119671293,0.018505743940861824
op-lebowski temporal (no cmd),ridge ego (no cmd),ADE,side: decile 10,364,1.2799571752548218,-0.5594143867492676,-0.610445273824958,-0.5088372537357012,0.05080401004462837
native op-cinque (no fit),ridge ego,ADE,"(i) pre-onset, deciles 1-9",47,1.481026530265808,0.8164654970169067,0.4504969958931028,1.1926942345380531,0.3710986193224751
native op-cinque (no fit),ridge ego,ADE,"(ii) all frames, deciles 1-9",3268,1.3584377765655518,0.8449662923812866,0.7421827161599215,0.9582134720268632,0.10801537793347088
native op-cinque (no fit),ridge ego,ADE,"side: straight, deciles 1-9",1501,1.6095972061157227,1.0979357957839966,0.9746329927741827,1.2311465733155327,0.128256790270675
native op-cinque (no fit),ridge ego,ADE,"side: all frames, all deciles",3632,1.390392780303955,0.7476708889007568,0.6470901249703253,0.8542376385907807,0.10357375681022774
native op-cinque (no fit),ridge ego,ADE,side: decile 10,364,1.6772860288619995,-0.12584900856018066,-0.32193763155479277,0.1057448366489533,0.21384123410187303
native op-lebowski (no fit),ridge ego,ADE,"(i) pre-onset, deciles 1-9",47,1.6659281253814697,1.0013670921325684,0.6891630715195168,1.293952742991202,0.30239483573584264
native op-lebowski (no fit),ridge ego,ADE,"(ii) all frames, deciles 1-9",3268,1.5439518690109253,1.0304803848266602,0.9122585101609471,1.1585224916512964,0.12313199074517467
native op-lebowski (no fit),ridge ego,ADE,"side: straight, deciles 1-9",1501,1.7004101276397705,1.188748836517334,1.0718009594385596,1.3272239962413799,0.12771151840141015
native op-lebowski (no fit),ridge ego,ADE,"side: all frames, all deciles",3632,1.5635921955108643,0.9208701848983765,0.8045053898440986,1.0415337579789052,0.11851418406740333
native op-lebowski (no fit),ridge ego,ADE,side: decile 10,364,1.7399228811264038,-0.06321222335100174,-0.26366412530064853,0.1740591589151646,0.21886164210790657
A Qwen3-VL-4B L18_mean,ridge ego,FDE@3s,"(i) pre-onset, deciles 1-9",47,1.7026172876358032,-0.08946619927883148,-0.17881342793584806,-0.0020481700450182055,0.08838262894541493
A Qwen3-VL-4B L18_mean,ridge ego,FDE@3s,"(ii) all frames, deciles 1-9",3268,1.297472357749939,-0.04513595998287201,-0.06709970424797808,-0.023810921857809062,0.02164439119508451
A Qwen3-VL-4B L18_mean,ridge ego,FDE@3s,"side: straight, deciles 1-9",1501,1.2677993774414062,-0.02823440171778202,-0.05754434698791634,0.00016010440389005811,0.028852225695903202
