arm,vs,judge,readout,n,value,delta,lo,hi,halfwidth
op-cinque temporal,A Qwen3-VL-4B L18_mean,ADE,"(i) pre-onset, deciles 1-9",47,0.5874475240707397,-0.04248727485537529,-0.14445914086348158,0.059266826827197236,0.1018629838453394
op-cinque temporal,A Qwen3-VL-4B L18_mean,ADE,"(ii) all frames, deciles 1-9",3268,0.4227936565876007,-0.075546495616436,-0.09007787564316921,-0.06144212303431137,0.014317876304428923
op-cinque temporal,A Qwen3-VL-4B L18_mean,ADE,"side: straight, deciles 1-9",1501,0.4388817250728607,-0.06324291229248047,-0.08533971598099584,-0.04432223268944875,0.020508741645773543
op-cinque temporal,A Qwen3-VL-4B L18_mean,ADE,"side: all frames, all deciles",3632,0.5060766339302063,-0.12093780189752579,-0.13987493821658334,-0.10319270681640927,0.018341115700087035
op-cinque temporal,A Qwen3-VL-4B L18_mean,ADE,side: decile 10,364,1.2537931203842163,-0.5284619331359863,-0.5808189120186883,-0.4722477572785832,0.054285577370052546
op-cinque temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"(i) pre-onset, deciles 1-9",47,0.6482941508293152,-0.3498631715774536,-0.4665161087065935,-0.22936776953267102,0.11857416958696124
op-cinque temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"(ii) all frames, deciles 1-9",3268,0.4299459159374237,-0.09652908146381378,-0.11320439681993384,-0.08005259455738094,0.016575901131276452
op-cinque temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"side: straight, deciles 1-9",1501,0.4521583914756775,-0.06204253062605858,-0.08401580073769523,-0.043291077658329534,0.020362361539682846
op-cinque temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"side: all frames, all deciles",3632,0.5140535235404968,-0.14089171588420868,-0.16158942274128216,-0.12142196615530115,0.020083728292990502
op-cinque temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,side: decile 10,364,1.2691737413406372,-0.5391803979873657,-0.5922144589541493,-0.48171952551728203,0.05524746671843361
op-lebowski temporal,A Qwen3-VL-4B L18_mean,ADE,"(i) pre-onset, deciles 1-9",47,0.6014870405197144,-0.02844768576323986,-0.1396420289006912,0.08221471406705677,0.11092837148387398
op-lebowski temporal,A Qwen3-VL-4B L18_mean,ADE,"(ii) all frames, deciles 1-9",3268,0.4262441396713257,-0.07209604233503342,-0.08616441036095603,-0.05833350804676413,0.013915451157095946
op-lebowski temporal,A Qwen3-VL-4B L18_mean,ADE,"side: straight, deciles 1-9",1501,0.43230074644088745,-0.06982387602329254,-0.09217805346394864,-0.051104455069549325,0.020536799197199657
op-lebowski temporal,A Qwen3-VL-4B L18_mean,ADE,"side: all frames, all deciles",3632,0.5103286504745483,-0.11668577790260315,-0.13483136957974506,-0.09876717184591546,0.0180320988669148
op-lebowski temporal,A Qwen3-VL-4B L18_mean,ADE,side: decile 10,364,1.2652415037155151,-0.517013430595398,-0.5686053580124444,-0.4629434518058332,0.0528309531033056
op-lebowski temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"(i) pre-onset, deciles 1-9",47,0.6390572190284729,-0.3590999245643616,-0.48018426490344335,-0.2456005690663867,0.11729184791852833
op-lebowski temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"(ii) all frames, deciles 1-9",3268,0.43340855836868286,-0.09306643903255463,-0.10972871339469072,-0.07599457928488479,0.016867067054902964
op-lebowski temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"side: straight, deciles 1-9",1501,0.4464735984802246,-0.06772734224796295,-0.08945216080399372,-0.04903524365645246,0.02020845857377063
op-lebowski temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,"side: all frames, all deciles",3632,0.5182499289512634,-0.13669538497924805,-0.15795147905807264,-0.11617823519653885,0.020886621930766895
op-lebowski temporal (no cmd),A Qwen3-VL-4B L18_mean (no cmd),ADE,side: decile 10,364,1.2799571752548218,-0.5283969640731812,-0.5809138987520822,-0.47322765033959024,0.053843124206245985
