cls,dbin,n,recall,bev_err_med,bev_err_p90,reading,weather,all
pedestrian,0-10 m,1363,0.9178283198826119,0.37448744662329286,1.173286600574446,"recall (ii), <= 40 m, in image",,
pedestrian,10-20 m,875,0.704,1.0222270259288442,1.7841162592588131,"recall (ii), <= 40 m, in image",,
pedestrian,20-40 m,1943,0.11837364899639732,1.3262036094101695,2.4279679640451595,"recall (ii), <= 40 m, in image",,
pedestrian,,1548,0.6563307493540051,0.4614794049618493,1.5986098529903248,"recall (ii), <= 40 m, in image",day,
pedestrian,,1363,0.44974321349963314,0.581775319514743,1.7018987274499575,"recall (ii), <= 40 m, in image",night,
pedestrian,,1270,0.36850393700787404,0.453412558468538,1.536206521262127,"recall (ii), <= 40 m, in image",rain,
pedestrian,0-10 m,685,0.927007299270073,0.3578001340856485,1.076553509888444,"recall (ii), <= 40 m, in image",day,
pedestrian,0-10 m,363,0.9201101928374655,0.3909110482197962,1.2758877747057153,"recall (ii), <= 40 m, in image",night,
pedestrian,0-10 m,315,0.8952380952380953,0.3989651514982795,1.2372769603607814,"recall (ii), <= 40 m, in image",rain,
pedestrian,10-20 m,364,0.760989010989011,0.900377020485251,1.7537354972688737,"recall (ii), <= 40 m, in image",day,
pedestrian,10-20 m,297,0.6734006734006734,1.2479789235112553,1.8343682436875388,"recall (ii), <= 40 m, in image",night,
pedestrian,10-20 m,214,0.6495327102803738,1.0420426147391362,1.7542880663611928,"recall (ii), <= 40 m, in image",rain,
pedestrian,20-40 m,499,0.20841683366733466,1.5145971263235554,2.7252198415557465,"recall (ii), <= 40 m, in image",day,
pedestrian,20-40 m,703,0.112375533428165,1.2638979153086607,1.960839581854581,"recall (ii), <= 40 m, in image",night,
pedestrian,20-40 m,741,0.06342780026990553,0.7241579647601575,1.7559182992360693,"recall (ii), <= 40 m, in image",rain,
pedestrian,,4181,0.5015546519971299,0.48173945954246306,1.6195432110939776,"recall (ii), <= 40 m, in image",,all
pedestrian,0-10 m,624,0.9983974358974359,0.37297246156295666,0.8900688632352391,"side: recall, front camera, visible (px >= 20), <= 40 m",,
pedestrian,10-20 m,440,0.6886363636363636,1.2259286234674707,1.8388794742970573,"side: recall, front camera, visible (px >= 20), <= 40 m",,
pedestrian,20-40 m,1412,0.14730878186968838,1.2706417811256476,2.4794283890684965,"side: recall, front camera, visible (px >= 20), <= 40 m",,
