route,variant,segment,fit_scope,training_count,n,coefficient,target_mean_mps,prediction_mean_mps,target_rms_mps,residual_rms_mps,residual_p95_abs_mps,residual_mean_mps,rms_reduction_fraction,prediction_target_correlation,sign_agreement_fraction,count_abs_world_gyro_lt_point1
26966,baseline-max,1,leave_this_window_out,258,70,0.01140692563070003,0.29633693248172904,0.32838435165068913,0.38631358411430544,0.046514973920720785,0.08158654759032967,-0.032047419168960076,0.8795927043897126,0.9969927081576861,0.9428571428571428,21
24240,baseline-max,1,leave_this_window_out,211,117,0.01072560148145163,-0.10502154055178502,-0.1124295729095475,0.11169327294179181,0.008586039276887537,0.01361014321444326,0.007408032357762484,0.9231284118483832,0.9944178156808267,0.9914529914529915,15
17563,baseline-max,1,leave_this_window_out,258,70,0.010487083339070577,0.003454730212483457,0.002030591261850091,0.1889373784991929,0.03406955203796946,0.063383237796191,0.0014241389506333703,0.819678073716287,0.9914837533571602,0.9142857142857143,25
17563,baseline-max,2,leave_this_window_out,257,71,0.010477923417442421,0.005252763925194299,0.003402068239627824,0.19574472735774498,0.034565082041201615,0.0651120588632286,0.0018506956855664789,0.8234175576130327,0.9915605649146412,0.9154929577464789,22
