arm,n,pix_mae_1,pix_mae_5,pix_mae_15,lat_rms_1,lat_rms_5,lat_rms_15,dflow_x_3_end,dflow_x_3_end_sd,expected_dflow_x,dexpand_5_end,plan_yaw_rate,cmd_yaw_rate,plan_v0_end,cmd_v_end
null,9,5.262,13.584,25.51,0.477,0.691,0.847,1.075,1.333,-0.0,1.15,0.003,0.0,12.514,12.669
left,12,7.895,24.741,29.424,0.507,0.943,0.882,2.98,1.487,5.764,0.425,-0.085,-0.127,12.625,12.669
right,12,7.875,21.319,29.736,0.497,0.877,0.917,-2.97,1.702,-5.764,0.239,0.112,0.127,12.708,12.669
brake,12,0.849,6.399,26.062,0.057,0.384,0.836,-0.16,0.658,-0.0,-0.657,-0.0,0.0,1.205,1.142
straight,3,5.939,15.142,26.334,0.503,0.713,0.825,-1.044,1.181,-0.0,-1.36,-0.003,0.0,12.5,12.669
