set,model,arm,metric,s0,s1,s2,s0r (seed-0 re-run),mean,range,ci_halfwidth_s0,range_lt_halfwidth
ba,lebowski,M-C hard,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
ba,lebowski,M-C uniform,ped_flip,0.0345,0.0246,0.0345,,0.0312,0.0099,0.0287,True
ba,lebowski,M-C uniform,cutin_delta_vs_prior,0.0104,0.0118,-0.0015,,0.0069,0.0133,0.0142,True
ba,lebowski,M-C uniform,null_ff_oos,0.0522,0.0543,0.0524,,0.0530,0.0021,,False
ba,lebowski,M-C uniform,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,prior,ped_flip,0.0065,0.0065,0.0065,,0.0065,0.0000,0.0111,True
pdm,cinque,prior,cutin_delta_vs_prior,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
pdm,cinque,prior,null_ff_oos,0.0493,0.0503,0.0504,,0.0500,0.0011,,False
pdm,cinque,prior,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C pair,ped_flip,0.0097,0.0065,0.0065,,0.0076,0.0032,0.0135,True
pdm,cinque,M-C pair,cutin_delta_vs_prior,0.0127,0.0211,0.0253,,0.0197,0.0127,0.0148,True
pdm,cinque,M-C pair,null_ff_oos,0.0502,0.0503,0.0517,,0.0507,0.0016,,False
pdm,cinque,M-C pair,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C pair (mu=0),ped_flip,0.0065,0.0032,0.0129,,0.0076,0.0097,0.0086,False
pdm,cinque,M-C pair (mu=0),cutin_delta_vs_prior,0.0591,0.0738,0.0591,,0.0640,0.0148,0.0534,True
pdm,cinque,M-C pair (mu=0),null_ff_oos,0.0504,0.0481,0.0494,,0.0493,0.0023,,False
pdm,cinque,M-C pair (mu=0),pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C pair qwen,ped_flip,0.0065,0.0065,0.0065,,0.0065,0.0000,0.0111,True
pdm,cinque,M-C pair qwen,cutin_delta_vs_prior,0.0000,0.0042,0.0042,,0.0028,0.0042,0.0063,True
pdm,cinque,M-C pair qwen,null_ff_oos,0.0500,0.0509,0.0503,,0.0504,0.0009,,False
pdm,cinque,M-C pair qwen,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C pair op,ped_flip,0.0065,0.0065,0.0065,,0.0065,0.0000,0.0111,True
pdm,cinque,M-C pair op,cutin_delta_vs_prior,0.0105,0.0274,0.0380,,0.0253,0.0274,0.0128,False
pdm,cinque,M-C pair op,null_ff_oos,0.0484,0.0486,0.0505,,0.0492,0.0020,,False
pdm,cinque,M-C pair op,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C hard,ped_flip,0.0032,0.0065,0.0065,,0.0054,0.0032,0.0056,True
pdm,cinque,M-C hard,cutin_delta_vs_prior,0.0000,0.0084,0.0042,,0.0042,0.0084,0.0060,False
pdm,cinque,M-C hard,null_ff_oos,0.0487,0.0503,0.0498,,0.0496,0.0016,,False
pdm,cinque,M-C hard,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,cinque,M-C uniform,ped_flip,0.0065,0.0065,0.0065,,0.0065,0.0000,0.0111,True
pdm,cinque,M-C uniform,cutin_delta_vs_prior,0.0000,0.0021,0.0021,,0.0014,0.0021,0.0000,False
pdm,cinque,M-C uniform,null_ff_oos,0.0507,0.0487,0.0537,,0.0510,0.0050,,False
pdm,cinque,M-C uniform,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,prior,ped_flip,0.0032,0.0032,0.0000,,0.0022,0.0032,0.0048,True
pdm,lebowski,prior,cutin_delta_vs_prior,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
pdm,lebowski,prior,null_ff_oos,0.0512,0.0483,0.0501,,0.0498,0.0028,,False
pdm,lebowski,prior,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C pair,ped_flip,0.0032,0.0032,0.0032,,0.0032,0.0000,0.0048,True
pdm,lebowski,M-C pair,cutin_delta_vs_prior,0.0253,0.0232,0.0295,,0.0260,0.0063,0.0236,True
pdm,lebowski,M-C pair,null_ff_oos,0.0503,0.0521,0.0515,,0.0513,0.0017,,False
pdm,lebowski,M-C pair,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C pair (mu=0),ped_flip,0.0065,0.0032,0.0000,,0.0032,0.0065,0.0111,True
pdm,lebowski,M-C pair (mu=0),cutin_delta_vs_prior,0.0675,0.0506,0.0464,,0.0549,0.0211,0.0408,True
pdm,lebowski,M-C pair (mu=0),null_ff_oos,0.0494,0.0504,0.0514,,0.0504,0.0019,,False
pdm,lebowski,M-C pair (mu=0),pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C pair qwen,ped_flip,0.0032,0.0032,0.0000,,0.0022,0.0032,0.0048,True
pdm,lebowski,M-C pair qwen,cutin_delta_vs_prior,0.0042,0.0084,0.0105,,0.0077,0.0063,0.0086,True
pdm,lebowski,M-C pair qwen,null_ff_oos,0.0509,0.0449,0.0500,,0.0486,0.0060,,False
pdm,lebowski,M-C pair qwen,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C pair op,ped_flip,0.0000,0.0032,0.0000,,0.0011,0.0032,0.0000,False
pdm,lebowski,M-C pair op,cutin_delta_vs_prior,0.0232,0.0148,0.0211,,0.0197,0.0084,0.0239,True
pdm,lebowski,M-C pair op,null_ff_oos,0.0510,0.0485,0.0501,,0.0498,0.0024,,False
pdm,lebowski,M-C pair op,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C hard,ped_flip,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,False
pdm,lebowski,M-C hard,cutin_delta_vs_prior,0.0021,0.0000,0.0105,,0.0042,0.0105,0.0251,True
pdm,lebowski,M-C hard,null_ff_oos,0.0508,0.0514,0.0507,,0.0510,0.0007,,False
pdm,lebowski,M-C hard,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
pdm,lebowski,M-C uniform,ped_flip,0.0000,0.0032,0.0000,,0.0011,0.0032,0.0000,False
pdm,lebowski,M-C uniform,cutin_delta_vs_prior,0.0063,0.0000,0.0127,,0.0063,0.0127,0.0105,False
pdm,lebowski,M-C uniform,null_ff_oos,0.0510,0.0504,0.0518,,0.0510,0.0014,,False
pdm,lebowski,M-C uniform,pass,0.0000,0.0000,0.0000,,0.0000,0.0000,,False
